tid,id,title,authors,venue,year
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
4,d2WWxwKMex4J,The Burden of Infectious Disease Among Inmates and Releasees From Correctional Facilities,"TM Hammett, P Harmon, W Rhodes",see,
14,lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
15,173qcCip5coJ,"Li., C., AND Vitter. J. 2001. Supporting incremental join queries on ranked inputs","A Natsev, Y Chang, J Smith",Proceedings of the Very Large Data Bases Conference (VLDB; ,
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
21,QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of Floridaâ??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,
23,XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
32,pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",
33,pG9TXzucQzcJ,Multirate analog-digital systems for signal processing and conversion,"J Franca, A Petraglia, SK Mitra","Proceedings of the IEEE,",1997
34,fOH6aNSDFXkJ,An Empirical Review of Price Behaviour on the Internet,H Riquelme,"Electronic Markets,",2001
36,_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
47,OYUlnDgBsHgJ,Virtual Communities of Transaction: The Role of Personalization in Electronic Commerce,P SCHUBERT,"Electronic Markets,",2000
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
57,HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990
62,zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
73,apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999
74,EsKG9q0qKyAJ,Hierarchical grouping in Artificial Intelligence. AAAI Spring Symposium on Artificial Intelligence  ,M Mortimer,,2000
76,QzjeEU1-zX8J,Hierarchical and variation geometric modeling with wavelets. In proceedings of the 1995 Symposium on ,"SJ Gortler, MF Cohen",,1995
85,V95A5wSijwMJ,Understandittg ActiveX and OLE,D Chappell,,
91,IDBPFmg04zMJ,Algebraic Attacks on Combiners with Memory,"F Armknecht, M Krause",,
94,CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,
101,kI-Hiv-7NZsJ,Gastroenteritis due to Kanagawa negative Vibrio parahaemolyticus,", I Goto, I Minematsu, N Ikeda, N Asano, M  ","Lancet i,",1987
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
111,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DA8622976AH,Observations of frontal zone structures with a VHF Doppler radar and radiosondes,"MF LARSEN, J ROETTGER","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984
114,BPdmg5Ipu9kJ,"Survey of Job Shop Scheduling Techniques, NISTIR, National Institute of Standards and Technology,  ","A Jones, LC Rabelo","MD,",
115,5wiLuVdexv0J,Energy Conservation 2000 Mayville and Horicon: A Study Of A Community-Based Program,"B Neal, C Sabo","Wisconsin Demand-Side Demonstration, April,",
116,Yvpk-M9_u-AJ,"Heated, humidified air for the common cold",M Singh,"Cochrane Database Syst Rev,",2000
