sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,1351,1.00,1.00,288,0,234,0,1,11,0.41509433962264153,1.0,0.5866666666666668
1,2,1077,0.99,1.00,264,0,213,3,3,33,0.0013028544356271468,1.0,0.0026023184291459668
2,1,1946,1.00,1.00,290,0,234,0,1,11,0.3793103448275862,1.0,0.5499999999999999
2,2,1752,1.00,1.00,319,1,270,0,3,33,0.2,1.0,0.33333333333333337
3,1,981,1.00,1.00,280,0,234,0,1,11,0.6052631578947368,1.0,0.7540983606557378
3,2,1893,1.00,1.00,282,0,234,0,1,13,0.04063604240282685,1.0,0.07809847198641764
4,1,1964,1.00,1.00,284,0,234,0,1,11,0.2711864406779661,1.0,0.4266666666666667
4,2,1154,1.00,1.00,309,0,252,0,1,11,0.02080624187256177,1.0,0.04076433121019108
5,1,2249,1.00,1.00,293,0,234,0,1,11,0.5208333333333334,1.0,0.684931506849315
5,2,1073,1.00,1.00,276,0,234,0,1,11,0.5208333333333334,1.0,0.684931506849315
