tid,id,title,authors,venue,year
1,aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
3,3BxllB4wwcIJ,Immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase N in  ,"GH Hansen, LL Wetterberg, H SjÃ¶strÃ¶m, O NorÃ©n","The Histochemical Journal,",1992
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
8,xSv97kdDZU8J,The Photosynthetic Reaction Center,"JR Norris, J Deisenhofer","San Diego: Academic,",
11,im0SIHX8SOcJ,Linear Algebra and its Applications Harcourt Brace Jovanovich,G Strang,"San Diego,",
13,UPWEn_-Pd-sJ,Stereochemical Applications of Gas-Phase Electron Diffraction,"K Kuchitsu, M Nakata, S Yamamoto, I Hargittai, M  ","Hargittai,",
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
26,0HMk-YUh4i8J,Too Much Middleware,M Stonebraker,"SIGMOD Record,",2002
30,wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,
36,_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
44,2KtUhuZ4z6QJ,Modeling and Analysis of a Traveling Wave Tube Under Multitone Excitation,JG Wohlbier,,2000
47,OYUlnDgBsHgJ,Virtual Communities of Transaction: The Role of Personalization in Electronic Commerce,P SCHUBERT,"Electronic Markets,",2000
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
50,oc6SJkjsQH8J,"Crypt Breakerâ??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
62,zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004
64,ctG34FDMmUoJ,"A Resource for Your Cosmetology Career, 2000 Edition",S Fundamentals,,
67,EeTtbmdFG94J,Measuring the light regime under vegetation.,CA Federer,,1964
73,apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999
77,PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",
78,p6PzqUPVOFMJ,New Chance: Implementing a comprehensive program for teenage parents and their children,"J Quint, B Fink, S Rowser",,1991
82,AeC4rMZEHpUJ,Interactive med. 3D-simulations by means of stereoscopy and standard hardware,"H WÃ¶rn, J MÃ¼hlingâ?¦","Rechner-u. SensorgestÃ¼tzte Chirurgie-Procs, GI,",
88,53H7hIhiY_oJ,"stevens CE, Harley EJ, Zang EA, Oleszko WR, William DC, et al",W Szmuness,"Hepatitis B vaccine: Demonstration of efficacy in a  &hellip;,",
91,IDBPFmg04zMJ,Algebraic Attacks on Combiners with Memory,"F Armknecht, M Krause",,
100,gLLjcrLSddsJ,What are the national regimes and local traditions of social welfare and their historical derivation ,R Greca,,1995
102,izDXhqRW9AYJ,DEVise: integrated queryingand visual explorationof large datasets,"M Livny, R Ramakrishnan, K Beyer, G Chen, D  ","Proceedings of the 1997ACM-SIGMOD Conference,",
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
109,9lEXpgZ6K5QJ,On the design of a distributed query processing algorithm,"CT Yu, C Chang, M TEMPLETON, D BRILL, E LUND",Proceedings of the ACM-SIGMOD International Conference on ,
111,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DA8622976AH,Observations of frontal zone structures with a VHF Doppler radar and radiosondes,"MF LARSEN, J ROETTGER","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984
116,Yvpk-M9_u-AJ,"Heated, humidified air for the common cold",M Singh,"Cochrane Database Syst Rev,",2000
117,HvWZ2rxAO5UJ,Code compression,"J Ernst, W Evans, CW Fraser, TA Proebsting, S  ","Proceedings of the ACM SIGPLAN 1997 conference on  &hellip;,",1997
127,MDr5xBsWWWoJ,Scalable session messages in SRM using self-configuration,"P Sharma, D Estrin, S Floyd, L Zhang",,
129,i3SXq8EbKDYJ,Transputer implementation of Kalman filters,"LP Maguire, GW Irwin",,
130,UC4EaQQMXU0J,Waiting Times For Stationary Processes,"I Kontoyiannis, A Recurrence","Technical Report No. 92, Stanford University, July",
131,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101204%26type%3Dpdf,JADE: Jabber-based Authoring in Distributed Environments,"A Roczniak, A El Saddik","Proceedings of the 13th annual ACM international conference  &hellip;,",2005
138,HyP3ZqESqhoJ,Photoprotection by carotenoids,MM Mathews-Roth,"Fed Proc,",1987
141,pScXi8veb-oJ,Preferential treatment for short flows to reduce web latency,"X Chen, J Heidemann","Computer Networks,",2003
143,qPDh4xVUMbwJ,Curves and Surfaces in Computer Aided Geometric Design,G Farin,,
155,TVp1tqpYTDkJ,Contextual Method for the Re-design of Existing Software Products,"R Jones, N Milic-Frayling, K Rodden, A Blackwell",,
156,w1CLOhbJhDsJ,Imaging of layered structures in biological tissues with opto-acoustic front surface transducer,"AA Karabutov, EV Savateeva, AA Oraevsky","Proc. SPIE,",1999
157,mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,
160,OOZb-r3GUTMJ,Genera crustaceorum et insectorum,PA Latreille,"Tomus I,",
163,EqF1i1bl7GIJ,Application servers (panel session): born-again TP monitors for the Web,"C Mohan, L Cable, M Devin, S Dietzen, P Helland, D ","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001
174,2ACfLS1IpwQJ,CAME: the first step to automated software engineering,M Saeki,"Procs. OOPSLA 2003 Workshop on Process Engineering for  &hellip;,",
177,_R8P8Xq2z-AJ,to Edit RDF,U ProtÃ©gÃ©,,
179,gRCVf_OAkXwJ,"II, Fundamentals of parallel logic simulation",RJ Smith,"Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",
185,EtRstiL1C-QJ,"Potential Interference to GPS from UWB Transmitters; Phase II Test Results: Accuracy, Loss-of-Lock,  ","M Luo, M Koenig, D Akos, S Pullen, P Enge","Technical Report 3, Stanford University, March",
191,d3jIzcfceEUJ,"Behavioral ecology and the evolution of hunter-gatherer societies on the Northern Channel Islands,  ",DJ Kennett,,1998
201,1QeuNAkihQ4J,"Intra-annual changes in the abundance of coho, chinook, and chum salmon in Puget Sound in 1997","RJ Beamish, M Folkes, R Sweeting, C Mahnken",,
202,HzuepAJPfCMJ,Biological monitoring and assessment: using multimetric indexes effectively,"JR Karr, EW Chu",,1997
208,j3iZLktsE0IJ,Transportation and World Development,JC Lowe,"Economic Geography,",1988
209,VqZAqakocVEJ,Effect of drive train and fuel control design on helicopter handling qualities,G Guglieri,"European Rotorcraft Forum, 25 th, Rome, Italy, Proceedings.,",1999
213,vE4M6atFR5gJ,Preface to the proceedings of the Workshop on Data Reverse Engineering,"E Chikofsky, HD Kathi",,2000
216,Xul-tMyACGkJ,Link Prediction Approach to Collaborative Filtering,"Z Huang, X Li, H Chen",,
219,EXtoza-15lIJ,Academic Press,"EB Davies, OP Semigroups","San Diego,",
222,_FiEOAXm3SkJ,Rethinking risk financing,"CP Helbling, G Fallegger, D Hill",,1996
225,092qznpAmYcJ,Enforcing Modeling Guidelines in an ORDBMS-based UML Repository,"N Ritter, HP Steiert",,
230,X2PE6K7uezQJ,The future of fiber-optic computer networks,PE Greenâ?¦,,
232,0ct3hfJD8WgJ,2dF mechanical engineering,"G Smith, A Lankshear","Proc. SPIE,",1998
234,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D20021214033592MT%26recid%3DA7642818AH,Evaluation of a random access system with hardware simulation(for satellite location and data  ,GG DELMAS,"&hellip;  Telemetering Conference, Washington, D. C, Proceedings,",1975
235,-4mC6Wz-vkQJ,Distributed restoration in telecommunications networks,D Johnsonâ?¦,"BT TECHNOLOGY JOURNAL,",1994
236,7Eag6wnw6FkJ,The 3D RESURF double-gate MOSFET: A revolutionary power device concept,"F Udrea, A Popescu","Electronic Letters,",1998
237,AiamPPqvsBUJ,The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","Genes to Cells,",1997
238,9lXfDYUgrrYJ,E-business models,R Trombly,"Computerworld,",
239,1j-tL6DypZYJ,"AN ANALYSIS OF THE RELATIONSHIP BETWEEN NLN PRE-ADMISSION SCORES, AGE AND STUDENT SUCCESS IN TWO  ",EM Kirking,,2004
240,XdWK2yxBBrUJ,"Communication skills training for health care professionals working with cancer patients, their  ","D Fellowes, S Wilkinson, P Moore","Cochrane Database Syst Rev,",2003
242,z_W8jZ203sUJ,Optimization of dynamic query evaluation plans,"RL Cole, G Graefe","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,",1994
244,gt-77ZkB8LoJ,Progressive Encoding for Lossless Transmission of 3D Meshes,"P Alliez, M Desbrun","ACM Siggraph Conference Proceedings,",
249,yz8u5ihaylAJ,"Testability, 1985 technology forecast",B Milne,"Electronic Design,",
251,6E6GZGZAtREJ,The Gene-Finder computer tools for analysis of human and model organisms genome sequences,"V Solovyev, A Salamov","Proc. Int. Conf. Intell. Syst. Mol. Biol,",1997
253,url:http://portal.acm.org/citation.cfm%3Fid%3D30113.30115%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,Introduction to integrated project support environments,P Hitchcock,"Information and Software Technology,",1987
264,56U_bp4y6JoJ,"A., H. Muroya, and RG Gould. 1972",P Edwards,vivo demonstration of the circadian. rhythm of cholesterol ,
269,9evIHTb1x8sJ,Arrangement of Latches in Scan-Path Design to Improve Delay Fault Coverage,"W Mao, MD Ciletti","Proc. Int. Test Conference,",1990
272,url:http://adsabs.harvard.edu/abs/1974PhDT........51S,The formulation of molecular quantum mechanics with the aid of particle density operators and phase  ,M Schleicher,"&hellip;  Eidgenoessische Technische Hochschule, Zurich (Switzerland) &hellip;,",1974
282,DiyLLGIcUZQJ,â??Punctualityâ??and Verb Semantics,S Engelberg,,
284,DBh6rPNazToJ,Martingale estimating functions based on eigenfunctions for discretely observed small diffusions,M Uchida,,2004
285,SxkA8bJooH4J,Social Experimentation,H Riecken,,
286,QO9uigNY9WgJ,Computer implementation of thenite element method,A George,"Stanford University Technical Report STAN-CS-208, Stanford, CA, ",
287,CbVuJPvkwf0J,"Land degradation in the Yallahs Basin, Jamaica: historical notes and contemporary observations","D Barker, DFM McGregor","Geography,",
290,KzblBZq7NUwJ,Unity and Diversity: Holiday Celebrations around the World.,A Lockledge,"Social Studies and the Young Learner,",1993
291,sIUa2f9F91EJ,Four cheers for geography,S Jenkins,"Geography,",
295,clox1KvD37UJ,Classroom behaviors related to college teaching effectiveness,H Murray,"New directions for teaching and learning: using research to  &hellip;,",
304,txo56JDKlAoJ,O-Linked Oligosaccharide on IgAl Hinge Region in IgA Nephropathy. Fundamental Study for Precise  ,"Y Hiki, A Horii, H Iwase, A Tanaka","CONTRIBUTIONS TO NEPHROLOGY,",1995
306,9jPrZSfTe2cJ,The Undergraduate Curriculum and Distance Education.,GE Miller,"New Directions for Adult and Continuing Education,",1995
324,laSbNcPJmpYJ,Efficient algorithms for large-scale topology discovery,"B Donnet, P Raoult, T Friedman, M Crovella",,
329,Uai7mRS_HQwJ,Hierarchical dynamic router,"K Kawamura, M Umeda, H Shiraishi","Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",1986
333,aqoOpQNKdRAJ,Aexible multicast routing protocol for group communication,"S Aggarwal, S Paul, D Massey, D Caldararu","Computer Networks,",2000
339,qU_IX5KFwIoJ,SIGCAS Chair's Message,CD Martin,"Computers and Society,",
343,a41k5lrQfTwJ,The Situational Factors Affecting Teaching.,LD Fink,"New Directions for Teaching and Learning,",1984
347,KYVjPQWh2p8J,Rate-Monotonic Analysis for Real-Time Industrial Computing,"MH Klein, JP Lehoczky, R Rajkumar",,
351,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0116696CI,Database requirements for a software engineering environment: criteria and empirical evaluation,"S Chen, JM Drake, WT Tsai","Information and Software Technology,",1993
352,ysc9EwrFrCEJ,ER Mapper User Guide. 922 p,ER MAPPING,"San Diego,",
354,3SZUiHn5-goJ,Building a Large and Efficient Hybrid Peer-to-Peer Internet Caching System,"L Xiao, X Zhang, A Andrzejak, S Chen","IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,",2004
357,jNtH9IHZFdQJ,Preparing for an Adult Education Evaluation.,RC Mason,"New Directions for Adult and Continuing Education,",1993
360,usC5w5B3S_IJ,Experience building the open OODB query optimizer,A Joseâ?¦,Proceedings of ACM,
365,ddtO_cj4TeYJ,Adding medications in the emergency department: Effect on knowledge of medications in older adults,KS Hayes,"JOURNAL OF EMERGENCY NURSING,",1999
366,1bwVGQrOOjgJ,The Peter Norton Programmer's guide to the IBM PC.,P Norton,,1985
370,3LJnfTsTk5kJ,An Overview of Web Services Security,"P Kearney, J Chapman, N Edwards, M Gifford, L He","BT Technology Journal,",2004
371,cjBpI3TcSWsJ,XML Document Versioning,"SY Chien, VJ Tsotras, C Zaniolo","SIGMOD Record,",2001
372,LaJ36pgeT1AJ,Mentoring to Diversity: A Multicultural Approach.,G Rodriguez,"New Directions for Adult and Continuing Education,",1995
375,UrYJY7lnKaUJ,Expectations of Italian cheese in the pizza industry,RJ Alvarez,"Proceedings of the 23rd Annual Marschall Invitational  &hellip;,",
376,WjD01QHCjvcJ,Fast Ion Dynamics in TEXTOR measured by Collective Thomson Scattering,"H Bindslev, L Porte, JA Hoekzema, D van Eester, A  ",,
