tid,species,local_language,name,genus
232066,id-622,,골비람,골렘포켓r몬
232259,id-641,6,Borsos,Wirbelsturm-P0kémon
237329,rec-534-dup-0,3,노보,골포켓몬
234894,rec-118-dup-0,,Tosaksito,
233357,id-751,,,水泡寶可夢
228115,id-251,,,時空穿越寶可夢
234549,id-870,,Le9iors,Formations-Pokémon
239325,rec-190-dup-0,4,長怪,長尾寶可z夢
231463,id-561,11,シンボー,とりもどきポvケモン
232389,id-654,6,Rutemrna,Fucbs
233997,id-815,,閃焰王牌,前鋒寶可
232396,id-655,3,마폭,여우포켓x몬
230871,id-502,8,Dewott,Pokémon Apprendista
230872,id-502,9,Dewott,Discipline Pokémon
232346,id-650,,도치lp마론,밤송이포켓몬
226283,id-84,,Dodu0,Twin Bird Pokémon
236912,rec-443-dup-0,8,Gbl4,Pokémon Squal0terra
234173,id-832,11,バイウルー,ひつじケモ
237884,rec-171-dup-0,1,ランターン,ライトポケモン
228104,id-250,4,鳳王,虹色寶可夢
228105,id-250,5,Ho-Oh,Pokémon Arcenciel
228101,id-250,1,ホウオウ,にじいろポケモン
236855,rec-621-dup-0,,Shatdragco,Höhlen-Pokémon
230087,id-430,,Hondh1<row,Pokémon Gran Jefe
226702,id-122,11,バリヤーyド,バリアーポモン
236046,rec-318-dup-0,4,利牙魚,凶猛寶可夢
233816,id-797,,철화구야,쏴올리기켓몬
239362,rec-328-dup-1,,톱,개미지옥포켓몬
237333,rec-534-dup-0,,修建老,筋骨宝可梦
236142,rec-450-dup-0,,Hippodocus,P0kémon Pids Lourd
237732,rec-165-dup-0,12,芭瓢虫,五星宝可梦
233494,id-764,12,花疗环j,摘花宝d可梦
236051,rec-97-dup-0,,スリーパixー,さいみんポケモン
230332,id-452,11,ドラピオン,ばけさそりポケモン
231455,id-561,,シンボラvー,とりもどきポケモン
227985,id-239,6,E1ekid,Elektro-Pokéiiion
236906,rec-443-dup-0,,,육지상어포켓몬
233492,id-764,9,Comfev,Posy Picier Pokémon
226716,id-124,,Roubla,
234556,id-871,,찌르성게,
232395,id-655,1,マフォシー,キツネcポケモン
230782,id-493,9,,Alpha Poémon
228438,id-280,8,Ralrs,Pokémon Serisazione
239168,rec-372-dup-0,9,Shelhgaon,Endurancs Pokémon
236475,rec-447-dup-0,,リオル,はもんポモン
233697,id-785,,卡璞・鳴鳴,土地神寶r可夢
237247,rec-179-dup-1,9,Marzep,Wool Pokérnon
228967,id-328,,Trapnch,Ant Pit Pokémon
225813,id-42,,ゴルバッ,こうもりポケモン
238309,rec-150-dup-1,,뮤,유전포켓몬
235501,rec-784-dup-0,11,ジャランガ,ろこポケモン
227461,id-191,11,ヒマナッツw,たねケモン
233815,id-797,,テッカグ,うちあげポケモン
237401,rec-3-dup-1,,妙蛙花,種子寶y可夢
239146,rec-279-dup-1,12,大嘴鸥z,水鸟宝可g梦
236784,rec-343-dup-0,7,Baltoy,Pokémon Muñeca Barro
236783,rec-343-dup-0,1,ヤジロン,どぐうポケモン
236782,rec-343-dup-0,3,오뚝군,토우포켓몬
228739,id-308,1,チャーレム,めいそうポケモン
233695,id-785,,,とちがみポケモン
234726,id-888,3,자시,강자포j켓몬
235194,rec-886-dup-0,,D'lsparrptil,Pokémon Baby-sitter
234939,rec-311-dup-0,,Plus|e,Pokémon Ánimo
238331,rec-734-dup-0,,Mangun'lor,Patrouille
228441,id-280,12,,心情u宝可梦
226994,id-149,,Dracokosse,Pokémon Dragon
238601,rec-894-dup-0,,레지레키,일렉트론포켓몬
227712,id-214,8,Heracross,Pokémon Monocorno
227713,id-214,9,Heracross,Single Horn Pokémon
227457,id-191,6,S0nkern,Samebn
225851,id-45,,,Blumen-Pokémon
237880,rec-496-dup-0,7,Seryie,
238324,rec-734-dup-0,3,영구스ta,순회포a켓몬
227123,id-161,,Otach:,
230616,id-478,,Ffolass,Pokémon Suolnevoso
236823,rec-282-dup-0,,Gardeyoir,Embrace Pokémon
227993,id-240,3,마그b비,
233634,id-778,,谜丘,画皮宝可梦
231575,id-573,1,チラチーノ,スカーフポケモン
231578,id-573,5,Pashmilla,Pokémon Écharpe
233597,id-775,4,樹枕尾熊,半夢半醒寶可夢
236781,rec-343-dup-0,8,Balto8,Pokémon Agilla
237733,rec-165-dup-0,,芭瓢蟲9,五星寶可夢
226053,id-63,,ケーシィ,ねんりポケモン
236367,rec-481-dup-1,9,Miespit,
233160,id-731,7,Pik9pek,Pokémon arpintero
231460,id-561,7,Sigilvph,Pokémon Psevdopájaro
233174,id-732,,喇叭啄鸟,喇叭喙宝可梦w
238573,rec-551-dup-1,12,黑眼,沙漠鳄鱼宝可
238662,rec-550-dup-0,6,Barcbuft,Grobheits-P0kémon
227930,id-234,,Damhirplex,Vielerider
232074,id-622,,泥偶人,魔像宝可梦
238265,rec-435-dup-1,,スカタク,スカンクポケモン
229348,id-363,5,Obalie,Pokémon Clap Clap
238328,rec-734-dup-0,4,貓鼬少s,巡迴寶夢
229345,id-363,2,Tamazarashi,
229344,id-363,1,タマザラシ,てたたきポケモン
229347,id-363,4,海豹球,拍手寶可夢
234645,id-880,,パッチラゴgン,かせきポケモン
239318,rec-190-dup-0,,Capumain,Pokémon Longquejue
234081,id-823,8,Corvikeiight,Pokémon C0rvo
238818,rec-130-dup-0,,暴鲤d龙,凶恶宝可梦
232531,id-668,8,Pyr0ar,Pokémon eale
238779,rec-264-dup-0,4,直熊,猛衝寶k可
233364,id-751,12,滴蛛x,水泡宝可
231988,id-614,5,Pooagriff,Pokémoqn Congelé
226531,id-107,4,快o拳郎,拳擊寶n可夢
226586,id-112,4,鑽角犀獸,鑽錐寶可夢
226585,id-112,3,코뿌리,드릴포켓몬
226588,id-112,6,Rizeros,Bohrer-Pokémon
226276,id-84,,Docli,
234607,id-876,4,愛管侍,感情寶可夢
232297,id-645,4,土地雲,豐饒寶可夢
232295,id-645,1,ランドロス,ほうじょうポケモン
228788,id-312,6,Minn,Jubej
225781,id-39,,Purln,
237728,rec-165-dup-0,9,Ledyvla,Five Star Ppkémon
236479,rec-447-dup-0,,利欧,波纹宝可梦
233631,id-778,8,Mimimyu,Pokémon Fant asmanto
226703,id-122,,,屏障宝可梦
229802,id-404,8,Luxi0,Pokémon Favulla
237394,rec-3-dup-1,5,Florizarre,Pokémon Graine
237397,rec-3-dup-1,7,Venusaur,Pokémon Semilla
230085,id-430,5,Corobos,Pokémon B'lg Boss
235212,rec-259-dup-0,6,Moorabl>el,Lebmhüpfer-Pokémon
228551,id-290,12,土居士,
233158,id-731,5,Picaspsaut,Pokémom Pivert
239305,rec-382-dup-1,,가이가,해저포켓몬
228440,id-280,,ラnルトnス,きもちポケモン
228487,id-285,,Kinococ0k,
237735,rec-165-dup-0,,레k디바,별다섯포켓몬
236042,rec-318-dup-0,,キバア,どうもうポケモン
233995,id-815,,エースバーン,ストライカーポケモンa
237336,rec-534-dup-0,8,Conkeldrr,Pokémon Forzsimmane
229914,id-414,,ガーメイ0ル,ミノガポケモン
236039,rec-318-dup-0,,Kaniyqanha,Gnadenlos-Pokémon
230447,id-463,4,大舌,舔舔寶可夢g
228960,id-328,2,Nuckrar,
228965,id-328,7,Trapinch,Pokémon Hormiga León
228969,id-328,12,大颚蚁,蚁狮宝可梦
