idDBLP,idScholar
conf/sigmod/AbadiC02,f2Lea-RN8dsJ
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,gBVNSFeS4P8J
conf/sigmod/AbiteboulBCMM03,AxpQwgyRyLgJ
conf/sigmod/AbiteboulCM95,cu9DXtjeF24J
conf/sigmod/AbiteboulCM95,DakOA4Ew-poJ
conf/sigmod/AboulnagaC99,WWaxLMIptTMJ
conf/sigmod/AcharyaFZ97,9OEjtHuRUzsJ
conf/sigmod/AcharyaFZ97,FDPwbRQbfIAJ
conf/sigmod/AcharyaFZ97,Hf3gZHIcm58J
conf/sigmod/AcharyaFZ97,QCAu6wPhnAAJ
conf/sigmod/AcharyaFZ97,qdCTR7WpuFUJ
conf/sigmod/AcharyaFZ97,umGxlKvzLoUJ
conf/sigmod/AcharyaGPR99,5vntH4boqdgJ
conf/sigmod/AcharyaGPR99,a1esMNRsK_UJ
conf/sigmod/AcharyaGPR99,mOngiXbKrNkJ
conf/sigmod/AcharyaGPR99,s064OghlyIUJ
conf/sigmod/AcharyaGPR99,t8KDgCSg9RIJ
conf/sigmod/AcharyaPR99,0dY1brFaEzgJ
conf/sigmod/AcharyaPR99,2RuI2vzDUW8J
conf/sigmod/AcharyaPR99,gKOsM57uFB4J
conf/sigmod/AcharyaPR99,KrVgTXcNPPUJ
conf/sigmod/AcharyaPR99,-k0cD5NwXnoJ
conf/sigmod/AdaliBSS98,69JsZwNpla0J
conf/sigmod/AdaliBSS98,rYC-j_j4Yv0J
conf/sigmod/AdaliBSS98,YQ90BYSVqbsJ
conf/sigmod/AdaliSS99,7OvO0Y3IU8gJ
conf/sigmod/AdaliSS99,bhWLVCoDuNQJ
conf/sigmod/AdaliSS99,c2dH5RxNj6kJ
conf/sigmod/AdaliSS99,Cbwq3JSxrSAJ
conf/sigmod/AdamY98,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D276350%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
conf/sigmod/Adelberg98,3hsPMPTl2msJ
conf/sigmod/Adelberg98,5I0ArBmDRcEJ
conf/sigmod/Adelberg98,JrU1gnfH1sYJ
conf/sigmod/Adelberg98,lyTJMJmpo8IJ
conf/sigmod/Adelberg98,UT0h0HcwLyUJ
conf/sigmod/AdelbergD99,s40fqzss4woJ
conf/sigmod/AdelbergGK95,NbLabaGWoh4J
conf/sigmod/AdelbergGW97,XytbGy--8LMJ
conf/sigmod/AdelbergGW97,zZo47Z-jVX4J
conf/sigmod/AfratiLU01,k7zpSukSfYsJ
conf/sigmod/AfratiLU01,U8adXFUIr3EJ
conf/sigmod/Agarwal96,ALk7huiKjWAJ
conf/sigmod/Agarwal96,Fd0jPlSwFWcJ
conf/sigmod/Aggarwal02,tK1_3wGUIHsJ
conf/sigmod/Aggarwal03,qbubaA6mQawJ
conf/sigmod/AggarwalPWYP99,5uimonC4q_QJ
conf/sigmod/AggarwalPWYP99,G3dX_RTA26MJ
conf/sigmod/AggarwalWY99,wjKnsQWl5ZoJ
conf/sigmod/AggarwalY00,dfSPs7YoyWsJ
conf/sigmod/AggarwalY00,x5jeMyauzWgJ
conf/sigmod/AggarwalY01,6i8hYEhbelEJ
conf/sigmod/AggarwalY01,QkTd5WogN-AJ
conf/sigmod/AgichteinG03,url:http://portal.acm.org/citation.cfm%3Fid%3D872851
conf/sigmod/AgichteinGV01,GDoFPiEzEhQJ
conf/sigmod/AgichteinGV01,z8s4kW1y7LMJ
conf/sigmod/AgrawalASY97,3nxl8d4c0t4J
conf/sigmod/AgrawalASY97,7Of1HyK-VnkJ
conf/sigmod/AgrawalASY97,bDiNQAdf8nEJ
conf/sigmod/AgrawalASY97,C85vtVHZmjUJ
conf/sigmod/AgrawalCFGHIIMMSS94,bXnzC8MN_joJ
conf/sigmod/AgrawalES03,HypA8oN4PqsJ
conf/sigmod/AgrawalES03,Wrue2IkpGyEJ
conf/sigmod/AgrawalGGR98,_LE5T2vKPUcJ
conf/sigmod/AgrawalGGR98,1rW7ao6gK-QJ
conf/sigmod/AgrawalGGR98,DHbEJyv20WMJ
conf/sigmod/AgrawalGGR98,EQ0ys8s10vcJ
conf/sigmod/AgrawalGGR98,rSTewQ1dQkYJ
conf/sigmod/AgrawalGGR98,UYQpDoh0wo0J
conf/sigmod/AgrawalGGR98,v9JW-UJCD-YJ
conf/sigmod/AgrawalGGR98,x8fDHaNkSUIJ
conf/sigmod/AgrawalS00,ufPUBsN4eg0J
conf/sigmod/AltinelLKMPLWB02,HtYTQ-fN8ccJ
conf/sigmod/AltinelLKMPLWB02,zzg3KI_fyyIJ
conf/sigmod/AmbiteABKMMMPT98,iE-UE2bDGZ8J
conf/sigmod/AmbiteABKMMMPT98,L7XmLpQLXBIJ
conf/sigmod/AmbiteABKMMMPT98,YAkpVC1qgaIJ
conf/sigmod/Amer-YahiaCLS01,DFubU20j1OIJ
conf/sigmod/Amer-YahiaCLS01,VzfXEsmoyUcJ
conf/sigmod/Amer-YahiaCLS01,wGxcAPsmHgIJ
conf/sigmod/Amer-YahiaCLS01,WsCqveNDjjUJ
conf/sigmod/Amer-YahiaFSX03,7-b5YXuGJS0J
conf/sigmod/Amer-YahiaFSX03,fm69LHjS4T0J
conf/sigmod/Amer-YahiaFSX03,IgRat6Xyu2EJ
conf/sigmod/AnkerstBKS99,GFTU2PvKY_gJ
conf/sigmod/AnkerstBKS99,hEemQ37_mPcJ
conf/sigmod/AnkerstBKS99,Hj3vyh0TJVsJ
conf/sigmod/AnkerstBKS99,jSUcrxtXhw4J
conf/sigmod/AnkerstBKS99,K1ZdQsRoNloJ
conf/sigmod/AntonJLPZZ02,89P3EdEDuOEJ
conf/sigmod/ArasuBBDIRW03,1DKKwROqEeYJ
conf/sigmod/ArasuBBDIRW03,7D59wPTtkdcJ
conf/sigmod/ArefBV95,ht_8Iq3SZ80J
conf/sigmod/Arpaci-DusseauACHP97,aCCAyNhJFtsJ
conf/sigmod/Arpaci-DusseauACHP97,E_eOZJYat6IJ
conf/sigmod/Arpaci-DusseauACHP97,OaNzji_-7tsJ
conf/sigmod/AshleyFHLNP95,t0Wd_YW4n3cJ
conf/sigmod/AshleyFHLNP95,tL67lYBCRO4J
conf/sigmod/AshleyFHLNP95,ZkK-ilu3tY0J
conf/sigmod/Atkinson95,url:http://portal.acm.org/citation.cfm%3Fid%3D223874
conf/sigmod/AtzeniT97,i2LI1TWifbYJ
conf/sigmod/AtzeniT97,KFmRUQEedY8J
conf/sigmod/AtzeniT97,XaKiz5S-cqUJ
conf/sigmod/AvnurHLORRRW98,bEu_llku9NMJ
conf/sigmod/BabcockBDM03,a2wqpKma5J4J
conf/sigmod/BabcockBDM03,RFNZUHZBP_oJ
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ
conf/sigmod/BabuGR01,h_oXQ6ntHEUJ
conf/sigmod/BabuGR01,zQCRmiH6jo4J
conf/sigmod/BabyCY01,rNoNn5hWsroJ
conf/sigmod/Ballinger94,xGGBIZmLvmgJ
conf/sigmod/Bampahl95,MbgdgwgZCIUJ
conf/sigmod/BarbosaMKL02,ueKnwQCE3nIJ
conf/sigmod/BarclaySG00,6uaAB7bg6C8J
conf/sigmod/BarclaySG00,7br3WXwZRQ4J
conf/sigmod/BarclaySG00,JTEJ-q3T1vsJ
conf/sigmod/BarclaySG00,tKeGALC3uFMJ
conf/sigmod/BarclaySG00,Yiyko_0KiEIJ
conf/sigmod/BargaL99,hf84fEpX5agJ
conf/sigmod/BargaL99,QGxyK7bJQOMJ
conf/sigmod/BaruFGHJPW95,C60KJG_xVm0J
conf/sigmod/BaruFGHJPW95,mFOSML8c0s4J
conf/sigmod/BaruGLMPVC99,3SHIgRrrL5QJ
conf/sigmod/BaruGLMPVC99,arQIThq-W4gJ
conf/sigmod/BaruGLMPVC99,JYHcz-HpKjEJ
conf/sigmod/BaruGLMPVC99,mXKKjAJUm-oJ
conf/sigmod/BaruGLMPVC99,nTC3FQGaT_YJ
conf/sigmod/BaruGLMPVC99,wsNuAYMG0QEJ
conf/sigmod/BaruGLMPVC99,wTXunETZhPwJ
conf/sigmod/BaumannDFRW98,k3WA-AE7Sh4J
conf/sigmod/Bayardo98,Ls7vkMLcYmkJ
conf/sigmod/Bayardo98,mvD-z59XDYoJ
conf/sigmod/Bayardo98,O05yYxasf6UJ
conf/sigmod/Bayardo98,t7cKx4raSM0J
conf/sigmod/Bayardo98,wHaeR7DBDTUJ
conf/sigmod/BenediktCFFR03,T5ZdpquqfJ0J
conf/sigmod/BerchtoldBBKK97,BMkGN7AiGhYJ
conf/sigmod/BerchtoldBK98,1tZ74y0DNLIJ
conf/sigmod/BerchtoldBK98,4Uf5sjXgwhoJ
conf/sigmod/BerchtoldBK98,5bjtbk4ZdZIJ
conf/sigmod/BerchtoldBK98,fTYVIbi40sAJ
conf/sigmod/BerchtoldBK98,hoi0T_8So4gJ
conf/sigmod/BerchtoldBK98,j46yGNUAS-IJ
conf/sigmod/BerchtoldBK98,vrlNTuVexE4J
conf/sigmod/BerchtoldK97,DNVHTz7tMywJ
conf/sigmod/BerchtoldK97,lYpquDAEzrIJ
conf/sigmod/BerchtoldK98,9UYo0M1RV7oJ
conf/sigmod/BerchtoldK98,irJbh9rrinoJ
conf/sigmod/BerchtoldK98,pKKu82IYP9EJ
conf/sigmod/BerchtoldK98,VuMPPr6k95AJ
conf/sigmod/BerckenDS00,3IFlpeKgLlAJ
conf/sigmod/BerckenDS00,-3JQfRZsy8wJ
conf/sigmod/BerckenDS00,Dy5Eeh8JzmgJ
conf/sigmod/BerckenDS00,KO6M4Fc8-80J
conf/sigmod/BergstraesserBPS99,4Ha7Bs5Vq3MJ
conf/sigmod/BergstraesserBPS99,qcZ2tYThtK0J
conf/sigmod/Bernstein96,EvuLCpyVqWgJ
conf/sigmod/BersonGMJ94,bw_c9Mk0_7IJ
conf/sigmod/BersonGMJ94,gQAPUymwcAIJ
conf/sigmod/BersonGMJ94,IfRMoLIaeZ0J
conf/sigmod/BertinoCF01,JSzfxAgs4pgJ
conf/sigmod/BettiniWBJ95,c57d3rgd3IcJ
conf/sigmod/BeyerR99,6Cdfxiuibd0J
conf/sigmod/BhargavaGI95,TXvfEP4WTD0J
conf/sigmod/BhattacharyaMBNHS02,2J_9scP1caYJ
conf/sigmod/BhattacharyaMBNHS02,cg01BqanXhUJ
conf/sigmod/BhattacharyaMBNHS02,tsQbSCfQTooJ
conf/sigmod/Bierman03,vQcfluHWCeAJ
conf/sigmod/Blakeley96,1fs-qN_SdH4J
conf/sigmod/Blakeley96,37_iwO5NlgwJ
conf/sigmod/Blakeley96,jQ6eIao6R0EJ
conf/sigmod/Blakeley96,xZxFCI120eUJ
conf/sigmod/BlohsfeldKS99,PQbi3PaRh84J
conf/sigmod/BlottRS96,4aSEl4haaq4J
conf/sigmod/BlottRS96,8J0wmqs6RfIJ
conf/sigmod/BlottRS96,Fz7LXJ1UckkJ
conf/sigmod/BlottRS96,jq_F3lCmTaIJ
conf/sigmod/BohannonDGKLNS03,83wqw4ciNWoJ
conf/sigmod/BohannonMR01,ChD3-mp23f8J
conf/sigmod/BohlenBD99,X2odIfnOC88J
conf/sigmod/BohmA96,978pJCGhaGoJ
conf/sigmod/BohmBKK01,C4XcBh6anhAJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,oulaZpEWkMQJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,SvL_dU_R8msJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,wF2-sxlGAu4J
conf/sigmod/BohrerBBCFHKKMNRRSUUW97a,JntLVX4TPi0J
conf/sigmod/BohrerBBCFHKKMNRRSUUW97a,NiBdZXS0TCMJ
conf/sigmod/Bonnet02,bqyt1789jJ8J
conf/sigmod/BorkarDS01,8zFEVer1rBUJ
conf/sigmod/BorkarDS01,nsoA6Gcc_jsJ
conf/sigmod/BornhovdAKMPR03,7lPu8hBgKksJ
conf/sigmod/BouguettayaBH99,ER8571wXl6EJ
conf/sigmod/BouguettayaBH99,siO8kr7vvLEJ
conf/sigmod/BouguettayaBH99,U-Kd4GQ_vCMJ
conf/sigmod/BozkayaO97,37lliRw_cOQJ
conf/sigmod/BozkayaO97,9QOCoTIXz9kJ
conf/sigmod/BozkayaO97,gIZvbo_lu2IJ
conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ
conf/sigmod/BraumandlKK99,X7jjMIXx8qUJ
conf/sigmod/BraumandlKK99,ywe7qzk4E5MJ
conf/sigmod/BreitbartKRSS99,XV2lpkhWCsYJ
conf/sigmod/BressanGFJHKLMPQSS97,_1drQdYrtmsJ
conf/sigmod/BressanGFJHKLMPQSS97,1akMDtKXUFAJ
conf/sigmod/BressanGFJHKLMPQSS97,jJuSPh63bZ0J
conf/sigmod/BressanGFJHKLMPQSS97,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0294191CI
conf/sigmod/BreunigKKS01,3ET_IEkoGjYJ
conf/sigmod/BreunigKKS01,h-tyLTytlh4J
conf/sigmod/BreunigKKS01,LxyVmHubIfUJ
conf/sigmod/BreunigKNS00,4ZBs-U7sOk0J
conf/sigmod/BreunigKNS00,8lIwxMfoZN4J
conf/sigmod/BreunigKNS00,vezxTIGxNywJ
conf/sigmod/Brewer98,k4UNrsGeUuAJ
conf/sigmod/BrinDG95,7mNCkZ7D-R8J
conf/sigmod/BrinDG95,JsKYXyM6IaEJ
conf/sigmod/BrinDG95,QmhdqC_PIWsJ
conf/sigmod/BrinkhoffKSS94,cb1kf4z7hA4J
conf/sigmod/BrinkhoffKSS94,e4s7pmZj8UAJ
conf/sigmod/BrinkhoffKSS94,IINRwK8hovkJ
conf/sigmod/BrinkhoffKSS94,qk4kfo7BXvUJ
conf/sigmod/BrinkhoffKSS94,RWhfLTpLoQUJ
conf/sigmod/BrinMS97,41B5NuefLPsJ
conf/sigmod/BrinMS97,AXRuaD-82zEJ
conf/sigmod/BrinMS97,COUbnKv6QeMJ
