tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
6,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,6,,"J Appl. Phys.,",,,"893,",,,,,"76,",
10,"Milan,",Steve Benford and Lennart E. Fahlen.,"In Proceedings of ECSCW'93,",1993.,,10,,,,,,,,A spatial model of interaction in large virtual environments.,,,
26,"Pittsburgh, PA.","Daelemans, W., Van den Bosch, A., and Weijters, T.",,(1995).,"S. E. and Lebiere, C.",26,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",(1990). The Cascade-correlation Learning Architecture.,,,
30,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,30,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
31,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,31,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
32,,M. Dill and M.,,,,32,,Perception & Psychophysics (in press).,,,,,,Fahle,,,
41,,"Fahle, M. & Edelman, S.",,(1993).,,41,,"Vision Research,",,,397-412.,,,"Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback.",,"33,",
46,,"Fahle, M., Edelman, S., & Poggio, T.",,,,46,,"Vision Research,",,,3003-3013.,,,,,"35,",
58,,"Fahlman, S. E.",,(1974).,,58,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,"5 (1),",
62,,S.E. Fahlman.,,1974.,,62,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,
66,,Scott Elliott Fahlman.,,1974.,,66,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5(1),
71,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,71,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real World Knowledge.,,,
77,,"Fahlman, S. E.,",,1979.,,77,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
81,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,81,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
82,"Cambridge, Mass.,",S. E. Fahlman.,,1979.,,82,,,,,,"MIT Press,",,NETL : a System for Representing and Using Real-World Knowledge.,,,
91,,Scott E Fahlman.,,1979.,,91,,,,,,"The MIT Press,",,"NETL, A System For Representing And Using Real-World Knowledge.",,,
97,"Cambridge, MA,","S. Fahlman,",,1979.,,97,,,,,,"MIT Press,",,"NETL: A System for Representing and Using Real World Knowledge,",,,
98,"Cambridge, Massachusetts,",S. Fahlman.,,1979.,,98,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
99,,Scott E. Fahlman.,,1979.,,99,,,,,,"MIT Press,",,Netl: A System For Representing And Using Real-World Knowledge.,,,
106,,"Fahlman, S. and Hinton, G.",,(1987).,,106,,"Computer,",,,100-118.,,,Connectionist Architectures for Artificial Intelligence.,,20,
107,"San Mateo, CA:","S. E. Fahlman,","Proc. of the 1988 Connectionist Models Summer School,",1989.,"D. Touretzky, G. Hinton and T. Sejnowski, eds.,",107,,,,,"pp. 38-51,","Morgan Kauffman,",,"Faster-Learning Variations on Back-Propagation: An Empirical Study,",,,
114,San Mateo).,"Fahlman, S.E.","Proceedings of the 1988 Connectionist Models Summer School,",1989.,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.",114,,,,,38-51,"(Morgan Kaufman,",,Fast-learning variations on back-propagation: an empirical study.,,,
119,"San Mateo, 1989.",S.E. Fahlman.,"Proceedings of the 1988 Connectionist Models Summer School,",,"In D. Touret-zky, G. Hinton, and T. Sejnowski, editors,",119,,,,,"pages 38-51,",Morgan Kaufmann.,,Fast-learning variations on back-propagation: An empirical study.,,,
142,,S. E.,"in Proceedings of the 1988 Connectionist Summer School,",,,142,,,,,,Morgan Kauf-mann.,,"Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study,",,,
156,"Pittsburgh, PA.","Fahlman, S. E.",,1988.,,156,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An Empirical Study of Learning Speed in Backpropagation Networks.,,,
158,,"Fahlman, S.E.",,(1988),,158,"School of Computer Science, Carnegie Mellon University.",,,,,,"CMU-CS-88-162,","An empirical study of learning speed in back-propagation networks,",,,
162,,"Fahlman, Scott.",,1988.,,162,"Department of Computer Science, Carnegie Mellon University.",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
165,,"Fahlman, S.E.",In Proceedings of the 1988 Connectionist Models Summer School.,1988.,,165,,,,,,Morgan-Kaufmann.,,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,
167,,S. Fahlman.,,1988.,,167,"Carnegie Mellon University,",,,,,,"Technical report,",An empirical study of learning speed in back-propagation networks.,,,
170,,S.E. Fahlman.,,1988.,,170,"Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
176,"Pittsburgh, PA,",Scott E. Fahlman.,,1988.,,176,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
184,"Pittsburgh, PA,",S. E. Fahlman.,,1988.,,184,"Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in backpropagation networks.,,,
192,"Pittsburgh, PA:","Fahlman, S.E. and Lebiere, C.,",,1991.,,192,"Carnegie-Mellon University,",,,,,,"(technical report), CMU-CS-90-100,","The Cascade-Correlation Learning Architecture,",,,
195,"Pittsburgh, PA 15213.","Fahlman, S. E. & Lebiere, C.",,"(1990),",,195,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The Cascade-Correlation learning architec ture,",,,
196,"Pittsburgh, PA 15213.","Fahlman, S. E. & Lebiere, C.",,"(1990),",,196,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The Cascade-Correlation learning architecture,",,,
199,"Pittsburgh, PA.","Fahlman, S. E. and Lebiere, C.",,(1990).,,199,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,
205,Pittsburgh.,"Fahlman, S., and Lebiere, C.",,(1990).,,205,"Carnegie Mellon University,",,,,,,"Technical Report CMU CS-90-100,",The cascade-correlation learning architecture.,,,
207,"Pitts-burgh,PA",S. E. Fahlman and C. Lebiere.,,1990.,,207,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The cascade-correlation learning architecture.,,,
226,"Pittsburgh, PA.","Fahlman, S. E. and Lebiere, C.",,(1990),,226,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report #CMU-CS-90-100,",The Cascade-Correlation Learning Architecture.,,,
242,"Pittsburgh, PA.","Fahlman, S. E. & Lebiere, C.",,(1990).,,242,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-correlation Learning Architecture.,,,
254,"San Mateo, CA.","Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,",254,,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,
256,"San Mateo, CA.","Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,",256,,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,
257,"San Mateo, CA.","Fahlman, S. & Lebiere, C.","Advances in Neural Information Processing Systems (volume 2),",(1989).,"In Touretzky, D., editor,",257,,,,,"(pp. 524-532),",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,,
