tid,id,title,authors,venue,year
1,aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
13,UPWEn_-Pd-sJ,Stereochemical Applications of Gas-Phase Electron Diffraction,"K Kuchitsu, M Nakata, S Yamamoto, I Hargittai, M  ","Hargittai,",
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
29,7B7KCnJu4j8J,Flight to Objectivity: Essays on Cartesianism and Culture,S Bordo,,
32,pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",
36,_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000
37,ZpOG6KM-mgoJ,Learning with kernels [Ph. D. Thesis],AJ Smola,"Technical University of Berlin,",
43,AELK1VrNZ40J,Temperatures necessary to kill fungi in wood,S Chidester,"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",
45,HTf9AkxlLV8J,Lohman. GM R* Optimizer Validation and Performance Evaluation for Local Queries,LF Mackert,"Proceedings of SIGMODâ??86. Washington. May,",
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
49,78PlrdpBT8sJ,Dimethyl ether(DME) spray characteristics in a common-rail fuel injection system.,J Yu,"Proceedings of the Institution of Mechanical Engineers D,  &hellip;,",2003
50,oc6SJkjsQH8J,"Crypt Breakerâ??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
53,r7Nwb5Ja0V4J,Optimally sparse representations in general dictionaries by l 1 minimization,"D Donoho, M Elad","Technical Report, Statistics Department, Stanford University, ",
64,ctG34FDMmUoJ,"A Resource for Your Cosmetology Career, 2000 Edition",S Fundamentals,,
65,XCdKCLPJ9gkJ,On the nature of continental shelves: Academic Press,JJ WALSH,"San Diego,",
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
70,AKJwRjF08K0J,The Defect Structure and Mechanical Properties of Spinel Single Crystals,MH Lewis,"Phil. Mag,",
78,p6PzqUPVOFMJ,New Chance: Implementing a comprehensive program for teenage parents and their children,"J Quint, B Fink, S Rowser",,1991
79,qEEE1vE37TQJ,Adding Some Spice to CSI Curricula,"G Holmes, TC Smith","Proceedings of SZGCSE â??97,",1997
88,53H7hIhiY_oJ,"stevens CE, Harley EJ, Zang EA, Oleszko WR, William DC, et al",W Szmuness,"Hepatitis B vaccine: Demonstration of efficacy in a  &hellip;,",
90,GEpXbBgtUp8J,Characterizing the effects of clock jitter due to substrate noise in discrete-time 1= 6 modulators,P Heydari,"Proc. IEEE/ACM Design Automation Conf,",
92,8uZb1iH-RoYJ,Congenital Diaphragmatic Hernia-Morgagni Type,"L Sinclair, BL Klein","JOURNAL OF EMERGENCY MEDICINE,",1993
96,Pwzqj15AEKgJ,New developments in laser resonators,AE Siegman,,1990
98,LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003
102,izDXhqRW9AYJ,DEVise: integrated queryingand visual explorationof large datasets,"M Livny, R Ramakrishnan, K Beyer, G Chen, D  ","Proceedings of the 1997ACM-SIGMOD Conference,",
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
105,AVGTDRLrxUkJ,Vision-based Pedestrian Detection: will Ants Help?,"M Bertozzi, A Broggi, A Fascioli",,
106,6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
108,BKUtItHoTX8J,Information Gathering in the World Wide Web: The W3QL Query Language and the W3QS System,"D Konopnicki, O Shmueli","ACM Transactions on Database Systems,",1998
112,kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",
115,5wiLuVdexv0J,Energy Conservation 2000 Mayville and Horicon: A Study Of A Community-Based Program,"B Neal, C Sabo","Wisconsin Demand-Side Demonstration, April,",
116,Yvpk-M9_u-AJ,"Heated, humidified air for the common cold",M Singh,"Cochrane Database Syst Rev,",2000
117,HvWZ2rxAO5UJ,Code compression,"J Ernst, W Evans, CW Fraser, TA Proebsting, S  ","Proceedings of the ACM SIGPLAN 1997 conference on  &hellip;,",1997
118,YAkpVC1qgaIJ,ARIADNE: A System for Constructing Mediators for Internet Sources (Demonstration),"J Ambite, N Ashish, G Barish, A Knoblock, S Minton ","Proceedings of ACM SIGMODâ??98 conference on Management of  &hellip;,",
119,3uMQgG34ohYJ,Cost Effective Dynamic Program Slicing,"X Zhang, R Gupta",,
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
121,BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V Noriegaâ?¦","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
132,CUC4O67UnuYJ,A finite element method for the dynamic analysis of automatic transmission gear shifting with a four ,"N Zhang, A Crowther, DK Liu, J Jeyakumaran",,
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
138,HyP3ZqESqhoJ,Photoprotection by carotenoids,MM Mathews-Roth,"Fed Proc,",1987
142,NX7DdvxAtogJ,Instrumental Stakeholder Theory: A Synthesis of Ethics and Economics,TM Jones,"The Academy of Management Review,",1995
145,2HQ1HEki1_4J,"Assessment, Enhancement, and Verification Determinants of the Self-Evaluation Process",C Sedikides,"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
146,Nm4mm1zJfj8J,The velocity of sound below 1 K,"KR Atkins, DV Osborne","Phil. Mag,",
157,mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,
158,isW9Z4PIs0YJ,Blind Nasotracheal Intubation in the Presence of Facial Trauma,"CL Rosen, RE Wolfe, SE Chew, SW Branney, EJ Roe","JOURNAL OF EMERGENCY MEDICINE,",1997
160,OOZb-r3GUTMJ,Genera crustaceorum et insectorum,PA Latreille,"Tomus I,",
165,dr0I1_OTjdgJ,Pollution Prevention at Shipyards,PNPPR Center,"Seattle, Washington, September,",
166,8K19hGoG2K8J,Stochastic averaging of Hamiltonian systems: a direct martingale proof of a result by Freidlin and  ,"R Sowers, N Sri Namachchivaya","Submitted for publication,",
171,FhpFMAc1rzYJ,Participation's Effects on Performance and Satisfaction: A Reconsideration of Research Evidence,JA Wagner III,"The Academy of Management Review,",1994
172,CJ3wL4FeuvMJ,Using New Clues to Find Data,"C Fie1771 Fields, N Negroponte","Third International Conference on Very Large Data Bases,  &hellip;,",
173,QfR8jZOQI6QJ,"Imino Esters: Versatile Substrates for the Catalytic, Asymmetric Synthesis of R-and Î²-","AE Taggi, AM Hafez, TR Lectka","Amino Acids and Î²-Lactams. Acc. Chem. Res,",
174,2ACfLS1IpwQJ,CAME: the first step to automated software engineering,M Saeki,"Procs. OOPSLA 2003 Workshop on Process Engineering for  &hellip;,",
180,QPpUo7m3A7cJ,Efficient Transparent Application Recovery,"D Lomet, G Weikum",Client-Server Information Systems.,
181,syoqNSarAscJ,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,"AH HS02, S Sudarshan",,2002
183,Gk7-d_NfqMEJ,"Predatory behavior of grizzly bears feeding on elk calves in Yellowstone National Park, 1986-88","SP French, MG French","International Conference on Bear Research and Management,",
186,JEY4MNdwsggJ,Capitalistic mathematics,VP Maslov,Manuscript,
189,FHKbOnShy9EJ,KNOWLEDGE OF BLINDNESS ADAPTATION TECHNIQUES AMONG REHABILITATION UNDERGRADUATE STUDENTS,MJ Hoover,,2003
191,d3jIzcfceEUJ,"Behavioral ecology and the evolution of hunter-gatherer societies on the Northern Channel Islands,  ",DJ Kennett,,1998
194,u6SUM1C_ocwJ,Traces of the spirit: the religious dimensions of popular music,R Sylvan,,1998
199,-2Eto4ZQjpoJ,A parallel scheme for test pattern generation,"A Motohara, K Nishimura, H Fujiwara, I Shirakawa","Proc. Int. Conf. Computer-Aided Design,",
201,1QeuNAkihQ4J,"Intra-annual changes in the abundance of coho, chinook, and chum salmon in Puget Sound in 1997","RJ Beamish, M Folkes, R Sweeting, C Mahnken",,
206,EUj67_3E0D0J,"Introduction to Combinatorics, pg. 82, 1996",MJ Erickson,,
209,VqZAqakocVEJ,Effect of drive train and fuel control design on helicopter handling qualities,G Guglieri,"European Rotorcraft Forum, 25 th, Rome, Italy, Proceedings.,",1999
213,vE4M6atFR5gJ,Preface to the proceedings of the Workshop on Data Reverse Engineering,"E Chikofsky, HD Kathi",,2000
214,mjXz-bYKbTwJ,Performance analysis using the MIPS R10000 performance counters,"M Zagha, B Larson, S Turner, M Itzkowitz",,
216,Xul-tMyACGkJ,Link Prediction Approach to Collaborative Filtering,"Z Huang, X Li, H Chen",,
223,url:http://adsabs.harvard.edu/abs/1976InfPh..16..125Z,High resolution infrared solar observations by balloon,R Zander,"&hellip;  on Infrared Physics, Zurich, Switzerland, Aug. 11-15, 1975. &hellip;,",1976
225,092qznpAmYcJ,Enforcing Modeling Guidelines in an ORDBMS-based UML Repository,"N Ritter, HP Steiert",,
226,6ZkXlK72UB4J,Audit and feedback: effects on professional practice and health care outcomes,"G Jamtvedt, JM Young, DT Kristoffersen, O Thomson, ","Cochrane Database Syst Rev,",2003
229,AsiHF3HEpwQJ,Wharton L. Levy DH,RE Smalley,"H. Acc. Chem. Res,",
232,0ct3hfJD8WgJ,2dF mechanical engineering,"G Smith, A Lankshear","Proc. SPIE,",1998
237,AiamPPqvsBUJ,The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","Genes to Cells,",1997
242,z_W8jZ203sUJ,Optimization of dynamic query evaluation plans,"RL Cole, G Graefe","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,",1994
243,VjZuZF2XXB4J,"Yu. A. Medvedev, and BM Stepanov",AV Zhemerev,At.,
244,gt-77ZkB8LoJ,Progressive Encoding for Lossless Transmission of 3D Meshes,"P Alliez, M Desbrun","ACM Siggraph Conference Proceedings,",
248,xnDzZbPyIcMJ,Soft-link hypertext for information retrieval,"Md'Inverno, P Howells, MJ Hu, M Luck","Information &amp; Software Technology,",2002
250,8pK3snsuLDEJ,An Organisational Perspective of Inter-Organisational Workflows,"X Zhao, C Liu, Y Yang","International Conference on Business Process Management,",
252,0wVMAyv_P5kJ,Socioeconomic Restructuring and Regional Change: Rethinking Growth in the European Community.,A Rodriguez-Pose,"Economic Geography,",1994
255,E7H04svX7v8J,The REMIT System for Paraphrasing Relational Query Expressions into Natural Language,BGT Lowden,"VLDB,",1986
261,p64HqJ4RIQQJ,"Modes of Action of FK506, Cyclosporin A, and Rapamycin",R Morris,"TRANSPLANTATION PROCEEDINGS,",1994
262,AnNzb6Gr7HkJ,"TATA probabilistic temporal databases, I: Algebra","A Dekhtyar, R Ross, VS Subrahmanian","Technical report CS-TR-3987, Department of Computer Science, ",
265,4ii5NtWqhIYJ,Asilomar Report,"P Bernstein, M Brodie, S Ceri, M Franklinâ?¦","SIGMOD Record,",
269,9evIHTb1x8sJ,Arrangement of Latches in Scan-Path Design to Improve Delay Fault Coverage,"W Mao, MD Ciletti","Proc. Int. Test Conference,",1990
270,Dkd7JqNh-fwJ,Selenium determination in animal whole blood using stabilized temperature platform furnace and  ,"RH Eckerlin, DW Hoult, GR Carnrick","At Spectrosc,",
272,url:http://adsabs.harvard.edu/abs/1974PhDT........51S,The formulation of molecular quantum mechanics with the aid of particle density operators and phase  ,M Schleicher,"&hellip;  Eidgenoessische Technische Hochschule, Zurich (Switzerland) &hellip;,",1974
275,XIkChsdw3CoJ,The Transmembrane Domain of the Large Subunit of HSV-2 Ribonucleotide Reductase (ICP10) Is Required  ,"CC Smith, JH Luo, JCR Hunter, JV Ordonez","VIROLOGY-NEW YORK-,",1994
277,JoY5e_B55gAJ,ProDA: a suite of web-services for progressive data analysis,"M Jahangiri, C Shahabi","Proceedings of 24th ACM SIGMOD International Conference on  &hellip;,",2005
281,GcZFuzekOiAJ,The Discovery of the Individual 1050-1200,C Morris,,
284,DBh6rPNazToJ,Martingale estimating functions based on eigenfunctions for discretely observed small diffusions,M Uchida,,2004
285,SxkA8bJooH4J,Social Experimentation,H Riecken,,
286,QO9uigNY9WgJ,Computer implementation of thenite element method,A George,"Stanford University Technical Report STAN-CS-208, Stanford, CA, ",
287,CbVuJPvkwf0J,"Land degradation in the Yallahs Basin, Jamaica: historical notes and contemporary observations","D Barker, DFM McGregor","Geography,",
288,hdOQ_vyjDacJ,Scatter/gather: A cluster-based approach to browsing large doctnnent collections,"DR Cutting, DR Karger, JO Pedersen, JW Tukey","Proc. ACM SIG1R,",
291,sIUa2f9F91EJ,Four cheers for geography,S Jenkins,"Geography,",
292,Y0VN0e_bJjsJ,Fluency in a discourse or manipulation of mental objects,W DÃ¶rfler,"Proceedings of PME,",
296,c2dH5RxNj6kJ,A Multimedia Presentation Algebra,"S AdalÄ±, ML Sapino, VS Subrahmanian","SIGMOD,",1999
302,kL4JPdyjdakJ,A Characterization of the Bivariate Normal-Wishart Distribution,"D Geiger, D Heckerman",,
305,ufc3hEkkoN4J,Designing solutions with COM+ technologies,"R Brown, W Baron, WD Chadwick",,2001
306,9jPrZSfTe2cJ,The Undergraduate Curriculum and Distance Education.,GE Miller,"New Directions for Adult and Continuing Education,",1995
307,FQYijwLbARMJ,The social delegation cycle,"G Boella, L van der Torre","LNAI n. 3065: Procs. ofâ?? EONâ??04,",
309,TgMOy2x-o9wJ,"The Haskell School of Expression: Learning Functional Programming through Multimedia, 2000",P Hudak,,
