sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,16,0.97,0.91,4434,418,4712,140,2,16,0.852179406190777,0.963915684172919,0.9046102263202013
1,2,15,0.97,0.91,4442,425,4709,158,4,28,0.5036829182742897,0.9951489951489951,0.6688402421984163
1,3,10,0.97,0.93,3367,261,3520,108,3,21,0.1852052567402791,0.9705360312389066,0.3110529609192787
1,4,14,0.97,0.91,4524,468,4836,156,2,14,0.5640487190256195,0.9616899391335482,0.7110522832561218
2,1,13,0.97,0.90,4020,439,4325,134,2,14,0.8030075187969925,0.9678296329859538,0.8777480994452435
2,2,11,0.98,0.92,3448,305,3678,75,1,7,0.9151670951156813,0.9678296329859538,0.9407619467077737
2,3,11,0.96,0.93,3815,286,3960,141,2,14,0.258452461992285,1.0,0.4107464839523981
2,4,14,0.96,0.94,4460,305,4581,184,2,14,0.258452461992285,1.0,0.4107464839523981
3,1,13,0.96,0.93,3954,303,4103,154,2,14,0.3121367521367521,0.9978142076502732,0.4755208333333333
3,2,11,0.98,0.89,3521,423,3864,80,1,7,0.9277238403451996,0.967923466516601,0.9473974111814927
3,3,15,0.97,0.89,3735,477,4088,124,2,16,0.4033692091717361,0.9690837549184935,0.5696348917891954
3,4,13,0.95,0.94,4897,308,4964,241,3,21,0.24635725849973017,0.9978142076502732,0.3951525643800043
4,1,13,0.97,0.90,4112,465,4456,121,3,21,0.39332784184514,0.9597989949748744,0.5579900671925212
4,2,15,0.97,0.90,3685,398,3959,124,3,21,0.1042597232814032,0.9608433734939759,0.18810810810810813
4,3,13,0.97,0.91,3902,392,4167,127,2,14,0.42369121561668144,0.9597989949748744,0.587873191751308
4,4,13,0.97,0.93,3261,239,3410,90,2,14,0.6834437086092715,0.9985486211901307,0.8114802437586004
5,1,13,0.97,0.92,3653,302,3847,108,3,21,0.40014445648248465,0.9835774522858411,0.5688615068668976
5,2,13,0.96,0.94,4343,293,4460,176,3,21,0.12291823358762222,0.999563128003495,0.21891594507965365
5,3,15,0.97,0.92,4361,381,4592,150,2,14,0.3978129713423831,0.9590909090909091,0.562366737739872
5,4,12,0.97,0.91,4257,408,4514,151,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
