tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
5,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,(1994).,,5,,"J Appl. Phys.,",,,"893,",,,,,"76,",
18,"Paderborn, FRG,","D. F. Brown, H. Moura, and D. A. Watt. Actress:","Proceedings of the 4th International Conference on Compiler Construction (CC'92),",October 1992.,"In U. Kastens and P. Pfahler, editors,",18,,,,"volume 641 of Lecture Notes in Computer Science,","pages 95-109,",Springer-Verlag.,,an action semantics directed compiler generator.,,,
25,"Hillsdale, NJ.","Cramer, N. L.","Proceedings of an International Conference on Genetic Algorithms and Their Applications,",(1985).,"In Grefenstette, J., editor,",25,,,,,"pages 183-187,",Lawrence Erlbaum Associates.,,A representation for the adaptive generation of simple sequential programs.,,,
29,,,"Proceedings of the Third International Conference on Genetic Algorithms,",(1989).,"In J. Schaffer (Ed.),",29,,,,,pp. 42-50.,Morgan Kaufmann.,,An investigation of niche and species formation in genetic function optimization.,,,
30,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,30,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
38,,"Fahle, M.",,,,38,,"Vis. Res.,",,,2149-2184.,,,"(1991) Parallel perception of vernier offsets, curvature, and chevrons in humans.",,31:,
43,,"Fahle, M., Edelman, S., and Poggio, T.",,(1995).,,43,,"Vision Research,",,,3003-3013.,,,Fast perceptual learning in hyperacuity.,,35,
49,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,49,,,,,"pages 4348,",,,A space based model for user interaction in shared synthetic environments.,,,
62,,S.E. Fahlman.,,1974.,,62,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,
81,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,81,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
83,,S.E. Fahlman.,,,,83,,,,,,MIT Press.,,"NETL: A system for representing real-world knowledge,",,,
94,"Cambridge, Ma,",S. E. Fahlman.,,1977.,,94,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
96,"Cambridge, MA, U.S.A.,",S.E. Fahlman.,,1979.,,96,,,,,,"MIT Press,",,NETL: A system for representing and using real-world knowledge.,,,
113,,"Fahlman, S.E.",Proceedings of the 1988 Connectionist Models Summer School.,(1988).,,113,,,,,pp. 38-51.,Morgan Kaufmann.,,Fast-Learning Variations on BackPropagation: An Empirical Study.,,,
126,"San Mateo, CA,","Fahlman, S. E.","Proceedings of 1988 Connectionist Models Summer School,",,"Touretzky, D., Hinton, G and Sejnowski T. (Eds.)",126,,,,,pp. 38-51.,"Morgan Kaufmann,",,(1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study.,,,
