id1,id2
3,5
3,8
5,8
50,53
56,57
87,91
87,95
87,98
91,95
91,98
95,98
108,109
108,116
108,134
108,137
108,145
109,116
109,134
109,137
109,145
116,134
116,137
116,145
134,137
134,145
137,145
149,164
149,165
149,167
149,186
164,165
164,167
164,186
165,167
165,186
167,186
198,202
198,207
198,212
198,232
198,235
198,242
202,207
202,212
202,232
202,235
202,242
207,212
207,232
207,235
207,242
212,232
212,235
212,242
232,235
232,242
235,242
249,252
249,260
249,268
249,285
249,298
249,306
249,322
249,323
249,336
249,341
249,343
249,350
249,355
249,357
249,363
249,366
249,368
249,376
252,260
252,268
252,285
252,298
252,306
252,322
252,323
252,336
252,341
252,343
252,350
252,355
252,357
252,363
252,366
252,368
252,376
260,268
260,285
260,298
260,306
260,322
260,323
260,336
260,341
260,343
260,350
260,355
260,357
260,363
260,366
260,368
260,376
268,285
268,298
268,306
268,322
268,323
268,336
268,341
268,343
268,350
268,355
268,357
268,363
268,366
268,368
268,376
285,298
285,306
285,322
285,323
285,336
285,341
285,343
285,350
285,355
285,357
285,363
285,366
285,368
285,376
298,306
298,322
298,323
298,336
298,341
298,343
298,350
298,355
298,357
298,363
298,366
298,368
298,376
306,322
306,323
306,336
306,341
306,343
306,350
306,355
306,357
306,363
306,366
306,368
306,376
322,323
322,336
322,341
322,343
322,350
322,355
322,357
322,363
322,366
322,368
322,376
323,336
323,341
323,343
323,350
323,355
323,357
323,363
323,366
323,368
323,376
336,341
336,343
336,350
336,355
336,357
336,363
336,366
336,368
336,376
341,343
341,350
341,355
341,357
341,363
341,366
341,368
341,376
343,350
343,355
343,357
343,363
343,366
343,368
343,376
350,355
350,357
350,363
350,366
350,368
350,376
355,357
355,363
355,366
355,368
355,376
357,363
357,366
357,368
357,376
363,366
363,368
363,376
366,368
366,376
368,376
409,414
434,435
434,443
434,444
434,448
435,443
435,444
435,448
443,444
443,448
444,448
458,466
474,477
526,527
538,545
538,550
545,550
569,579
592,614
592,618
592,622
592,635
592,648
592,660
592,670
592,673
592,680
592,686
592,687
592,696
592,785
592,893
592,894
592,901
592,903
592,928
592,931
592,936
592,940
592,945
592,947
592,953
592,954
592,959
592,966
592,986
592,1000
592,1002
614,618
614,622
614,635
614,648
614,660
614,670
614,673
614,680
614,686
614,687
614,696
614,785
614,893
614,894
614,901
614,903
614,928
614,931
614,936
614,940
614,945
614,947
614,953
614,954
614,959
614,966
614,986
614,1000
614,1002
618,622
618,635
618,648
618,660
618,670
618,673
618,680
618,686
618,687
618,696
618,785
618,893
618,894
618,901
618,903
618,928
618,931
618,936
618,940
618,945
618,947
618,953
618,954
618,959
618,966
618,986
618,1000
618,1002
622,635
622,648
622,660
622,670
622,673
622,680
622,686
622,687
622,696
622,785
622,893
622,894
622,901
622,903
622,928
622,931
622,936
622,940
622,945
622,947
622,953
622,954
622,959
622,966
622,986
622,1000
622,1002
635,648
635,660
635,670
635,673
635,680
635,686
635,687
635,696
635,785
635,893
635,894
635,901
635,903
635,928
635,931
635,936
635,940
635,945
635,947
635,953
635,954
635,959
635,966
635,986
635,1000
635,1002
648,660
648,670
648,673
648,680
648,686
648,687
648,696
648,785
648,893
648,894
648,901
648,903
648,928
648,931
648,936
648,940
648,945
648,947
648,953
648,954
648,959
648,966
648,986
648,1000
648,1002
660,670
660,673
660,680
660,686
660,687
660,696
660,785
660,893
660,894
660,901
660,903
660,928
660,931
660,936
660,940
660,945
660,947
660,953
660,954
660,959
660,966
660,986
660,1000
660,1002
670,673
670,680
670,686
670,687
670,696
670,785
670,893
670,894
670,901
670,903
670,928
670,931
670,936
670,940
670,945
670,947
670,953
670,954
670,959
670,966
670,986
670,1000
670,1002
673,680
673,686
673,687
673,696
673,785
673,893
673,894
673,901
673,903
673,928
673,931
673,936
673,940
673,945
