sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,51,0.99,0.66,1449,751,2190,10,5,47,,,
1,2,52,0.99,0.67,1443,725,2156,12,5,47,,,
1,1,52,0.99,0.66,1449,751,2190,10,5,47,0.9612903225806452,0.7602040816326531,0.8490028490028491
1,2,51,0.99,0.67,1443,725,2156,12,5,47,0.9612903225806452,0.7602040816326531,0.8490028490028491
2,1,51,0.99,0.66,1448,751,2183,13,5,45,0.8797814207650273,0.8277634961439588,0.8529801324503312
2,2,50,1.00,0.64,1406,794,2194,6,4,36,0.9512195121951219,0.8125,0.8764044943820225
3,1,47,0.99,0.66,1429,746,2153,19,5,45,0.8770949720670391,0.8602739726027397,0.8686030428769018
3,2,50,1.00,0.65,1345,734,2072,4,3,27,0.9457831325301205,0.8602739726027397,0.9010043041606887
4,1,53,0.99,0.64,1445,799,2233,11,5,47,0.9056603773584906,0.8112676056338028,0.8558692421991084
4,2,48,0.99,0.64,1451,816,2252,12,5,45,0.8596491228070176,0.8212290502793296,0.84
5,1,45,0.99,0.67,1478,740,2204,12,4,36,0.875,0.8259587020648967,0.849772382397572
5,2,47,0.98,0.66,1451,756,2181,23,4,36,0.875,0.8259587020648967,0.849772382397572
