sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,341,1.00,0.98,838,14,846,0,6,62,0.9333333333333333,0.9882352941176471,0.96
1,2,412,1.00,0.97,800,21,819,0,5,51,0.9333333333333333,0.9882352941176471,0.96
2,1,420,1.00,0.91,728,69,792,0,5,53,0.8888888888888888,0.9444444444444444,0.9158249158249158
2,2,263,1.00,0.97,747,21,765,0,5,49,0.9096385542168675,0.9966996699669967,0.9511811023622047
3,1,402,1.00,0.97,853,25,873,0,5,51,0.9634464751958225,0.9919354838709677,0.9774834437086093 
3,2,378,1.00,0.97,851,25,873,0,5,53,0.9921875,0.9844961240310077,0.9883268482490272
4,1,313,1.00,0.96,779,33,810,0,5,51,0.9625,0.9716088328075709,0.967032967032967
4,2,302,1.00,0.95,760,39,792,0,4,36,0.9683544303797469,0.9683544303797469,0.9683544303797469
5,1,293,1.00,0.98,891,17,900,0,6,64,0.965034965034965,0.9963898916967509,0.9804618117229129
5,2,265,1.00,0.99,876,5,873,0,2,20,0.9391891891891891,1.0,0.9686411149825784
1,3,1101,1.00,0.91,799,82,873,0,4,46,1.0,0.9554655870445344,0.9772256728778468
2,3,263,1.00,0.98,813,16,828,0,6,66,0.9151515151515152, 0.9966996699669967, 0.9541864139020536
3,3,308,1.00,0.98,843,15,855,0,6,64,0.9552238805970149,0.9884169884169884,0.9715370018975333
4,3,393,1.00,0.97,820,28,846,0,6,68,0.40458015267175573,0.9875776397515528,0.5740072202166066
5,3,402,1.00,0.98,882,21,900,0,5,49,0.9784172661870504,0.9890909090909091,0.9837251356238699
