tid,id,title,authors,venue,year
69612,journals/sigmod/EisenbergM02,SQL/XML is Making Good Progress,"A Eisenberg, J Melton",SIGMOD Record,2002
69614,journals/sigmod/Liu02,Editor's Notes,L Liu,SIGMOD Record,2002
69618,journals/sigmod/BargaL02,Phoenix Project: Fault-Tolerant Applications,"R Barga, D Lomet",SIGMOD Record,2002
69622,conf/vldb/ChaudhuriGS95,Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi",VLDB,1995
69624,conf/vldb/LuTD95,The Fittest Survives: An Adaptive Approach to Query Optimization,"H Lu, K Tan, S Dao",VLDB,1995
69627,journals/sigmod/Geller02,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,J Geller,SIGMOD Record,2002
69632,journals/sigmod/Aberer02,Book Review Column,K Aberer,SIGMOD Record,2002
69638,journals/sigmod/ErdurD02,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,"R Erdur, O Dikenelli",SIGMOD Record,2002
69641,journals/sigmod/HummerLW02,Contracting in the Days of eBusiness,"W Hümmer, W Lehner, H Wedekind",SIGMOD Record,2002
69664,conf/vldb/Korth95,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,H Korth,VLDB,1995
69672,conf/vldb/WuYCT95,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"K Wu, P Yu, J Chung, J Teng",VLDB,1995
69674,journals/sigmod/Aberer02a,Book Review Column,K Aberer,SIGMOD Record,2002
69676,conf/vldb/JonscherD94,An Approach for Building Secure Database Federations,"D Jonscher, K Dittrich",VLDB,1994
69681,journals/sigmod/Weikum02,Foundations of Statistical Natural Language Processing - Book Review,,,2002
69684,journals/sigmod/Neven02,Automata Theory for XML Researchers,F Neven,SIGMOD Record,2002
69692,journals/sigmod/SofferMC02,Report on the Mobile Search Workshop at WWW 2002,,,2002
69695,journals/sigmod/CrestaniG02,Report on the 24th European Colloquium on Information Retrieval Research,,,2002
