tid,tconst,averageRating,numVotes
2,tt12532752,9.5,16
4,tt12537087,7.3,9
10,tt12534669,7.0,5
11,tt12534868,6.3,922
12,tt12541355,6.1,124
13,tt0040146,5.6,14
15,tt12534907,7.3,18812
18,tt12540399,6.0,6
21,tt12532849,8.3,5
23,tt12531237,7.7,7
24,tt12531412,6.5,1811
26,tt1456970,5.3,13
27,tt0927634,6.4,8
28,tt12535746,7.6,-1
29,tt12539879,5.5,85
30,tt12540401,7.0,59
31,tt12541831,4.4,9
36,tt9035628,5.1,60
37,tt12531849,6.8,2
44,tt12535785,9.1,28006
47,tt12534667,7.6,7
48,tt12540917,5.8,432
50,tt12535723,5.8,121
51,tt12541653,6.5,24
54,tt12540418,7.2,842
56,tt12540958,4.7,126
59,tt12542918,7.0,14
61,tt0311234,6.8,11
63,tt12538434,8.6,21
65,tt12538062,7.4,52
66,tt12536025,6.3,149
69,tt12543819,6.5,38
70,tt12533245,6.5,11
72,tt12545396,5.7,16
73,tt12531999,5.9,13
78,tt12532254,7.4,61
81,tt2083932,5.9,15
82,tt6548410,4.0,10
84,tt12535617,6.9,23538
85,tt4708408,2.2,8
87,tt12535533,7.3,754
88,tt12542257,9.1,15
89,tt6620638,6.5,8
90,tt12535633,4.5,11
93,tt12532992,5.3,17
94,tt12542350,6.7,20
97,tt12531800,5.0,755
98,tt12543138,6.5,5
101,tt1337354,7.2,847
102,tt12538281,2.5,803
105,tt12531413,6.7,1811
107,tt0471839,5.2,31
108,tt12535644,4.9,8
110,tt12544497,7.2,8
111,tt3399368,5.0,290
112,tt12537316,6.6,7
113,tt12540297,6.1,10
114,tt12541775,6.1,18
115,tt12535190,7.8,8
118,tt0234528,8.6,9
119,tt12545974,6.4,143
122,tt12535718,7.7,25
125,tt12543702,7.4,165
126,tt12533194,7.3,7
127,tt12541504,4.9,243
129,tt12542733,7.5,66
135,tt0494712,2.3,805
136,tt12535808,6.2,28
139,tt7388830,7.7,16
140,tt12543980,5.1,17
141,tt12534020,1.5,11
142,tt12541380,4.4,1189
144,tt12539473,5.4,10
153,tt0865634,8.4,52
155,tt12545048,6.3,1034
160,tt12531236,7.1,11
161,tt12536038,6.0,-4
164,tt5421602,8.7,28009
165,tt12533850,6.9,10
166,tt12537406,8.2,16
168,tt7349906,4.6,8
169,tt12532474,7.0,7
171,tt12541929,6.9,0
172,tt12531231,5.0,7
175,tt12540048,7.6,9
177,tt12539622,6.0,-4
180,tt12539386,6.2,6
181,tt12544812,6.4,114
182,tt12542856,8.0,22
183,tt12534312,7.9,18
184,tt12541915,4.4,299
186,tt12539885,7.0,6
188,tt12536369,8.0,79
189,tt3073216,6.4,5
190,tt12532745,6.6,7
191,tt12535271,8.2,15
192,tt12537971,5.9,5
193,tt12536124,6.5,177
195,tt12536221,7.0,13
196,tt0350037,6.3,149
198,tt12532677,8.1,91
199,tt10410130,9.1,8
201,tt12538572,6.9,30
202,tt12545683,5.4,188
205,tt12544326,4.6,52
206,tt12534789,6.0,22
208,tt1024156,9.0,111
209,tt0350750,3.8,13
214,tt12536429,7.6,83
216,tt12536445,7.0,256
219,tt12543760,4.6,12
223,tt12544082,6.8,7
228,tt3526322,7.2,5
229,tt12537583,6.6,59
230,tt12545128,5.8,96
244,tt12537182,8.3,-4
245,tt12541919,7.1,28
246,tt12532013,6.4,7
248,tt12543632,5.9,8
250,tt12542735,7.0,66
251,tt12545321,7.4,5
254,tt12545611,7.1,7
256,tt12532279,5.4,13
257,tt12541697,8.8,18
258,tt0457121,7.4,43
260,tt12535614,6.8,13
264,tt12544636,7.9,981
267,tt0493322,3.6,552
271,tt12543140,5.4,-5
273,tt0030861,6.8,24
274,tt12545091,7.4,44
275,tt12531863,4.6,2149
278,tt12543861,4.7,28
281,tt12535196,5.3,34
282,tt12542127,5.5,21
284,tt12543389,7.1,19
285,tt0314490,6.0,5
286,tt1155541,6.6,9
287,tt12544049,6.5,84
288,tt12532319,8.0,13
289,tt12537970,6.2,6
290,tt4995922,6.0,5
292,tt12544866,4.7,20
293,tt1096871,6.0,52
294,tt12545898,7.6,15
297,tt12533508,1.7,22
298,tt12536597,6.1,5
299,tt12539619,7.7,7
301,tt12542555,6.6,29
303,tt12534406,5.2,36
304,tt12539679,4.3,5
306,tt12541213,6.4,-4
307,tt12536125,6.9,163
308,tt12544079,6.0,1551
311,tt1672376,6.4,5
313,tt12532006,6.3,25
314,tt12539242,7.0,6
315,tt12536433,8.5,13
318,tt12536696,7.0,18
319,tt12538412,5.9,14
323,tt12535434,7.2,24
324,tt12537920,4.8,-3
325,tt12536682,6.7,31
326,tt12542380,6.8,11
328,tt7897052,8.2,11
333,tt12532520,7.0,218
334,tt12540918,5.6,426
335,tt12535716,7.2,9
337,tt12536713,8.5,8
340,tt12531232,4.7,5
343,tt12544532,4.0,2
345,tt12532225,6.2,940
347,tt12532954,6.5,88
349,tt12538413,5.6,21
352,tt12543390,7.1,13
354,tt12543216,8.7,7
356,tt2770480,6.9,11052
358,tt12536026,5.8,149
359,tt12545773,7.3,10
360,tt12542737,6.5,5
362,tt12541407,8.8,53
363,tt12534492,5.5,25
364,tt12533973,6.8,-5
366,tt12541123,5.9,371
369,tt12534401,4.8,448
370,tt6829094,7.4,89
374,tt12537278,7.3,25
375,tt0003158,6.0,12
376,tt12535108,5.2,85
377,tt12535631,4.8,5
378,tt12533587,4.7,1710
381,tt1107906,5.0,6
384,tt12531670,9.7,6
385,tt12539291,7.1,1475
386,tt2180561,7.6,68
388,tt12532727,6.2,6
389,tt0328285,8.4,5
390,tt0205948,7.5,11
391,tt12536511,6.1,32
392,tt12543975,7.1,8
395,tt12539967,6.9,219
396,tt12535557,7.9,350
397,tt12539278,5.9,96
398,tt0956193,7.1,30
405,tt12535618,5.2,125
406,tt12543236,5.8,6
409,tt12543995,7.7,12
411,tt12543380,7.3,450
412,tt12545226,7.0,17
415,tt12531828,7.6,1143
416,tt12534909,7.2,18816
417,tt12541324,6.7,5
421,tt0050047,8.1,11
422,tt12542141,5.2,5
423,tt12540495,7.6,12
426,tt0366371,6.1,191
428,tt12534073,5.6,68
429,tt0052919,6.1,11
430,tt12538548,7.3,109
431,tt12540629,6.8,3
434,tt12535619,5.7,123
435,tt0175904,6.8,41
437,tt0364182,9.0,14
438,tt12533534,7.3,137
439,tt1807409,3.6,16
441,tt12532295,6.4,404
445,tt12545092,7.2,44
446,tt3542816,9.3,14
447,tt12538458,8.3,29
449,tt0403877,7.7,7
451,tt0804223,5.1,17
452,tt12537042,6.0,5
453,tt12541777,6.2,25
455,tt12537206,7.7,8
456,tt12538013,8.4,5
460,tt12534972,6.4,14
461,tt5533118,7.7,6
464,tt12538167,6.9,573
466,tt0017883,5.9,10
467,tt12536414,5.6,119
468,tt12532782,6.2,39
470,tt0047400,6.0,304
471,tt6662506,7.3,22
472,tt12540720,4.7,79
473,tt12541583,6.4,5
474,tt12542966,6.3,24
479,tt12531573,7.9,8
482,tt12535161,7.0,76
484,tt12545749,7.3,7
488,tt12541356,6.1,116
495,tt12536921,8.8,15
496,tt2836540,8.5,10
497,tt12539963,6.1,206
498,tt12531801,4.7,774
500,tt12540764,3.6,15
502,tt12533476,6.6,13
503,tt7510284,7.7,175
508,tt12535436,5.4,64
509,tt12531853,8.7,9
511,tt6488386,7.9,38
513,tt12531324,7.5,27
514,tt12532317,7.6,3
516,tt0181449,6.8,20
526,tt12543431,6.1,23
527,tt12533525,8.8,10
528,tt1733527,7.3,12
530,tt12533085,4.0,27
531,tt12542683,5.8,39
532,tt9747450,7.1,672
534,tt12540719,4.6,71
535,tt12543284,6.7,18
536,tt12531998,5.9,13
538,tt12533122,7.5,504
539,tt12538793,6.9,30
540,tt12534945,6.0,10
541,tt12543062,7.9,32
542,tt12538943,8.0,11
543,tt12533596,6.9,672
544,tt12538616,7.0,91
545,tt12539676,4.1,85
549,tt12540494,7.3,17
550,tt12531251,7.4,4
551,tt12544409,8.1,516
552,tt2390480,6.0,31
554,tt12531131,6.8,53
555,tt5937980,10.0,6
557,tt1113723,8.1,54
559,tt5950092,1.9,103
561,tt1078899,4.8,1597
565,tt0391140,5.2,5
566,tt12533089,5.4,138
567,tt12545460,9.0,1892
573,tt1961844,8.2,12
574,tt12536184,3.6,9
575,tt12533404,7.2,37
576,tt12541182,9.3,17
579,tt12533821,7.7,13
580,tt12542785,6.8,71
582,tt12541734,5.2,64
583,tt12543342,7.7,68
586,tt12538451,6.2,13
587,tt12538662,8.0,5
590,tt2268019,7.4,615
591,tt12542981,6.3,48
592,tt12543129,7.7,236
593,tt12535810,5.2,253
594,tt1145500,8.7,1892
597,tt12535538,6.9,3
599,tt12537279,7.8,25
601,tt12542280,6.2,128
602,tt12540772,7.2,7
603,tt0052547,5.1,56
605,tt12532402,4.8,33
606,tt5120734,6.7,91
608,tt0195054,6.4,120
609,tt0023465,6.4,114
