sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,330,1.00,0.92,382,33,414,0,5,53,0.937984496124031,0.968,0.952755905511811
1,2,84,1.00,1.00,371,0,369,0,1,9,0.9280575539568345,1.0,0.9626865671641791
1,3,85,1.00,1.00,369,0,369,0,1,9,0.9280575539568345,1.0,0.9626865671641791
1,4,226,1.00,0.99,374,5,378,0,6,62,0.9333333333333333,0.9882352941176471,0.96
2,1,205,1.00,1.00,375,0,369,0,2,20,0.004433037797480168,1.0,0.008826945412311266
2,2,252,1.00,0.95,354,18,369,0,4,40,0.9430379746835443,0.9900332225913622,0.965964343598055
2,3,187,1.00,1.00,340,1,333,0,2,20,0.003912465113852735,0.9933774834437086,0.007794232268121591
2,4,216,1.00,0.98,369,7,369,0,7,75,0.0009083520581345318,1.0,0.0018150554069545281
3,1,221,1.00,0.98,400,9,405,0,6,62,0.0023489872251233218,0.9961685823754789,0.004686922584657539
3,2,251,1.00,1.00,431,2,432,0,3,33,0.007052186177715092,0.9961685823754789,0.014005225026259798
3,3,175,1.00,1.00,384,0,378,0,2,18,0.13360739979445016,0.9961685823754789,0.23561395559583145
3,4,256,1.00,0.97,384,11,387,0,7,75,0.0022928498359730503,0.9961685823754789,0.004575169149282491
4,1,257,1.00,0.99,434,3,432,0,2,20,0.7351598173515982,0.9938271604938271,0.8451443569553805
4,2,217,1.00,1.00,376,1,369,0,2,20,0.002478672769574672,1.0,0.0049450882834779445
4,3,226,1.00,0.97,351,10,360,0,6,62,0.39949748743718594,0.9875776397515528,0.5688729874776387
4,4,271,1.00,0.97,370,13,378,0,6,62,0.39949748743718594,0.9875776397515528,0.5688729874776387
5,1,216,1.00,0.98,428,8,432,0,6,62,0.965034965034965,0.9963898916967509,0.9804618117229129
5,2,244,1.00,0.97,404,13,414,0,6,62,0.965034965034965,0.9963898916967509,0.9804618117229129
5,3,84,1.00,1.00,376,0,369,0,1,9,0.9455782312925171,1.0,0.9720279720279721
5,4,325,1.00,0.99,408,4,405,0,6,62,0.9647887323943662,0.9927536231884058,0.9785714285714285
