tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
5,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,(1994).,,5,,"J Appl. Phys.,",,,"893,",,,,,"76,",
8,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,8,,"Journal of Applied Physics,",,,"893,",,,,,"76,",
10,"Milan,",Steve Benford and Lennart E. Fahlen.,"In Proceedings of ECSCW'93,",1993.,,10,,,,,,,,A spatial model of interaction in large virtual environments.,,,
17,"Paderborn, Germany,","Brown, D. F., Moura, H. & Watt, D. A.","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","(1992b),","in U. Kas-tens & P. Pfahler, eds,",17,,,,"Vol. 641 of Lecture Notes in Computer Science,",pp. 95-109.,"Springer-Verlag,",,"Actress: an action semantics directed compiler generator,",,,
18,"Paderborn, FRG,","D. F. Brown, H. Moura, and D. A. Watt. Actress:","Proceedings of the 4th International Conference on Compiler Construction (CC'92),",October 1992.,"In U. Kastens and P. Pfahler, editors,",18,,,,"volume 641 of Lecture Notes in Computer Science,","pages 95-109,",Springer-Verlag.,,an action semantics directed compiler generator.,,,
20,,"B. Buth et. al.,","Compiler Construction,","1992,",in U. Karstens and P. Pfahler (eds.),20,,,,,pp. 141-155.,"Springer Verlag, LNCS 641,",,"Provably Correct Compiler Implementation,",,,
25,"Hillsdale, NJ.","Cramer, N. L.","Proceedings of an International Conference on Genetic Algorithms and Their Applications,",(1985).,"In Grefenstette, J., editor,",25,,,,,"pages 183-187,",Lawrence Erlbaum Associates.,,A representation for the adaptive generation of simple sequential programs.,,,
26,"Pittsburgh, PA.","Daelemans, W., Van den Bosch, A., and Weijters, T.",,(1995).,"S. E. and Lebiere, C.",26,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",(1990). The Cascade-correlation Learning Architecture.,,,
31,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,31,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
36,,"Dutta, S. and Shekhar, S.","In International Joint Conference on Neural Networks,",1988.,,36,"Computer and Information Sciences, University of Florida",,,,pages 443-450.,,TR91-008,Bond rating: A non-conservative application of neural networks.,,"volume 2,",
43,,"Fahle, M., Edelman, S., and Poggio, T.",,(1995).,,43,,"Vision Research,",,,3003-3013.,,,Fast perceptual learning in hyperacuity.,,35,
49,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,49,,,,,"pages 4348,",,,A space based model for user interaction in shared synthetic environments.,,,
53,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,53,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
58,,"Fahlman, S. E.",,(1974).,,58,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,"5 (1),",
59,,"Fahlman, S.E.",,1974.,,59,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,5(1),
61,,S. E. Fahlman.,,1974.,,61,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,
72,,"Fahlman, S. E.",,(1979).,,72,,,,,,MIT Press.,,NETL: A System for Representing and Using Real-World Knowledge.,,,
74,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,74,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
75,,"Fahlman, S. E.,",,1979.,,75,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
77,,"Fahlman, S. E.,",,1979.,,77,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
79,,"Fahlman, S. E.,",,1979.,,79,,,,,,Cambridge: MIT Press.,,"NETL: A system for representing and using real world knowledge,",,,
82,"Cambridge, Mass.,",S. E. Fahlman.,,1979.,,82,,,,,,"MIT Press,",,NETL : a System for Representing and Using Real-World Knowledge.,,,
91,,Scott E Fahlman.,,1979.,,91,,,,,,"The MIT Press,",,"NETL, A System For Representing And Using Real-World Knowledge.",,,
96,"Cambridge, MA, U.S.A.,",S.E. Fahlman.,,1979.,,96,,,,,,"MIT Press,",,NETL: A system for representing and using real-world knowledge.,,,
100,,Scott E. Fahlman.,"In The First Annual Conference on Artificial Intelligence. AAAI,",1980.,,100,,,,,,,,Design sketch for a million-element netl machine.,,,
101,"Hillsdale, NJ:","Fahlman, S.",Parallel Models of Associative Memory.,(1981).,"In G. Hinton and J. Anderson (Eds.),",101,,,,,,Lawrence Erlbaum Associates.,,Representing Implicit Knowledge.,,,
106,,"Fahlman, S. and Hinton, G.",,(1987).,,106,,"Computer,",,,100-118.,,,Connectionist Architectures for Artificial Intelligence.,,20,
110,"San Mateo, California.","Fahlman, S. E.","Proceedings of the 1988 Connectionist Models Summer School,",(1989).,"In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.),",110,,,,,pp. 38-51.,"Morgan Kaufmann,",,Faster-learning variations on back-propagation: an empirical study.,,,
114,San Mateo).,"Fahlman, S.E.","Proceedings of the 1988 Connectionist Models Summer School,",1989.,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.",114,,,,,38-51,"(Morgan Kaufman,",,Fast-learning variations on back-propagation: an empirical study.,,,
119,"San Mateo, 1989.",S.E. Fahlman.,"Proceedings of the 1988 Connectionist Models Summer School,",,"In D. Touret-zky, G. Hinton, and T. Sejnowski, editors,",119,,,,,"pages 38-51,",Morgan Kaufmann.,,Fast-learning variations on back-propagation: An empirical study.,,,
125,"San Mateo, CA.","Fahlman, S. E.","Proceedings of the 1988 Connectionist Models Summer School,",1989.,"In Touretzky, D., Hinton, G., and Sejnowski, T., editors,",125,,,,,"pages 38-51,","Mor-gan Kaufmann,",,Fast-learning variations on back-propagation: An empirical study.,,,
129,"San Mateo, CA:","Fahlman, S. E.","Proceedings of the 1988 Connectionist Models Summer School,",1988.,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),",129,,,,,,"Morgan Kaufmann Publishers , 38-51,",,Faster-learning variations of backpropagation : An empirical study.,,,
134,,S.E. Fahlman.,"In Proceedings of the 1988 Connectionist Models Summer School,",1988.,,134,,,,,,,,Faster-learning variations on back-propagation: An empirical study.,,,
145,,"Scott Fahlman,",In Proceedings of the 1988 Connectionist Models Summer School.,1988.,,145,,,,,,"Morgan Kaufmann,",,"Faster-Learning Variations on Back Propagation: An Empirical Study,",,,
147,"Pittsburgh, PA,",Scott E. Fahlman.,,1988.,,147,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
157,"Pittsburgh, PA.","Fahlman, S.E.",,,,157,"Department of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report,","(1988) An Empirical Study of Learning Speed in BackPropagation Networks (CMU-CS-88-162),",,,
164,,"Fahlman, S.E.",In Proceedings of the 1988 Connectionist Models Summer School.,1988.,,164,,,,,,Morgan-Kaufmann.,,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,
167,,S. Fahlman.,,1988.,,167,"Carnegie Mellon University,",,,,,,"Technical report,",An empirical study of learning speed in back-propagation networks.,,,
176,"Pittsburgh, PA,",Scott E. Fahlman.,,1988.,,176,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
180,"Pittsburgh, PA,","Fahlman, S.E.",,1988.,,180,"Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,","An empirical study of learning speed in backpropagation networks,",,,
185,"Pittsburgh, PA,",Scott E. Fahlman.,,1988.,,185,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,
193,"Pittsburgh, PA:",S.E. Fahlman and C. Lebiere:,,1991.,,193,"Carnegie-Mellon University,",,,,,,"(technical report), CMU-CS-90-100,","The Cascade-Correlation Learning Architecture,",,,
194,"Pittsburgh, PA:",S.E. Fahlman and C. Lebiere:,,1991.,,194,"Carnegie-Mellon University,",,,,,,"(technical report),  CMU-CS-90-100,","The Cascade-Correlation Learning Architecture,",,,
195,"Pittsburgh, PA 15213.","Fahlman, S. E. & Lebiere, C.",,"(1990),",,195,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The Cascade-Correlation learning architec ture,",,,
199,"Pittsburgh, PA.","Fahlman, S. E. and Lebiere, C.",,(1990).,,199,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,
201,"Pittsburgh, PA.","Fahlman, S. E. and Lebiere, C.",,(1990).,,201,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-correlation Learning Architecture.,,,
208,,"Fahlman S. E., Lebiere C.,",,1990.,,208,"Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The cascade-correlation learning architecture,",,,
210,"Pittsburgh, PA 15213,","S. E. Fahlman and C. Lebiere,",,1990.,,210,"School of Computer Science, Carnegie Mellon University,",,,,,,"Tech. Rep.  CMU-CS-90-100,","The Cascade-Correlation learning architecture,",,,
212,,"S. E. Fahlman and C. Lebiere,",,1990,,212,,,,,,,"Technical Report:  CMU-CS-90-100,","The Cascade-Correlation Learning Architecture,",,,
216,"Pittsburgh, PA,","Fahlman, S. E., and Lebiere, C.",,1990.,,216,"School of Computer Science, Carnegie Mellon University,",,,,,,"Tech. Rep.  CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,
219,"Pittsburgh, PA,","Fahlman, S. E., and Lebiere, C.",,1990.,,219,"School of Computer Science, Carnegie Mellon University,",,,,,,"Tech. Rep.  CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,
220,,S.E. Fahlman and C. Lebiere.,,1990.,,220,"Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The cascade-correlation learning architecture.,,,
222,,"S. E. Fahlman and C. Lebiere,",,1991.,,222,"Carnegie Mellon University,",,,,,,"Technical Report, CMU-CS-TR-91-100,","The Cascade-Correlation Learning Architecture,",,,
229,"Pittsburgh, PA 15213,",Scott E. Fahlman and Christian Lebiere.,,1990.,,229,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The cascade-correlation learning architecture.,,,
