tid,id,title,authors,venue,year
6,DMhfVNSDYD4J,The zero multiplicity of linear recurrence sequences,WM Schmidt,to,
21,QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of Floridaâ??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,
46,OhxtDo0PX1cJ,Load Balancing in Dynamic Structured P2P Systems,SSY Patel,,
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
53,r7Nwb5Ja0V4J,Optimally sparse representations in general dictionaries by l 1 minimization,"D Donoho, M Elad","Technical Report, Statistics Department, Stanford University, ",
60,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D2147016CI,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989
62,zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004
65,XCdKCLPJ9gkJ,On the nature of continental shelves: Academic Press,JJ WALSH,"San Diego,",
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
84,97VsqVpS6BgJ,"coauthors, 2003: European temperature variability over the last 500 years, uncertainties, extremes  ",J Luterbacher,,
89,JVtIV8YSaaYJ,Sybase IQ Multiplex-Designed For Analytics,"R MacNicol, B French",,
97,KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",
98,LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003
100,gLLjcrLSddsJ,What are the national regimes and local traditions of social welfare and their historical derivation ,R Greca,,1995
106,6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982
109,9lEXpgZ6K5QJ,On the design of a distributed query processing algorithm,"CT Yu, C Chang, M TEMPLETON, D BRILL, E LUND",Proceedings of the ACM-SIGMOD International Conference on ,
110,HBTKLk8SRrAJ,"Babel: A testbed for research in origins of language, 1998",A McIntyre,Submitted for,
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
122,k2LFZSt_NcoJ,Aspects of disc brake judder,H Jacobsson,"Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2003
126,uUFs74KwOnAJ,Roussopoulos. PerformanceandScalabilityofClient-Server Database Architecture,A DelisandN,,1992
127,MDr5xBsWWWoJ,Scalable session messages in SRM using self-configuration,"P Sharma, D Estrin, S Floyd, L Zhang",,
138,HyP3ZqESqhoJ,Photoprotection by carotenoids,MM Mathews-Roth,"Fed Proc,",1987
143,qPDh4xVUMbwJ,Curves and Surfaces in Computer Aided Geometric Design,G Farin,,
144,42whesD5Rl8J,A Data warehouse Intelligent Cache Manager [C],P Schenermannâ?¦,"Proc Of the 22nd VLDB Conf,",
151,awu_PrmgYnUJ,Multiaccess of a slotted channel using a control mini-slot,"L Merakos, D Kazakos","Proc. Int. Conf. Communications,",
170,95QbEi1e_rAJ,Evaluation of local detectors on non-planar scenes,"F Fraundorfer, H Bischof",,
176,KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",
192,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,Report on the 18th British National Conference on Databases (BNCOD),"C Goble, B Read","SIGMOD Record,",2002
193,cmjuHR6u_OUJ,Role of interoperability in business application development,"D Cohen, G Larson, L Berke","Proceedings of the 1993 ACM SIGMOD international conference  &hellip;,",1993
204,ttr0t1Yr0u4J,Effects of externally mediated rewards on intrinsic motivation,EL Deci,"Journal of Personality and Social Psychology,",1971
205,dAR5F1GMKwIJ,Wireless Infrared Communications,"M Kahn Joseph, R Barry John","Proceedings of the IEEE,",
209,VqZAqakocVEJ,Effect of drive train and fuel control design on helicopter handling qualities,G Guglieri,"European Rotorcraft Forum, 25 th, Rome, Italy, Proceedings.,",1999
218,1KGXvZcb5awJ,Presynaptic Localization of Sodium/Calcium Exchangers in Neuromuscular Preparations,"PW Luther, RK Yip, RJ Bloch, A Ambesi, GE  ",,
234,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D20021214033592MT%26recid%3DA7642818AH,Evaluation of a random access system with hardware simulation(for satellite location and data  ,GG DELMAS,"&hellip;  Telemetering Conference, Washington, D. C, Proceedings,",1975
238,9lXfDYUgrrYJ,E-business models,R Trombly,"Computerworld,",
239,1j-tL6DypZYJ,"AN ANALYSIS OF THE RELATIONSHIP BETWEEN NLN PRE-ADMISSION SCORES, AGE AND STUDENT SUCCESS IN TWO  ",EM Kirking,,2004
250,8pK3snsuLDEJ,An Organisational Perspective of Inter-Organisational Workflows,"X Zhao, C Liu, Y Yang","International Conference on Business Process Management,",
252,0wVMAyv_P5kJ,Socioeconomic Restructuring and Regional Change: Rethinking Growth in the European Community.,A Rodriguez-Pose,"Economic Geography,",1994
256,wOIJEjDFzy4J,"The, L.-S., &amp; Leising",PA Milne,"MD,",
262,AnNzb6Gr7HkJ,"TATA probabilistic temporal databases, I: Algebra","A Dekhtyar, R Ross, VS Subrahmanian","Technical report CS-TR-3987, Department of Computer Science, ",
279,01ZRIcnplwoJ,Unpacking phonological awareness: Two treatments for low-skilled kindergarten children,"RE O'Connor, JR Jenkins, TA Slocum","Unpublished manuscript,",
282,DiyLLGIcUZQJ,â??Punctualityâ??and Verb Semantics,S Engelberg,,
283,dzHPil1BBAcJ,Evaluation of winter rye hybrids fertility,"L Madej, R Osinski, J Jagodzinski","BIULETYN-INSTYTUTU HODOWLI I AKLIMATYZACJI ROSLIN,",1995
284,DBh6rPNazToJ,Martingale estimating functions based on eigenfunctions for discretely observed small diffusions,M Uchida,,2004
289,VX6-Plyp9zgJ,"September 11, terror war, and blowback",D Kellner,"Unpublished manuscript,",
291,sIUa2f9F91EJ,Four cheers for geography,S Jenkins,"Geography,",
294,I-fmtPvluKEJ,"Merialdo &amp; P. Sindoni, G.â??The Araneus Web-Base Management Systemâ??","G Mecca, P Atzeni, A Masci",ACM SIGMOD International Conference on Management of,
297,Jiq89ZNUK5YJ,"Inc., March 1985",M Pirnie,"&hellip;  River PCB Reclamation/Demonstration Project, Evaluation of ",
298,0NbPdN8x5a0J,Hits and Miss-es: A Year Watching the Web,J Graham-Cumming,"WWW6 / Computer Networks,",1997
304,txo56JDKlAoJ,O-Linked Oligosaccharide on IgAl Hinge Region in IgA Nephropathy. Fundamental Study for Precise  ,"Y Hiki, A Horii, H Iwase, A Tanaka","CONTRIBUTIONS TO NEPHROLOGY,",1995
314,R_10Vw3cQLkJ,An Evaluation of Buffer Management Strategies for Relational Database Systems//VLDB'85,"HT Chou, DJ DeWitt","Proceedings of 11th International Conference on Very Large  &hellip;,",
316,-iCmy5Q7-00J,Thin Is In: Wafer-Thinning Method Delivers Ultra-Slim Chips with a Clean Process,D Bursky,"Electronic Design,",
319,-KlYy6YZRcgJ,Syntactic accidents in program analysis,"D Damian, O Danvy",Proceedings of the 2000 ACM SIGPLAN International Conference,
321,wQ-OnGPsrdMJ,On the instability of cylindrical fluid surfaces,L Rayleigh,"Phil. Mag,",
333,aqoOpQNKdRAJ,Aexible multicast routing protocol for group communication,"S Aggarwal, S Paul, D Massey, D Caldararu","Computer Networks,",2000
336,1-x1p8NTsSAJ,"Downsizing in Privatized Firms in Russia, Ukraine, and Belarus","I Filatotchev, T Buck, V Zukov","ACADEMY OF MANAGEMENT JOURNAL,",2000
337,uIAJ9bt1wukJ,Dictionary Methods for Cross-Lingual Information Retrieval,"L Ballesteros, WB Croft","LECTURE NOTES IN COMPUTER SCIENCE,",1996
340,o7oUFmpw9DwJ,Dose loads on hydrobionts and the population in regions of operation of nuclear-powered ships,"VA Danilyan, VD Vysotskii, MN Katkova, II Kryshev",At.,
352,ysc9EwrFrCEJ,ER Mapper User Guide. 922 p,ER MAPPING,"San Diego,",
360,usC5w5B3S_IJ,Experience building the open OODB query optimizer,A Joseâ?¦,Proceedings of ACM,
362,XqpMijpKbaEJ,OAM: An Office Analysis Methodology. Office Automation Group Memo OAM-016,"M Sirbu, S Schoichet, J Kunin, M Hammer",,1981
379,sAJRyUtQ0QQJ,Influence of gaps and neighbouring plants on seedling establishment in limestone grassland,P Ryser,"Experimental field studies in northern Switzerland. Zurich.  &hellip;,",
386,toEJOw9QjyMJ,In the middle of the night: A psychosocial resource book for after hours,"ST McNamara, EC Meyer, KA Fraser, EA Sands","JOURNAL OF EMERGENCY NURSING,",1997
387,EMw2ZFDyZ2wJ,The MD5 message-digest algorithm. Request For Comments 1321,RL R-VEST,,1992
389,0KLIpvrbmtEJ,Vancomycin for prophylaxis against sepsis in preterm neonates,"AP Craft, NN Finer, KJ Barrington","Cochrane Database Syst Rev,",2000
404,2LcOYPNxFbMJ,Capturing causality in distributed systems,"M Raynal, M Singhal","IEEE Computer,",
405,url:http://adsabs.harvard.edu/abs/1976PhDT.......124S,Two-electron transfers and molecular X-ray radiation during heavy ion collisions,C Stoller,"&hellip;  Eidgenoessische Technische Hochschule, Zurich (Switzerland) &hellip;,",1976
410,c4ELeS4vK1EJ,Tolerance Graphs and Orders,S Felsner,"LECTURE NOTES IN COMPUTER SCIENCE,",1993
415,wKlF2io9JdIJ,Components and Recognition of Facial Expression in the Communication of Emotion by Actors,"P Gosselin, G Kirouac, FY Dore","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1995
416,GJ_7cqL0d70J,"0. G. Tsatalos, SJ White, and MJ ZwiIIing. Shoring up persistent applications","MJ Carey, DJ DeWitt, MJ Franklin, NE Hall, ML  ",Proc. ACM SIGMOD,
425,qxEotZcMAbQJ,"Routing Worm: A Fast, Selective Attack Worm based on IP Address Information","CC Zou, D Towsley, W Gong, S Cai",,
435,TnnGbQoTybAJ,Algorithm 63: partition,CAR Hoare,"Communications of the ACM,",1961
436,NLklGN91cZgJ,VideoAnywhere: A System for Searching and Managing Distributed Video Assets.,ACMS Anthology,"SIGMOD Record,",1999
444,sXd0gz-ePSkJ,Cross-Cultural Field Study.,J Duley,"New Directions for Higher Education,",1974
446,5dCPTEkz8sAJ,Diagnosis for Wiring Interconnects,"WT Cheng, JL Lewandowski, E Wu",,
450,url:http://portal.acm.org/citation.cfm%3Fid%3D335224,Full text pdf format Pdf (244 KB)Source Symposium on Principles of Database Systems archive,"MJ Atallah, S Prabhakar","Proceedings of the nineteenth ACM SIGMOD-SIGACT-SIGART  &hellip;,",2000
457,p6zcWuHfGd0J,Index selection for databases: a hardness study and a principled heuristic solution,"S Chaudhuri, M Datar, V Narasayya","Knowledge and Data Engineering, IEEE Transactions on,",2004
463,FOruO1PeowAJ,Improved Query Performance with Variant Indices,"POâ??Neill, D Quass","Proceedings of SIGMOD Conference,",
469,A-5Q8iqYbvQJ,The Placement Allocation Program: A Practical Solution to the Disk File Assignment Problem,J Wolf,"Proc. ACM SIGMETRICS Conf,",
470,QRWJHLWImlYJ,Interventions to help external cephalic version for breech presentation at term,GJ Hofmeyr,"Cochrane Database Syst Rev,",2004
484,vvivi2dLN9AJ,GRADUATE PROGRAM IN COMMUNICATION SCIENCES &amp; DISORDERS,CG Students,,2006
488,OQz4P5Iv-g0J,Effects of long-term and reduced-dose hormone replacement therapy on endothelial function and intima ,"M Hashimoto, M Miyao, M Akishita, T Hosoi, K Toba, ","MENOPAUSE-NEW YORK-,",2002
495,OI8quvdwtDsJ,SIMPLE: a methodology for programming high performance algorithms on clusters of symmetric  ,"DA Bader, J JÃ¡JÃ¡","MD,",
500,vasz2m_3vAQJ,Deconstructing the Internet using VUGH,O Martin,"Proceedings of VLDB,",
501,NxYaoolVv64J,Incremental subgradient methods for nondifferentiable optimization,"A NediÄ?, D Bertsekas","Technical Report LIDS-P-2460, Massachusetts Institute of ",
505,PJsJnZ4ZVAEJ,Effect of limestone feed on emissions of NOX and N2O from a circulating fluidized bed combustion,"T Shimizu, D Fujita",,1993
506,tEuduHYdAVcJ,Principles of Peptide Synthesis,M Bodanszky,,1993
552,Kd19TvHLpjAJ,Agricultural Biotechnology: Critical Issues and Recommended Responses from the Land-Grant  ,ABT Force,"MD,",
562,uWMZnfvTJqsJ,"An algebraic description of programs with assertions, verification and simulation",RM Burstall,"Proceedings of ACM conference on Proving assertions about  &hellip;,",1972
572,euRfl0dTNlEJ,Guaranteeing delay jitter bounds in packet switching networks,"D Verma, H Zhang, D Ferrari","Proceedings of Tricomm,",
593,mVDi5C2m95sJ,Metaphorical models of thought and speech: a comparison of historical directions and metaphorical  ,EE Sweetser,"Procs. 13th Annual Meeting of the Berkeley Linguistics  &hellip;,",
594,a5dIjd9Bbl8J,Singularity design motivation,"GC Hunt, JR Larus","Technical Report MSR-TR-2004-105, Microsoft Corporation, Dec. ",
599,K8FEoYyEPL8J,Beyond Process: TQM Content and Firm Performance,"R Reed, DJ Lemak, JC Montgomery","The Academy of Management Review,",1996
608,KzqcbQwUPmAJ,Logjam: A Tangible Multi-Person Interface for Video Logging,"J Cohen, M Withgott, P Piernot",,
612,cSCaEZboCIgJ,Transition to a unified system: using Perl to drive library databases and enhance Web site  ,JC Fagan,"ELECTRONIC LIBRARY,",2001
620,Rl018_dXTQwJ,Sensory stimulation for brain injured individuals in coma or vegetative state,"F Lombardi, M Taricco, A De Tanti, E Telaro, A  ","Cochrane Database Syst Rev,",2002
626,LwZe_nTD__UJ,Mining fuzzy association rules in database,"MK Chan, F Ada, HW Man","SIGMOD Record,",
630,c1HLn78WvnUJ,The transport of ciguatoxin: A case report,G Asaeda,"JOURNAL OF EMERGENCY MEDICINE,",2001
631,UCd3zDTAvDIJ,"ERP project dynamics and enacted dialogue: perceived understanding, perceived leeway, and the nature ","P Besson, F Rowe","ACM SIGMIS Database,",2001
633,gWvmT46wdooJ,Inside Visual C++ 6 (mit CD),"D Kruglinski, G Sheperd, S Wingo",,
635,0ZQnv8tOzBwJ,Finding Hierarchical Heavy Hitters in Data Streams,"G Cormode, D Srivastava","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003
641,bZlpjMDZD5UJ,Effective memory use in a media server (extended version). Stan-ford Technical Report SIDL-IVP- ,"E Chang, H Garcia-Molina",,1996
667,fw5XfUh15osJ,"H. Garc ia-Molina, and Andreas Paepcke. STARTS Stanford protocol proposal for Internet retrieval and ","L Gravano, K Chang","Technical report, Computer Science Department, Stanford ",
674,Ii149HaUfkcJ,The Disposition of Children with Croup Treated with Racemic Epinephrine and Dexamethasone in the  ,"JD Rizos, BE DiGravio, MJ Sehl, JM Tallon","JOURNAL OF EMERGENCY MEDICINE,",1998
675,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1099600%26type%3Dpdf,Applying Cosine Series to Join Size Estimation,"C Luo, Z Jiang, WC Hou","Proceedings of the 14th ACM international conference on  &hellip;,",2005
680,hVJ0RXXsyw8J,Studies on primary hyperoxaluria,"EW Frederick, MT Rabkin, RH Richie, LH Smith","vivo demonstration of a defect in glyoxylate metabolism. N  &hellip;,",
685,98wnOTdfXscJ,Transformational Morphology of the Greek Noun,A Malikouti-Drachman,"Athens, Greece,",
697,5BeWf7KPL88J,Learning a word processing system with training wheels and guided exploration,"R Catrambone, JM Carroll","ACM SIGCHI Bulletin,",1986
698,upOP6K5m-bkJ,Semantics and Implementation of schema evolution in object-oriented databases Proc. of ACM-SIGMOD  ,"J Banerjee, W Kim, HK Kim, HF Korth","Conf. om Management of Data, San Francisco CA, May,",
699,hJvqq1f9drgJ,Cardiotocography for antepartum fetal assessment,"N Pattison, L McCowan","Cochrane Database Syst Rev,",2000
703,nrEQsOAiE44J,An Ontological Analysis of the Relationship Construct Conceptual Modeling,"W YAIR, CS VEDA, W KON","ACM Transactions on Database Systems,",
704,kbZA_QpSCucJ,Reconciling Distance Functions and Level Sets,"J Gomes, O Faugeras","LECTURE NOTES IN COMPUTER SCIENCE,",1999
709,k4CGOBrxx_0J,A geographic redirection service for on-line games,"C Chambers, W Feng, W Feng, D Saha","Proceedings of the eleventh ACM international conference on  &hellip;,",2003
713,dOL7ytHorkQJ,"The Transmeta Code Morphing Software: Using speculation, recovery and adaptive retranslation to  ","JC Dehnert, BK Grant, JP Banning, R Johnson, T  ",,
715,VjozrvLkDjIJ,Multimethod probes of individualism and collectivism,"HC Triandis, C McCusker, CH Hui","Journal of Personality and Social Psychology,",
719,quqr_n2cCQEJ,"Sands, The Feynman Lectures on Physics",L Feynman,Volume,
720,AOFlFvFQ8woJ,Issues relating to extension of the Basic Linear Algebra Subprograms,DS Dodson,,
724,aU8MKDGl5QMJ,Characterization of Human Ocular Mucin Secretion Mediated by 15 (S)-HETE,"JE Jumblatt, LT Cunningham, Y Li, MM Jumblatt","CORNEA-NEW YORK-,",2002
725,mcDS-k71qpUJ,Computing Optimal Attribute Weight Settings for Nearest Neighbor Algorithms,"CX Ling, H Wang","Artificial Intelligence Review,",1997
726,XbvJHTrcf74J,"Neural networks for identification, prediction, and control","DT Pham, X Liu",,1995
729,url:http://www.springerlink.com/index/Q43210876K7583P2.pdf,Process excellence and capability determination,C Mackie,"BT Technology Journal,",1997
731,xFVXGpI7zkIJ,Use of object-oriented constructs in a computational modeling system for earth scientists,KA Carlson,,1995
740,Xa1Ewp_P9hEJ,"Small Place, Big Money: The Cayman Islands and the International Financial System.",SM Roberts,"Economic Geography,",1995
741,kgenpnUPn2wJ,Semantic Streams: a framework for declarative queries and automatic data interpretation,"K Whitehouse, F Zhao, J Liu",,
747,-qsHBe_0vI4J,J. Cardiff-Graphical Interaction with Heterogeneous Databases-,"T Catarci, G Santucci","VLDB Journal, to be",
750,kMnXGU8LNgEJ,Short Proofs on Lrâ??Differentiability,"H Rieder, P Ruckdeschel",,2000
751,aXpIBUgemksJ,Discrete fairing,L Kobbelt,"Proceedings of the Seventh IMA Conference on the Mathematics &hellip;,",1997
754,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101210%26type%3Dpdf,Supporting Multi-Party Voice-Over-IP Services with Peer-to-Peer Stream Processing,"X Gu, Z Wen, PS Yu, ZY Shae","Proceedings of the 13th annual ACM international conference  &hellip;,",2005
759,9geq1clRBeUJ,Adiabatic invariants and the theory of quanta,P Ehrenfest,"Phil. Mag,",
