tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
3,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson,",,(1994).,,3,,"J Appl. Phys.,",,,"893,",,,,,"76,",
8,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,8,,"Journal of Applied Physics,",,,"893,",,,,,"76,",
10,"Milan,",Steve Benford and Lennart E. Fahlen.,"In Proceedings of ECSCW'93,",1993.,,10,,,,,,,,A spatial model of interaction in large virtual environments.,,,
15,,"Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden.",,1995.,,15,,"Presence,",,,"364-386,",,,Networked Virtual realitty and Cooperative Work.,,4(4),
17,"Paderborn, Germany,","Brown, D. F., Moura, H. & Watt, D. A.","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","(1992b),","in U. Kas-tens & P. Pfahler, eds,",17,,,,"Vol. 641 of Lecture Notes in Computer Science,",pp. 95-109.,"Springer-Verlag,",,"Actress: an action semantics directed compiler generator,",,,
20,,"B. Buth et. al.,","Compiler Construction,","1992,",in U. Karstens and P. Pfahler (eds.),20,,,,,pp. 141-155.,"Springer Verlag, LNCS 641,",,"Provably Correct Compiler Implementation,",,,
25,"Hillsdale, NJ.","Cramer, N. L.","Proceedings of an International Conference on Genetic Algorithms and Their Applications,",(1985).,"In Grefenstette, J., editor,",25,,,,,"pages 183-187,",Lawrence Erlbaum Associates.,,A representation for the adaptive generation of simple sequential programs.,,,
29,,,"Proceedings of the Third International Conference on Genetic Algorithms,",(1989).,"In J. Schaffer (Ed.),",29,,,,,pp. 42-50.,Morgan Kaufmann.,,An investigation of niche and species formation in genetic function optimization.,,,
30,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,30,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
32,,M. Dill and M.,,,,32,,Perception & Psychophysics (in press).,,,,,,Fahle,,,
38,,"Fahle, M.",,,,38,,"Vis. Res.,",,,2149-2184.,,,"(1991) Parallel perception of vernier offsets, curvature, and chevrons in humans.",,31:,
47,,"Fahle, M.",,(1997).,,47,,"Vision Research,",,,1885-1895. 66,,,"Specificity of learning curvature, orientation, and vernier discriminations.",,"37(14),",
50,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,50,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
53,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,53,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
58,,"Fahlman, S. E.",,(1974).,,58,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,"5 (1),",
61,,S. E. Fahlman.,,1974.,,61,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,
70,Cambridge MA.,"Fahlman, S. E.",,(1979).,,70,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real World Knowledge.,,,
73,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,73,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
75,,"Fahlman, S. E.,",,1979.,,75,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
78,,"Fahlman, S. E.,",,1979.,,78,,,,,,MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge, Cam-bridge:",,,
80,"Cambridge, MA.","Fahlman, S.E.",,(1979).,,80,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
86,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,86,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
96,"Cambridge, MA, U.S.A.,",S.E. Fahlman.,,1979.,,96,,,,,,"MIT Press,",,NETL: A system for representing and using real-world knowledge.,,,
97,"Cambridge, MA,","S. Fahlman,",,1979.,,97,,,,,,"MIT Press,",,"NETL: A System for Representing and Using Real World Knowledge,",,,
98,"Cambridge, Massachusetts,",S. Fahlman.,,1979.,,98,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
99,,Scott E. Fahlman.,,1979.,,99,,,,,,"MIT Press,",,Netl: A System For Representing And Using Real-World Knowledge.,,,
100,,Scott E. Fahlman.,"In The First Annual Conference on Artificial Intelligence. AAAI,",1980.,,100,,,,,,,,Design sketch for a million-element netl machine.,,,
101,"Hillsdale, NJ:","Fahlman, S.",Parallel Models of Associative Memory.,(1981).,"In G. Hinton and J. Anderson (Eds.),",101,,,,,,Lawrence Erlbaum Associates.,,Representing Implicit Knowledge.,,,
