tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
3,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson,",,(1994).,,3,,"J Appl. Phys.,",,,"893,",,,,,"76,",
5,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,(1994).,,5,,"J Appl. Phys.,",,,"893,",,,,,"76,",
10,"Milan,",Steve Benford and Lennart E. Fahlen.,"In Proceedings of ECSCW'93,",1993.,,10,,,,,,,,A spatial model of interaction in large virtual environments.,,,
26,"Pittsburgh, PA.","Daelemans, W., Van den Bosch, A., and Weijters, T.",,(1995).,"S. E. and Lebiere, C.",26,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",(1990). The Cascade-correlation Learning Architecture.,,,
31,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,31,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
32,,M. Dill and M.,,,,32,,Perception & Psychophysics (in press).,,,,,,Fahle,,,
41,,"Fahle, M. & Edelman, S.",,(1993).,,41,,"Vision Research,",,,397-412.,,,"Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback.",,"33,",
46,,"Fahle, M., Edelman, S., & Poggio, T.",,,,46,,"Vision Research,",,,3003-3013.,,,,,"35,",
47,,"Fahle, M.",,(1997).,,47,,"Vision Research,",,,1885-1895. 66,,,"Specificity of learning curvature, orientation, and vernier discriminations.",,"37(14),",
48,,"Fahle, M.",,,,48,,"Vision Research,",,,1885-1895.,,,,,"37(14),",
50,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,50,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
51,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,51,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
58,,"Fahlman, S. E.",,(1974).,,58,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,"5 (1),",
59,,"Fahlman, S.E.",,1974.,,59,,"Artificial Intelligence,",,,1-49.,,,A Planning System for Robot Construction Tasks.,,5(1),
62,,S.E. Fahlman.,,1974.,,62,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5,
70,Cambridge MA.,"Fahlman, S. E.",,(1979).,,70,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real World Knowledge.,,,
71,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,71,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real World Knowledge.,,,
81,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,81,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
86,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,86,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
98,"Cambridge, Massachusetts,",S. Fahlman.,,1979.,,98,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
108,"San Mateo, CA.","Fahlman, S.",Proc. of the Connectionist Model Summer School.,(1988).,"In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.),",108,,,,,,"Morgan Kaufmann,",,Faster-learning variations on backpropagation: An empirical study.,,,
110,"San Mateo, California.","Fahlman, S. E.","Proceedings of the 1988 Connectionist Models Summer School,",(1989).,"In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.),",110,,,,,pp. 38-51.,"Morgan Kaufmann,",,Faster-learning variations on back-propagation: an empirical study.,,,
113,,"Fahlman, S.E.",Proceedings of the 1988 Connectionist Models Summer School.,(1988).,,113,,,,,pp. 38-51.,Morgan Kaufmann.,,Fast-Learning Variations on BackPropagation: An Empirical Study.,,,
