tid,titleId,ordering,title,region,isOriginalTitle
6900,tt12544519,9,Vingança Nua,BR,0
6902,tt12537455,10,Anthropos stis rages,GR,0
6903,tt12538541,4,Vera,PL,0
6904,tt12541101,2,Garda personală,RO,1
6906,tt12531453,1,Сердце мира,RU,0
6907,tt12535593,3,La princesse de Clèves,FR,0
6912,tt0043072,7,Tripolis,XWG,0
6915,tt12539505,6,Se 52 milia o tromos,GR,0
6921,tt0055630,30,Yojimbo el mercenario,MX,0
6922,tt2907394,3,Sameer Abu Alneel,SE,0
6923,tt0457121,3,Соловей,RU,0
6926,tt12532330,14,Deliciosa Mentira,BR,0
6928,tt1863203,4,Работодатель,RU,0
6929,tt0220626,1,Hölmölän kylän veijarit,FI,0
6932,tt12541101,3,Yojimbo Livvakten,SE,0
6933,tt0247196,18,Πριν πέσει η νύχτα,GR,0
6934,tt5078214,17,В легло с Виктория,BG,0
6935,tt3314940,1,Roar,AU,0
6936,tt0087190,9,No Topo do Mundo,BR,0
6938,tt0247196,6,Antes que anochezca,PE,0
6941,tt0043677,7,Inside the Walls of Folsom Prison,US,0
6943,tt2080042,1,Peter Punk,AR,0
6949,tt12533220,8,Khodahafez Dokhtar Shirazi,IR,1
6950,tt0158117,14,Scrisoarea,RO,0
6951,tt5078214,5,Na Cama Com Victoria,PT,0
6953,tt0354068,2,Superprodukcja,PL,0
6954,tt1663660,5,On the Ice,FR,0
6955,tt0068972,12,Smrt se osmehuje ubici,XYU,0
6956,tt12541654,8,The Mystery of St Pauls Hospital,XWW,0
6958,tt12535879,2,Upptäcka kon,SE,0
6959,tt4134678,1,Tutti insieme allimprovviso,IT,0
6960,tt0457495,16,Alex Rider Stormbreaker,FR,0
6961,tt3399368,7,Убийствен финал,BG,0
6962,tt0085273,2,Brandende liefde,NL,0
6963,tt12531412,2,Пятница вечер,RU,1
6967,tt12532884,5,Motín,AR,0
6968,tt0055630,17,大鏢客,TW,0
6971,tt1268161,3,21 and a WakeUp,GB,0
6974,tt12535121,3,Tainted in Red,XWW,1
6975,tt0387937,3,Cipriano,DE,0
6976,tt12544519,1,Naga zemsta,PL,0
6984,tt12532883,7,Meuterei im Morgengrauen,AT,0
6985,tt12533616,6,The Story of Kerry Josie and Diana,AU,0
6986,tt12538247,2,Последний вздох,RU,0
6987,tt0043677,13,Inside the Walls of Folsom Prison,CA,0
6992,tt12544519,3,Naked Vengeance,GB,1
6995,tt0457495,19,Алекс Райдър Операция Стормбрейкър,BG,0
6996,tt12534013,10,See Plum Run,CA,1
6997,tt1010415,4,Любовните песни на клуб Лолита,BG,0
6998,tt12541100,7,Yojimbo,NZ,1
7000,tt12532330,1,Een lied in de wind,BE,0
7003,tt12538662,2,6 sullautobus,IT,1
7004,tt7203520,3,Werewolf,IN,0
7011,tt12539619,9,The Big Swell,US,1
7012,tt7773250,1,Khotat Alshaitan,EG,0
7015,tt12542324,1,The Demonology of Desire,CA,0
7016,tt12541592,31,Невероятният Хълк,BG,0
7017,tt12540494,1,Wicked Conclusions,US,0
7020,tt12542250,5,Psykos i Stockholm,SE,1
7021,tt12538282,8,Dealuri canibale,RO,0
7022,tt12534503,6,Mahkumlar,AZ,0
7029,tt0110818,5,Bichinhos de Estimação,BR,0
7030,tt12542145,6,Varg Veum  El mensaje en la pared,ES,1
7031,tt12535644,1,Részletkérdések,HU,0
7036,tt0107964,3,Rio Diablo  Djävulens flod,SE,0
7039,tt0103893,6,Buffy  Vampyrdödaren,SE,0
7042,tt12537415,9,A Föld ostroma,HU,0
7043,tt5078214,6,Victoria  Männer und andere Missgeschicke,AT,0
7044,tt12533047,3,Ava Gardner and Frank Sinatra,FR,0
7045,tt12532331,10,Der er noget i luften,DK,1
7049,tt0457495,17,Alex Rider Operation Stormbreaker,CA,0
7050,tt12538878,1,The Forest Legends Reflection of the New Awakening,FI,0
7052,tt6224632,2,Isolation,XWW,0
7053,tt0800080,24,Неймовірний Халк,UA,0
7056,tt12531863,6,The Wiccan,US,0
7058,tt12538283,1,Tromos stous lofous,GR,0
7060,tt12544581,1,Californication Marcys Cougar Party,US,0
7061,tt0437803,7,Alien Siege  Tod aus dem All,DE,0
7064,tt4852398,4,Hopomythumb,XWW,0
7065,tt12532444,1,Pluto som vallhund,SE,0
7067,tt12534575,7,A háromszáz spártai,HU,0
7069,tt8881102,1,Sweethearts,US,0
7072,tt0055630,2,Yojimbo  Der Leibwächter,XWG,0
7076,tt12537070,13,バッフィ ザ・バンパイア・キラー,JP,0
7077,tt12541358,17,Tu nas jamais été vraiment là,CA,0
7078,tt1754567,1,Ta mig,SE,0
7079,tt0395804,2,Verborgen gebreken,NL,0
7080,tt8485166,3,Un Entretien,FR,0
7082,tt12545536,3,Tormimurdja,EE,1
7085,tt12545807,5,21 and a WakeUp,US,1
7086,tt12532111,3,The Fourth Reich,GB,1
7088,tt12544326,3,Ein oraio n agapas,GR,0
7089,tt12533044,8,Street Fighter The New Challengers,GB,1
7090,tt12538615,7,妄執の影,JP,0
7091,tt12544866,1,La chica que cayó del cielo,ES,0
7094,tt1871373,1,Somewhere to Disappear,FR,0
7095,tt12541932,2,Roofied A Double Dose,GB,0
7096,tt12538614,8,Kwelling,BE,0
7097,tt6355698,1,The Last Astronaut,US,0
7101,tt0103893,24,Buffy Caçadora de Vampiros,PT,0
7102,tt0158117,11,クレーヴの奥方,JP,0
7104,tt12532254,9,GOLDFIEBER Der Ritt ins Todestal,DE,1
7105,tt0264066,3,WWF Survivor Series,US,0
7106,tt0181449,1,Death A Love Story,US,0
7107,tt0035040,3,Um Marido a Preço Fixo,PT,0
7111,tt12535784,12,Ana com A,PT,0
7113,tt3425302,1,Cannibals and Carpet Fitters,GB,0
7116,tt0247196,15,Mielőtt leszáll az éj,HU,0
7118,tt12544518,7,Naga zemsta,PL,1
7119,tt12541101,23,Yojimbo,CA,0
7121,tt12533534,5,ステイト・オブ・ドッグス,JP,0
7124,tt12541916,5,Samir Abu elNil,EG,0
7126,tt6988208,10,Дом Ведьмы,RU,0
