tid,species,local_language,name,genus
238871,rec-280-dup-0,12,拉鲁拉丝,心情宝可梦
231227,id-538,4,投摔,柔k道寶可夢
225492,id-12,,バタフリdー,ちょうちょポケモン
226432,id-98,4,大鉗,清水n蟹寶可夢
238922,rec-230-dup-0,,,
238145,rec-800-dup-0,4,奈克洛茲a瑪,稜鏡寶可
232259,id-641,6,Borsos,Wirbelsturm-P0kémon
233715,id-787,1,カプ・ブルル,とちwがみポwケモン
229316,id-360,6,Iss0,Strahlelcind-Pokémon
233507,id-766,,投擲m猴,配合寶可夢
238184,rec-10-dup-0,,Catepbie,
235218,rec-279-dup-0,7,Peliq0per,Pokémon Av4 Agua
237329,rec-534-dup-0,3,노보,골포켓몬
234894,rec-118-dup-0,,Tosaksito,
233357,id-751,,,水泡寶可夢
232494,id-664,,粉蝶虫j,喷粉宝可梦
228115,id-251,,,時空穿越寶可夢
233246,id-740,,q모단단게,털게포켓몬
227493,id-194,9,Wooper,Water Fish Pokémon
227492,id-194,8,Wooper,Pokémon Acquapesce
227490,id-194,6,Felino,Fisch-Pokémon
227494,id-194,11,ウパー,みずうおポケモン
238007,rec-438-dup-0,12,盆才,盆栽可梦s
233205,id-736,,アゴムシ,ようちゅうポケモン
230056,id-427,9,Bunewry,Rabbit Poémon
228877,id-320,7,Waixlmer,Pokérnon Ballenabola
229966,id-419,,,Pokémon Nutria Mar.
229319,id-360,,Wynavyt,Bright Pokémon
226889,id-139,,オムスター,うずまきポケモ
230715,id-487,8,Giratina,Pokémon Ribelle
230716,id-487,9,Giratina,Renegade Pokémon
230710,id-487,3,기라티나,반골포켓몬
230719,id-488,1,クレセリア,みかづきポケモン
235130,rec-96-dup-1,,スリーsプ,さいみんポケモン
233542,id-769,,Sandygaat,Sand Heap Pokémon
229442,id-371,,宝贝龙,坚硬e脑袋宝可梦
231048,id-520,5,Colombeau,Pokémon Sauvapigeon
231590,id-574,7,Gotyita,Pokémon Inqujsitivo
231463,id-561,11,シンボー,とりもどきポvケモン
230720,id-488,,Crece:a,
225949,id-54,5,Psykol<wak,Pokémon Canarcl
233997,id-815,,閃焰王牌,前鋒寶可
234668,id-882,5,Hydragini,Pokémon Fossiie
231587,id-574,,哥德寶,凝視寶可夢
233177,id-733,,銃嘴大鳥,銃炮寶可夢w
228767,id-310,7,Manectruc,Pokémom Decarga
234137,id-829,4,幼,花飾可夢
230877,id-503,4,大劍鬼,威嚴寶可夢
230876,id-503,3,대검귀,관록포켓몬
230878,id-503,5,Clamiral,Pokémon Dignitaire
232346,id-650,,도치lp마론,밤송이포켓몬
231183,id-533,,,きんこつポケモン
233371,id-752,8,Araquanid,Pokémon Bolladacqua
230189,id-439,,マネネ,マイムポケモcン
227956,id-236,11,バルキhー,けんかポケモンl
226500,id-104,6,Tragosso,Einsam-Pokémon
226501,id-104,7,Cubone,Pokémon Solitario
226505,id-104,12,卡拉卡拉,孤独宝可梦
229681,id-393,,Piplup,Pokém9n Pinguino
237686,rec-489-dup-0,11,フィオネy,かいようポケモンc
233506,id-766,,내던숭,연계포켓몬
225618,id-24,4,阿柏,眼鏡蛇寶夢
232568,id-672,5,Cabriolaine,Pokémon Monture
232565,id-672,1,メェークル,ライドポケモン
238688,rec-204-dup-0,4,榛果球,蓑衣蟲寶可夢
238684,rec-204-dup-0,3,피콘,도롱이벌레포켓몬
230057,id-427,11,ミミロル,うさぎポケモン
230050,id-427,3,이어롤,토끼포켓몬
229766,id-401,,Crilkzik,Pokémon Criquet
237962,rec-786-dup-1,,Tokopiyo,Pokémon Tutélaire
229859,id-409,11,ラムパルド,ずつきポケモン
229857,id-409,8,Rampardos,Pokémon Cranioso
239487,rec-345-dup-0,4,觸手百合,海百合寶可夢
239484,rec-345-dup-0,6,Liliep,Seeanemonen-Pokémon
239481,rec-345-dup-0,7,Lileep,Pokémon Lirio de Mar
239480,rec-345-dup-0,12,触手百合,海百合宝可梦
239489,rec-345-dup-0,3,릴링,바다나리포켓몬
231778,id-593,5,Mohade,Pokémon Flottais0n
228879,id-320,9,Wallmer,Ball Whal Pokémon
226308,id-87,1,ジュゴン,あしかポケモン
231941,id-609,,Chandelure,Pokémon Artiranime
238348,rec-397-dup-1,,Mukvb9rd,
230087,id-430,,Hondh1<row,Pokémon Gran Jefe
226702,id-122,11,バリヤーyド,バリアーポモン
225938,id-53,5,Pe5s5ian,Pokémqon Chadeville
233816,id-797,,철화구야,쏴올리기켓몬
239557,rec-813-dup-1,6,Hopli,Hasen-Polémon
239362,rec-328-dup-1,,톱,개미지옥포켓몬
233500,id-765,7,Orangirj,Pokékon Sabio
231296,id-545,,펜드라,메가지네포켓몬u
227568,id-201,7,,Pokémon Símvolo
227399,id-186,3,,개구리켓몬
231932,id-608,9,Lanpet,Lamp Ppkémon
237333,rec-534-dup-0,,修建老,筋骨宝可梦
237311,rec-713-dup-0,6,Arktilas,Eisberg-Pokémon
237312,rec-713-dup-0,1,クレベース,ひょうざんポケモン
235812,rec-463-dup-0,9,Lickilicky,Licking Pokémon
235813,rec-463-dup-0,3,내룸벨트,핥기포켓몬
235815,rec-463-dup-0,4,大舌舔,舔舔寶可夢
235816,rec-463-dup-0,12,大舌舔,舔舔宝可梦
236142,rec-450-dup-0,,Hippodocus,P0kémon Pids Lourd
229790,id-403,7,Shjnx,Pojémon Fla5h
230839,id-499,6,Ferkockel,Feuerferkecl
226569,id-110,9,Weezibg,Poison Gaz Pokémon
228217,id-260,7,,Pokémon Psz Lodo
233494,id-764,12,花疗环j,摘花宝d可梦
229666,id-392,4,烈焰猴x,火焰寶可夢a
236486,rec-287-dup-0,4,懶,懶人寶可y夢
227900,id-231,9,Phanpy,Long Nose Pokémon
227904,id-232,2,Donfan,
227907,id-232,5,Donphan,Pokémon Armure
227906,id-232,4,頓甲,鎧甲寶可夢
235678,rec-889-dup-0,11,ザマゼ,つわもbのポケモン
226826,id-134,,Sbowees,
225706,id-32,,尼多a朗,毒針寶可夢
236090,rec-556-dup-1,11,マラカッtチ,サボテンポケモンx
231813,id-596,,デンュラ,でんきグモポケモン
236800,rec-385-dup-1,4,基拉祈v,
226844,id-135,9,Jole0n,Lightnung Pokémon
231455,id-561,,シンボラvー,とりもどきポケモン
228032,id-243,9,Raikfou,Thunder okémon
231823,id-597,11,テシード,とげのみケモン
234443,id-859,,ベロeバー,いじわるポケモン
227770,id-219,12,熔岩牛,熔岩宝可c梦
230258,id-446,,,
232825,id-698,1,マルス,
233492,id-764,9,Comfev,Posy Picier Pokémon
230805,id-496,,ジャkノビー,くさへびポケモン
227280,id-175,5,Togepi,Pokémon Balle Pic
227284,id-175,9,Togepi,Spike Ball Pokémon
234556,id-871,,찌르성게,
236959,rec-72-dup-1,8,Tzentacool,Pokémon Medvsa
234299,id-845,6,Ur9l,Schlin9-Pokémon
230782,id-493,9,,Alpha Poémon
227135,id-162,3,다꼬리,긴몸통포켓몬
227136,id-162,4,大尾立,長軀幹寶可夢
233765,id-792,1,ルナアーラ,がちりんポケモン
233766,id-792,3,루나아라,월륜포켓몬
233767,id-792,4,露奈雅拉,月輪寶可夢
226429,id-98,1,クラブ,さわがにポケモン
228438,id-280,8,Ralrs,Pokémon Serisazione
229598,id-386,,Deoebxys,
230841,id-499,8,P:gnitr,Pokérnon Suinfuoco
237918,rec-42-dup-1,6,G0lba,Fledermaus-Pojémon
238297,rec-775-dup-0,5,Dodola,Pokémon Rêvepur
230527,id-470,7,Leafeon,Pokémon Verdor
230526,id-470,6,Folipurba,Unreif-Pokémon
230525,id-470,5,Phyllali,Pokémon Verdoyant
230524,id-470,4,葉伊布,新綠寶可夢
230521,id-470,1,リーフィア,しんりょくポケモン
230528,id-470,8,Leafeon,Pokémon Rigoglioso
234239,id-839,6,Montecarbo,Kohle-Pokémon
235284,rec-746-dup-0,11,,こざかポケモン
236475,rec-447-dup-0,,リオル,はもんポモン
231211,id-536,8,Palpitoady,Pokémonn Vibrazione
233697,id-785,,卡璞・鳴鳴,土地神寶r可夢
236831,rec-316-dup-1,6,Schlupepuck,
237247,rec-179-dup-1,9,Marzep,Wool Pokérnon
232967,id-712,4,冰寶,冰塊寶可夢
227139,id-162,7,Furr4t,Pokémon Alargad0
226073,id-65,8,Alaka2am,Polcémon Psico
230924,id-507,,哈约克,忠f犬宝可梦
225813,id-42,,ゴルバッ,こうもりポケモン
231811,id-596,8,Galvwntula,Pokémom Elettroragno
235965,rec-101-dup-0,,,球寶可夢
225910,id-50,11,ディcグ,もぐらrポケモン
237684,rec-489-dup-0,12,霏欧纳t,海洋可梦
227567,id-201,6,Iconitl,Symboul
228924,id-324,11,コータdス,
238309,rec-150-dup-1,,뮤,유전포켓몬
230259,id-446,3,먹고,대식가켓몬
235501,rec-784-dup-0,11,ジャランガ,ろこポケモン
226098,id-67,,豪力,怪b力宝可梦
233447,id-760,4,穿著熊,強臂寶可夢
233815,id-797,,テッカグ,うちあげポケモン
237401,rec-3-dup-1,,妙蛙花,種子寶y可夢
235993,rec-573-dup-0,1,チラチbtーノ,スカーフポモン
226379,id-93,6,Alpoloo,Gas-Polcénon
