tid,id,title,authors,venue,year
3,3BxllB4wwcIJ,Immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase N in  ,"GH Hansen, LL Wetterberg, H Sj̦str̦m, O Nor̩n","The Histochemical Journal,",1992
6,DMhfVNSDYD4J,The zero multiplicity of linear recurrence sequences,WM Schmidt,to,
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
8,xSv97kdDZU8J,The Photosynthetic Reaction Center,"JR Norris, J Deisenhofer","San Diego: Academic,",
10,6TKMB5gO9EoJ,Multidimensional similarity structure analysis,"I Borg, JC Lingoes",,1987
11,im0SIHX8SOcJ,Linear Algebra and its Applications Harcourt Brace Jovanovich,G Strang,"San Diego,",
14,lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
20,k9_rZiB4rKoJ,Recognita Plus: OCR with Strength in Hardware,B Simon,"PC Magazine (10),",
25,hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
32,pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",
34,fOH6aNSDFXkJ,An Empirical Review of Price Behaviour on the Internet,H Riquelme,"Electronic Markets,",2001
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
52,vuuzUzVRnTsJ,"Mentoring Undergraduate Minority Students: An Overview, Survey, and Model Program","MC Terrell, RK Hassell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1994
