sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,209,0.89,0.23,4164,13586,17254,496,3,27,1.0,0.43412526997840173,0.6054216867469879
1,2,193,0.90,0.22,3865,13716,17139,442,3,27,1.0,0.5353535353535354,0.6973684210526315
2,1,182,0.89,0.26,4460,12795,16721,534,6,54,0.9068219633943427,0.6472684085510689,0.7553707553707554
2,2,157,0.91,0.39,6462,10191,15982,671,5,45,0.9921976592977894,0.8023133543638276,0.8872093023255814
3,1,229,0.88,0.24,4618,14746,18736,628,3,29,0.9941520467836257,0.5409705648369133,0.7006697578567749
3,2,187,0.90,0.26,4318,12359,16171,506,4,38,0.9943019943019943,0.5513428120063191,0.709349593495935
4,1,213,0.91,0.35,6153,11672,17187,638,4,36,1.0,0.7261538461538461,0.8413547237076648
4,2,202,0.90,0.26,4407,12581,16522,466,3,27,1.0,0.5763411279229711,0.731239092495637
5,1,172,0.90,0.30,5278,12526,17207,597,4,38,1.0,0.663164039696439,0.7974727974727974
5,2,168,0.90,0.28,5023,12821,17277,567,3,27,1.0,0.6553141514973576,0.7917701312522172
