tid,id,title,authors,venue,year
5,cZCX-AQpjccJ,The Role of Faculty Advising in Science and Engineering,JR Cogdell,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
14,lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
15,173qcCip5coJ,"Li., C., AND Vitter. J. 2001. Supporting incremental join queries on ranked inputs","A Natsev, Y Chang, J Smith",Proceedings of the Very Large Data Bases Conference (VLDB; ,
28,r3sCE4vukG0J,On a stochastic optimization algorithm using IPA which updates after every customer,"EKP Chong, PJ Ramadge","Proc. 28th Allerton Conf. on Communication, Control, and  &hellip;,",
33,pG9TXzucQzcJ,Multirate analog-digital systems for signal processing and conversion,"J Franca, A Petraglia, SK Mitra","Proceedings of the IEEE,",1997
35,url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992
50,oc6SJkjsQH8J,"Crypt Breakerâ??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",
53,r7Nwb5Ja0V4J,Optimally sparse representations in general dictionaries by l 1 minimization,"D Donoho, M Elad","Technical Report, Statistics Department, Stanford University, ",
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
58,tGNFoB_K6WwJ,"Ã¢â?¬ Å?Conflict Detection Tradeoffs for Replicated Data, Ã¢â?¬Â?","JM Carey, M Livny",ACM,
61,uWeDXtelPrMJ,Virtual reality: Through the new looking glass,"K Pimentel, K Teixeira",,1993
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
73,apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999
76,QzjeEU1-zX8J,Hierarchical and variation geometric modeling with wavelets. In proceedings of the 1995 Symposium on ,"SJ Gortler, MF Cohen",,1995
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
91,IDBPFmg04zMJ,Algebraic Attacks on Combiners with Memory,"F Armknecht, M Krause",,
92,8uZb1iH-RoYJ,Congenital Diaphragmatic Hernia-Morgagni Type,"L Sinclair, BL Klein","JOURNAL OF EMERGENCY MEDICINE,",1993
101,kI-Hiv-7NZsJ,Gastroenteritis due to Kanagawa negative Vibrio parahaemolyticus,", I Goto, I Minematsu, N Ikeda, N Asano, M  ","Lancet i,",1987
