tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
6,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,6,,"J Appl. Phys.,",,,"893,",,,,,"76,",
12,"Denver, Colorado, USA.","Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D.,","in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),","May 7-11, 1995,",,12,,,,,,,,"User Embodiment in Collaborative Virtual Environments,",,,
17,"Paderborn, Germany,","Brown, D. F., Moura, H. & Watt, D. A.","`Proceedings of the International Workshop on Compiler Construction (CC-92)',","(1992b),","in U. Kas-tens & P. Pfahler, eds,",17,,,,"Vol. 641 of Lecture Notes in Computer Science,",pp. 95-109.,"Springer-Verlag,",,"Actress: an action semantics directed compiler generator,",,,
18,"Paderborn, FRG,","D. F. Brown, H. Moura, and D. A. Watt. Actress:","Proceedings of the 4th International Conference on Compiler Construction (CC'92),",October 1992.,"In U. Kastens and P. Pfahler, editors,",18,,,,"volume 641 of Lecture Notes in Computer Science,","pages 95-109,",Springer-Verlag.,,an action semantics directed compiler generator.,,,
20,,"B. Buth et. al.,","Compiler Construction,","1992,",in U. Karstens and P. Pfahler (eds.),20,,,,,pp. 141-155.,"Springer Verlag, LNCS 641,",,"Provably Correct Compiler Implementation,",,,
24,NY:,"Conklin, J.",In Computer Supported Cooperative Work: A Book of Readings.,1985.,Ed. Irene Greit:,24,,,,,513,Morgan Kaufmann.,,Hypertext: An Introduction and Survey.,,,
26,"Pittsburgh, PA.","Daelemans, W., Van den Bosch, A., and Weijters, T.",,(1995).,"S. E. and Lebiere, C.",26,"School of Computer Science, Carnegie-Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",(1990). The Cascade-correlation Learning Architecture.,,,
32,,M. Dill and M.,,,,32,,Perception & Psychophysics (in press).,,,,,,Fahle,,,
46,,"Fahle, M., Edelman, S., & Poggio, T.",,,,46,,"Vision Research,",,,3003-3013.,,,,,"35,",
47,,"Fahle, M.",,(1997).,,47,,"Vision Research,",,,1885-1895. 66,,,"Specificity of learning curvature, orientation, and vernier discriminations.",,"37(14),",
49,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,49,,,,,"pages 4348,",,,A space based model for user interaction in shared synthetic environments.,,,
50,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,50,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
51,,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.","In Proceedings of Interchi '93,",1993.,,51,,,,,"pages 43-48,",,,A space based model for user interaction in shared synthetic environments.,,,
56,,Scott Elliott Fahlman.,,1974.,,56,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5(1),
57,,Scott Elliott Fahlman.,,1974.,,57,,"Artificial Intelligence,",,,"1-49,",,,A planning system for robot construction tasks.,,5(1),
69,,"Fahlman, S.",,(1979).,,69,,,,,,MIT Press.,,NETL: A system for representing and using real world knowledge.,,,
73,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,73,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
74,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,74,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
75,,"Fahlman, S. E.,",,1979.,,75,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
77,,"Fahlman, S. E.,",,1979.,,77,,,,,,Cambridge: MIT Press.,,"NETL: A System for Representing and Using Real World Knowledge,",,,
80,"Cambridge, MA.","Fahlman, S.E.",,(1979).,,80,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
83,,S.E. Fahlman.,,,,83,,,,,,MIT Press.,,"NETL: A system for representing real-world knowledge,",,,
86,"Cambridge, MA,",Scott E. Fahlman.,,1979.,,86,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
87,"Cambridge, Massachusetts,","S. Fahlman,",,1979.,,87,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
88,,Scott E. Fahlman.,,1979.,,88,,,,,,"MIT Press,",,NETL: A System for Representing Real World Knowledge.,,,
90,"Cambridge, Mas-sachusetts,",S. Fahlman.,,1979.,,90,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
