sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,707,1.00,0.83,1304,273,1575,0,3,29,1.0,0.9113924050632911,0.9536423841059603
1,2,817,1.00,0.82,1294,278,1566,0,3,31,1.0,0.9113924050632911,0.9536423841059603
2,1,609,1.00,0.90,1350,143,1485,0,4,42,0.951048951048951,0.9444444444444444,0.9477351916376306
2,2,339,1.00,0.98,1324,30,1350,0,5,51,0.9371069182389937,0.9900332225913622,0.962843295638126
3,1,838,1.00,0.89,1332,166,1494,0,4,44,0.9914529914529915,0.9392712550607287,0.9646569646569646
3,2,294,1.00,0.97,1497,41,1530,0,5,55,0.9921259842519685,0.980544747081712,0.9863013698630135
4,1,438,1.00,0.81,1245,298,1539,0,3,31,1.0,0.9060402684563759,0.9507042253521127
4,2,498,1.00,0.97,1438,51,1485,0,5,53,0.9695121951219512,0.9875776397515528,0.9784615384615385
5,1,649,1.00,0.86,1366,223,1584,0,3,31,1.0,0.9182879377431906,0.9574036511156186
5,2,300,1.00,0.97,1507,43,1548,0,5,51,0.965034965034965,0.9963898916967509,0.9804618117229129
