theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,343,0.83,0.17,3172,15038,17573,637,,434,0.22894736842105262,0.43427620632279534,0.2998276852383687,0.26243093922651933,0.5371024734982333,0.35258640686615633
0.5,0.6,357,0.84,0.17,3159,15051,17591,619,,425,0.22193877551020408,0.43427620632279534,0.29375351716375914,0.2839683680805176,0.5524475524475524,0.3751187084520418
0.5,0.4,360,0.84,0.17,3143,15067,17630,580,,407,0.26857749469214437,0.423785594639866,0.32878492527615333,0.326334208223972,0.5298295454545454,0.4038982133188955
0.5,0.25,368,0.86,0.15,2747,15463,17757,453,,272,0.7264150943396226,0.39419795221843,0.5110619469026548,0.6971677559912854,0.47232472324723246,0.5631324241091069
0.5,0.2,377,0.87,0.12,2230,15980,17862,348,,169,0.7942583732057417,0.2999096657633243,0.43540983606557376,0.9498207885304659,0.4076923076923077,0.5705059203444564
0.5,0.15,302,0.88,0.04,755,17455,18107,103,,66,1.0,0.09127789046653144,0.16728624535315983,1.0,0.07082945013979497,0.13228894691035684
0.5,0.1,201,,,,,,,,,,,,,,
1,1,382,0.82,0.24,4307,13903,17290,920,,297,0.10375494071146245,0.5015923566878981,0.17194323144104803,0.17266744096012387,0.6022957461174882,0.2683917556792538
1,0.6,402,0.82,0.24,4307,13903,17291,919,,297,0.10375494071146245,0.5015923566878981,0.17194323144104803,0.17266744096012387,0.6022957461174882,0.2683917556792538
1,0.4,407,0.83,0.24,4306,13904,17298,912,,297,0.10375494071146245,0.5015923566878981,0.17194323144104803,0.17476489028213166,0.6022957461174882,0.27091875474563404
1,0.25,439,0.87,0.21,3804,14406,17647,563,,193,0.7479674796747967,0.45357436318816763,0.5647058823529413,0.6368421052631579,0.51931330472103,0.5721040189125295
1,0.2,367,0.87,0.17,3107,15103,17737,473,,101,0.7841726618705036,0.37618636755823986,0.5084548104956268,0.876750700280112,0.46439169139465875,0.6071774975751697
1,0.15,380,0.88,0.11,1976,16234,17933,277,,73,1.0,0.2093244529019981,0.34618410700236035,1.0,0.2663316582914573,0.42063492063492064
1,0.1,208,,,,,,,,,,,,,,
1.5,1,483,0.82,0.49,8854,9356,16265,1945,,364,0.10139165009940358,0.7881519639407598,0.17966972477064222,0.09236269738802265,0.9465648854961832,0.16830294530154277
1.5,0.6,502,0.84,0.49,8849,9361,16543,1667,,357,0.10155990706936609,0.7881519639407598,0.17993384785005512,0.0952088452088452,0.9465648854961832,0.17301520859494904
1.5,0.4,515,0.85,0.49,8839,9371,16658,1552,,348,0.10337837837837838,0.7881519639407598,0.18278205032479652,0.11871561980299347,0.9454915944982171,0.21094504745127013
1.5,0.25,534,,,,,,,,,,,,,,
1.5,0.2,607,0.89,0.43,7856,10354,17270,940,,251,0.8372781065088757,0.7511612475116125,0.7918852745715286,0.7181314330958036,0.9340885684860968,0.8119964189794091
1.5,0.15,556,0.89,0.30,5454,12756,17562,648,,194,1.0,0.579622641509434,0.7338748208313426,1.0,0.7269372693726938,0.8418803418803419
1.5,0.1,201,,,,,,,,,,,,,,
2,1,470,0.81,0.52,9512,8698,15986,2224,,299,0.12866093545096896,0.9682017543859649,0.22713826366559486,0.09735202492211838,0.9828009828009828,0.17715576420567783
2,0.6,491,0.84,0.52,9502,8708,16340,1870,,283,0.12866093545096896,0.9682017543859649,0.22713826366559486,0.09868745682423764,0.9828009828009828,0.17936415407380835
2,0.4,467,,,,,,,,,,,,,,
2,0.25,1159,0.88,0.51,9268,8942,16932,1278,,271,0.5564053537284895,0.9625137816979051,0.7051696284329565,0.44636363636363635,0.9737233515121467,0.6121240455041297
2,0.2,570,0.89,0.47,8641,9569,17151,1059,,197,0.6833602584814217,0.9468382764409625,0.7938071780436313,0.5528547201808932,0.9716840536512668,0.704737885065754
2,0.15,557,0.89,0.34,6234,11976,17466,744,,111,1.0,0.8252184769038702,0.9042407660738714,1.0,0.7873462214411248,0.8810226155358898
2,0.1,182,,,,,,,,,,,,,,
2.5,1,389,0.82,0.70,12673,5537,15411,2799,,289,0.10999386879215206,0.9760609357997824,0.19770773638968483,0.08688510417567218,0.9852941176470589,0.15968856756971478
2.5,0.6,420,0.84,0.70,12662,5548,15869,2341,,275,0.11998927470170265,0.9749455337690632,0.2136803151486212,0.09272928584609706,0.9852941176470589,0.1695058188564682
2.5,0.4,436,0.86,0.69,12636,5574,16139,2071,,268,0.12200109051254089,0.9749455337690632,0.21686455052095954,0.09410441465929328,0.984796468857283,0.1717927877828635
2.5,0.25,505,0.88,0.68,12399,5811,16561,1649,,254,0.48071700162954917,0.9693318729463308,0.6427015250544663,0.3875243664717349,0.9797930014785609,0.5553848302835591
2.5,0.2,1028,,,,,,,,,,,,,,
2.5,0.15,810,0.89,0.52,9556,8654,17054,1156,,134,0.6721311475409836,0.851037851037851,0.7510775862068966,0.8905359179019384,0.8601321585903083,0.8750700280112044
2.5,0.1,199,,,,,,,,,,,,,,
3,1,367,0.81,0.73,13223,4987,15135,3075,,249,0.09519876097057305,0.989801395598497,0.17369189469222435,0.07760498835549545,0.9990328820116054,0.1440223074241896
3,0.6,382,0.83,0.73,13214,4996,15594,2616,,244,0.10055622205256844,0.989801395598497,0.18256521954358695,0.08246188233415822,0.9990328820116054,0.1523486468549517
3,0.4,417,0.85,0.72,13186,5024,15868,2342,,228,0.1020814880425155,0.989801395598497,0.1850755256686907,0.08463178612432344,0.9985486211901307,0.15603855603855604
3,0.25,451,0.89,0.69,12652,5558,16586,1624,,225,0.50199203187251,0.9676357652221613,0.6610455311973019,0.43205128205128207,0.9882697947214076,0.6012488849241748
3,0.2,471,0.89,0.69,12629,5581,16605,1605,,205,0.5177095631641087,0.9647964796479648,0.6738378793699579,0.43623000432338954,0.987279843444227,0.6050974512743628
3,0.15,4534,0.89,0.54,9818,8392,16963,1247,,132,0.6449480642115203,0.8411330049261084,0.7300908605024052,0.6182795698924731,0.8,0.6974981046247156
3,0.1,4238,,,,,,,,,,,,,,
3.5,1,305,0.82,0.78,14255,3955,15036,3174,,204,0.05443891004980955,0.9935828877005347,0.10322222222222222,0.061598951507208385,0.9995166747220879,0.11604612665188968
3.5,0.6,317,0.84,0.78,14246,3964,15495,2715,,199,0.05686478545632613,0.9935828877005347,0.10757295044001854,0.06498081399006102,0.9990328820116054,0.12202468844132065
