tid,artist,category,genre,id,title,tracks,year
0,backstreet boys,blues,pop,10000,millennium,larger than life i want it that way show me the meaning of being lonely it s gotta be you i need you tonight don t want you back don t wanna lose you now the one back to your heart spanish eyes no one else comes close the perfect fan i ll be there for you ,
1,various,data,,100001,frankfurt trance vol 04 cd1,dj tom stevens vs fridge outface 2000 radio mix alice deejay better off alone signum remix tillmann uhrmacher feat peter ries bassfly original mix dj 2 l 8 too late time square invisible girl future breeze remix cirillo across the soundline dj leon jam x hold it sean dexter synthetica extended mix dj bjã rn on a mission original mix 8voice music hypnotizes 2000 alex apollo jahr 2000 headroom utopia radio mix ,
2,no return,data,data,100002,self mutilation,do or die truth and reality lost soul extractor sadistic desire the true way fanatic mind individualistic ideal one life trail of blood sect ,
3,ã â â ã â ã â ºâ ã â å ,data,pop,100003,ã æ â³ã â žã â âºã â ã â ¹ã â ã â šâ ,ã â ºâ ã â â ã â šå ã â žã â ã â ¹ã â â ã â ã â¼å ã â ã å ã âªã â šâ ã â â ã â ã âªã â žã â â ã å ã â ã å ã â ã å ã â žã â ž ã âµã â šå ã â šã â ž ã â šã â š ã â ã ëœâ ã â âºã å ã â ã â ã â â ã â â½ã â žã â â ã å å¾ã â â ã â ã â ã â šâ ã â žã â â šã â â ã â å ã â å ã ë â ã â å ã â šã âªã å ã â šâ ã â žâ ºã â ã â šâ ¹ã â ã â ã ëœâ ã â²â ã â ,1989
4,emanuel,data,data,100004,felicidade,felicidade quando o telefone toca vem bailar o tic tic quero que sejas minha e de mais ninguem eu sei que me amas o melhor que hã minha vizinha deixa me a bater mal s joã o ã foliã o sã³ quero o teu carinho tudo farei para ter a tua paixã o serã s sempre minha vem bailar o tic tic verã ã o dance mix ,1998
5,ã å â ã â ºâ ã â ºâ ºã â â ,data,musical,100005,catsã â â ã â šâªã æ âªã â šâ ã æ å ã æ â ã â½â ã â šâ ã æ â ã â šâ¹ã æ ë ,ã æ â ã æ â ã æ âªã æ â¼ ã â šâªã æ â¼ã æ â ã â šâ ã æ ã æ â ã â šâ ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã â šâ½ã æ â³ã â šâ ã æ ã æ â¼ã æ å ã æ â³ã â šâ ã æ â ã â šâªã æ â ã æ â ã â šâ ã æ â ã æ æ ã æ â ž ã ë â ã å â ã â ã ã â šâ ã â šâ ã æ â ¹ã â šâ ã æ â ¹ã æ â ã æ æ ã æ â ž ã ë â ã å ã â ã â ã â šâ œã å â ã æ â ã æ â ã æ â ã â šâ ã æ â ã æ â ã â šâ ã â šâ ã æ â¼ ã ë â ã â ã â ã â ã â šå ã å â ã â šâ ã æ âªã â šâ ã æ â ã æ â ã ë â ã â â¼ã â â ã å â ã æ ã â šâ¹ã æ ë ã æ â ã â šâ ã æ â¼ã â šâ ã æ â ã æ â¼ã æ â³ã â šâº ã ë â ã â â ã âºâºã â â ã â¼å ã æ å¾ã æ â³ã â šâ ã â šâ ã â šâ ã æ âªã æ â¼ã â ã æ â ã æ â³ã æ å ã æ â ã æ â ã â šâ ã æ â¼ã â šâ ã ë â ã â ã â³â ã â â ã æ â ã æ â ã æ ë ã æ â ã æ å½ã æ å ã æ â¼ ã ë â ã â â ã â ã å â ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã ë å¾ã â ã â¼å ã æ â ã æ â ã æ âªã æ â¼ ,
7,various artists,data,electronic,100007,nop pop 2,golden boy miss kittin rippin kittin norther lite treat me better peaches lovertits mã rtini brã s flash kristall das leben im jetzt slam lifetimes autotune capital killers e man animal skin marc verbos special friend lasse lundmark coca bass flash und gordon frauen in autos dan maxem vs polygen tiefoderhoch green velvet la la land frank mã¼ller vs takkyu ishino ,2002
8,dmbq,data,rock,100008,dmbq,small hours rock a cola ohh baby teenage limbo little leaf i movement little leaf ii swell little leaf iii etude sayonara no season altered rock can peace migrate to midnight e means eternal data track ,2002
9,4 p m ,data,acapella,100009,sweet soul,miagetegoran yoruno hoshio woman cherish tears in heaven so much in love christmas eve too much heaven i left my heart in san francisco the lady in my life christmas medley the star spangled banner ,2001
10,various,data,,100010,frankfurt trance vol 05 cd1,dj tom stevens violet steam single cut liquid child diving faces original mix vimana we came edit lac terra after dark fridge vs vectrex remix steve baltes thoughts original mix star party i m in love ferry corsten robert smit rmx gate iv give all you got radio edit dj stigma baby sunshine stig s original club mix synchronic minds all i need club mix astral inc remember green court edit x trance friends 2000 tom stevens rmx ravelab send me an angel club mix ,
11,â¾ã â â ã ãœ worship,data,,100011,child praise vol 1,ã ã â ã â³âªâ â â ã â â â½ãƒâ ã â ã ã ãš â³âªâ ã â¹ã ã â½ã â â ãž â ã â ã ã ã â½ã ã ã â³âªâ ã give thanks â â¹â¼ã â ã â ã ã ã â½ã ã âº â ã â â ã ã â²â² â ã â âµã ã â ã â â â ã âµãž â¼ã â ã ã â â ã âºã ãƒãÿâ¼ã â¼â ãˆâ â ãªâ³âª ã ã â ã ã ã â½ãƒâ â â â â¼â â ã½â ã â ãº ã ã ã âº ãƒâµâ ã âµã â ã â ã â¼ã ã ã¹â¾ã ã ã ,
12,rumania montevideo,data,pop,100012,mo better tracks,i ll be with you hard rain free tender rain rain sleeper life style taxi take my pain away my life album version all by myself start all over again album version ,
13,modern talking,data,pop,100014,univers,tv makes the superstar iâ m no rockefeller mystery eyerybody needs somebody heart of an angel who will be there knocking on my door should i would i could i blackbird life is so short nothing but the truth superstar ,1997
14,keedy,data,data,100015,chase the clouds,save some love wishing on the same star never neverland sorry only your heart gettin around don t turn away pretty boy mama lazy day save some love hot remix ,
15, ,data,rock,100016,subway express, ,
16,various,data,house,100017,micmac house dance party,colonel abrams i m caught up zhana can t stop dancin camille my love will set you free bmc a night at the m vol 2 no joke feel the music house factor movin and groovin diva diva boy i told you so hippie culture accelerator can you feel it mixmaster love machine d j professor runner supreme mind it s over now motivation featuring lee truesdale keep in touch ,1996
17,bill evans,data,,100019,alone,here s that rainy day a time for love midnight mood on a clear day you can see forever never let me go the two lonely people aka the man and the woman here s that rainy day alternative take a time for love alternative take midnight mood alternative take on a clear day you can see forever alternative take never let me go alternative take medley all the things you are midnight mood ,1968
18,nature destroyed,data,,100020,shades,enter the realm dream of fear word of trust unforeseen desire shades bound imprisoned cold vengeance disease leaving the shadow ,
