tid,address,authors,booktitle,date,editor,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
5,,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,(1994).,,5,,"J Appl. Phys.,",,,"893,",,,,,"76,",
12,"Denver, Colorado, USA.","Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D.,","in Proc. ACM Conference on Human Factors in Computing Systems (CHI95),","May 7-11, 1995,",,12,,,,,,,,"User Embodiment in Collaborative Virtual Environments,",,,
31,,"Dempster, A., Laird, N., and Rubin, D.",,(1977).,,31,,"Journal of the Royal Statistical Society B,",,,1-38.,,,Maximum likelihood from incomplete data via the EM algorithm.,,39,
43,,"Fahle, M., Edelman, S., and Poggio, T.",,(1995).,,43,,"Vision Research,",,,3003-3013.,,,Fast perceptual learning in hyperacuity.,,35,
47,,"Fahle, M.",,(1997).,,47,,"Vision Research,",,,1885-1895. 66,,,"Specificity of learning curvature, orientation, and vernier discriminations.",,"37(14),",
48,,"Fahle, M.",,,,48,,"Vision Research,",,,1885-1895.,,,,,"37(14),",
69,,"Fahlman, S.",,(1979).,,69,,,,,,MIT Press.,,NETL: A system for representing and using real world knowledge.,,,
71,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,71,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real World Knowledge.,,,
73,"Cambridge, MA.","Fahlman, S. E.",,(1979).,,73,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
79,,"Fahlman, S. E.,",,1979.,,79,,,,,,Cambridge: MIT Press.,,"NETL: A system for representing and using real world knowledge,",,,
80,"Cambridge, MA.","Fahlman, S.E.",,(1979).,,80,,,,,,"MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
90,"Cambridge, Mas-sachusetts,",S. Fahlman.,,1979.,,90,,,,,,"The MIT Press,",,NETL: A System for Representing and Using Real-World Knowledge.,,,
91,,Scott E Fahlman.,,1979.,,91,,,,,,"The MIT Press,",,"NETL, A System For Representing And Using Real-World Knowledge.",,,
99,,Scott E. Fahlman.,,1979.,,99,,,,,,"MIT Press,",,Netl: A System For Representing And Using Real-World Knowledge.,,,
107,"San Mateo, CA:","S. E. Fahlman,","Proc. of the 1988 Connectionist Models Summer School,",1989.,"D. Touretzky, G. Hinton and T. Sejnowski, eds.,",107,,,,,"pp. 38-51,","Morgan Kauffman,",,"Faster-Learning Variations on Back-Propagation: An Empirical Study,",,,
109,,"Fahlman, S. E.",T.,(1988).,"In G. E. Hinton,",109,,,,,,,,Faster-learning variations on back-propagation.,,,
111,"San Mateo, CA:","Fahlman, S.E.",In Proc. 1988 Connectionist Models Summer School.,(1988),,111,,,,,,Morgan Kauffman,,Faster learning variations on backpropagation: An empirical study.,,,
134,,S.E. Fahlman.,"In Proceedings of the 1988 Connectionist Models Summer School,",1988.,,134,,,,,,,,Faster-learning variations on back-propagation: An empirical study.,,,
