sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,86,0.94,0.46,4196,5020,8949,267,3,25,0.9096774193548387,0.9334314086061052,0.9214013432564895
1,2,75,0.94,0.52,4981,4642,9313,310,4,34,0.9106648199445984,0.9511754068716094,0.930479391473554
1,3,99,0.94,0.43,4128,5384,9265,247,3,25,0.9457784663051898,0.9142643204792212,0.9297544260422617
2,1,56,0.94,0.45,4701,5762,10159,304,4,36,0.9346271705822268,0.8909444985394352,0.9122632103688932
2,2,85,0.94,0.48,5009,5341,10028,322,4,34,0.8952007835455436,0.8904042864101315,0.8927960927960927
2,3,88,0.94,0.41,4119,5909,9746,282,4,34,0.8199095022624434,0.8860635696821516,0.8517038777908343
3,1,81,0.93,0.34,3566,6846,10142,270,3,27,0.8895027624309392,0.8251121076233184,0.8560983715520107
3,2,65,0.94,0.41,3807,5554,9114,247,4,32,0.8621468926553673,0.9083333333333333,0.8846376811594202
3,3,94,0.94,0.57,5694,4238,9552,380,5,43,0.9327251995438997,0.9429394812680115,0.9378045285182001
4,1,92,0.94,0.49,5177,5353,10205,325,4,34,0.7552213868003341,0.9324394017534812,0.834525732748673
4,2,85,0.93,0.44,4474,5678,9816,336,5,45,0.7576628352490421,0.8663745892661555,0.8083801737353091
4,3,83,0.94,0.47,4204,4821,8742,283,4,34,0.7733333333333333,0.9133858267716536,0.8375451263537906
5,1,75,0.92,0.48,4854,5192,9651,395,6,52,0.7345323741007195,0.9427516158818098,0.8257177517185604
5,2,82,0.92,0.35,3632,6616,9952,296,5,45,0.6695187165775401,0.7069452286843592,0.6877231529799507
5,3,81,0.94,0.42,4243,5856,9812,287,5,43,0.672016748080949,0.9136622390891841,0.7744270205066345
