tid,id,title,authors,venue,year
1,aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
5,cZCX-AQpjccJ,The Role of Faculty Advising in Science and Engineering,JR Cogdell,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995
14,lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
15,173qcCip5coJ,"Li., C., AND Vitter. J. 2001. Supporting incremental join queries on ranked inputs","A Natsev, Y Chang, J Smith",Proceedings of the Very Large Data Bases Conference (VLDB; ,
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
21,QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of Floridaâ??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,
22,0BIwb8RT4OMJ,World Population Prospects: The 1996 Revision,U Nations,"New York,",
23,XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997
25,hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998
30,wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,
35,url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992
36,_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000
39,K_qOxjIJWpQJ,Data in Your Face&quot;: Push Technology in Perspective (Invited Paper) ACM SIGMOD Intl,"M Franklin, S Zdonik","Conference on Management of Data, Seattle, WA, June,",
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
44,2KtUhuZ4z6QJ,Modeling and Analysis of a Traveling Wave Tube Under Multitone Excitation,JG Wohlbier,,2000
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
57,HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990
62,zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
67,EeTtbmdFG94J,Measuring the light regime under vegetation.,CA Federer,,1964
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
69,TL5mfdKmYeUJ,"Visualization, Optimization, and Business Strategy","DL Gresh, EI Kelton","D. Gresh, E. Kelton, Proceedings, IEEE Visualization,",
72,pVzuVkEC4jwJ,Progress in the Development of Large Area Sub-millimeter Resolution CdZnTe Strip Detectors,"JR Macri, DV Boykin, K Larson, M Mayer, ML  ","Proc. SPIE,",1996
75,Hftb0dapCC4J,Students in learning groups: Active learning through conversation,"C Bouton, RY Garth","Learning in Groups, New Directions for Teaching and",
76,QzjeEU1-zX8J,Hierarchical and variation geometric modeling with wavelets. In proceedings of the 1995 Symposium on ,"SJ Gortler, MF Cohen",,1995
80,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN7626882AH,Hardware and System Architecture for a Very Large Database,"R HEALEY, B HECKMAN","VLDB,",1975
81,5KE8pei0YGYJ,Genetic-Algorithm Programming Environments,"JLR Filho, PC Treleaven, C Alippi",,
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
91,IDBPFmg04zMJ,Algebraic Attacks on Combiners with Memory,"F Armknecht, M Krause",,
93,cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987
94,CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,
95,eVmosockte4J,Bill 1989â??Select Committee,P Offences,,
96,Pwzqj15AEKgJ,New developments in laser resonators,AE Siegman,,1990
97,KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",
99,M7up_B3A8YgJ,A quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"DM Webber, IP Braidman, WR Robertson, DC Anderson","The Histochemical Journal,",1988
100,gLLjcrLSddsJ,What are the national regimes and local traditions of social welfare and their historical derivation ,R Greca,,1995
105,AVGTDRLrxUkJ,Vision-based Pedestrian Detection: will Ants Help?,"M Bertozzi, A Broggi, A Fascioli",,
106,6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
110,HBTKLk8SRrAJ,"Babel: A testbed for research in origins of language, 1998",A McIntyre,Submitted for,
111,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DA8622976AH,Observations of frontal zone structures with a VHF Doppler radar and radiosondes,"MF LARSEN, J ROETTGER","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984
112,kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",
116,Yvpk-M9_u-AJ,"Heated, humidified air for the common cold",M Singh,"Cochrane Database Syst Rev,",2000
119,3uMQgG34ohYJ,Cost Effective Dynamic Program Slicing,"X Zhang, R Gupta",,
122,k2LFZSt_NcoJ,Aspects of disc brake judder,H Jacobsson,"Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2003
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
129,i3SXq8EbKDYJ,Transputer implementation of Kalman filters,"LP Maguire, GW Irwin",,
130,UC4EaQQMXU0J,Waiting Times For Stationary Processes,"I Kontoyiannis, A Recurrence","Technical Report No. 92, Stanford University, July",
134,y81qtjGBUykJ,Proposed Air Force Guidelines for Successfully Supporting the Intrinsic Remediation (Natural  ,"TH Wiedemeier, JT Wilson, DH Kampbell, RN Miller","Proceedings, 1994 Outdoor Action Conference, May 23-25,  &hellip;,",
135,Mqg5svJwsCoJ,Multimedia Miner: A System Prototype for Multimedia Data Mining,", J Han, SH Chee, JY Chiang","Proceedings of ACM-SIGMOD International Conference on  &hellip;,",1998
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
147,url:http://www.springerlink.com/index/G17323245151166V.pdf,"Dye standards, Part I: terminology and general principles","H Lyon, E Schulte, A de Leenheer, S Lewis, V  ","The Histochemical Journal,",1992
151,awu_PrmgYnUJ,Multiaccess of a slotted channel using a control mini-slot,"L Merakos, D Kazakos","Proc. Int. Conf. Communications,",
152,bGadjxyzDHAJ,Urban Watershed GIS Models for Neighborhood Environmental Education. 1997 ACSM/ASPRS Annual  ,"CJ Van Zee, P Hayes","Seattle, Washington, April,",
157,mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,
160,OOZb-r3GUTMJ,Genera crustaceorum et insectorum,PA Latreille,"Tomus I,",
162,JyTArxFIMecJ,Ethical Decision Making in Organizations: A Person-Situation Interactionist Model,LK Trevino,"The Academy of Management Review,",1986
163,EqF1i1bl7GIJ,Application servers (panel session): born-again TP monitors for the Web,"C Mohan, L Cable, M Devin, S Dietzen, P Helland, D ","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001
167,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,NSF Workshop on Industrial/Academic Cooperation in Database Systems,"M Carey, L Seligman","SIGMOD Record,",1999
169,yPeKQ2D1dRgJ,Controlled trial of Internet based treatment for chronic back pain,"M Buhrman, S FÃ¤ltenhag, L StrÃ¶m, G Andersson","Unpublished manuscript,",
171,FhpFMAc1rzYJ,Participation's Effects on Performance and Satisfaction: A Reconsideration of Research Evidence,JA Wagner III,"The Academy of Management Review,",1994
175,npG51orAPBkJ,Address compression through base register caching,"A Park, M Farrens",,
176,KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",
179,gRCVf_OAkXwJ,"II, Fundamentals of parallel logic simulation",RJ Smith,"Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",
180,QPpUo7m3A7cJ,Efficient Transparent Application Recovery,"D Lomet, G Weikum",Client-Server Information Systems.,
188,aUM8wzJhDDgJ,Rainwater-harvesting agriculture for food production in arid zones: the challenge of the African  ,"HJ Bruins, M Evenari, U Nessler","Applied Geography,",
192,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,Report on the 18th British National Conference on Databases (BNCOD),"C Goble, B Read","SIGMOD Record,",2002
196,9F4uvDaInLAJ,Towards Generic Service Management Concepts: A Service Model Based Approach. 7th IEEE/IFIP  ,"M Garschhammer, R Hauckâ?¦","Seattle, Washington USA: IEEE Publishing, May,",
197,drh9KspqNUwJ,"Sustained Product Innovation in Large, Mature Organizations: Overcoming Innovation-to-Organization  ","D Dougherty, C Hardy","The Academy of Management Journal,",1996
200,T4yqFWvJWkwJ,Safety of computer control systems 1992 (SAFECOMP'92). Computer Systems in Safety-critical  ,HH Frey,"Proc. IFAC Symposium, Zurich, Switzerland,",
201,1QeuNAkihQ4J,"Intra-annual changes in the abundance of coho, chinook, and chum salmon in Puget Sound in 1997","RJ Beamish, M Folkes, R Sweeting, C Mahnken",,
207,ntdj8NeKyI4J,Comparison of systems with complex behavior,"I Mezic, A Banaszuk",,
208,j3iZLktsE0IJ,Transportation and World Development,JC Lowe,"Economic Geography,",1988
211,HX8P7Bn5TvsJ,Lowering security overhead in link state routing,"RC Hauser, T Przygienda, G Tsudik","Computer Networks,",1999
212,0grY-Lst84sJ,SafetyNet: A language-based approach to programmable networks,"I Wakeman, A Jeffrey, T Owen, D Pepper","Computer Networks,",2001
216,Xul-tMyACGkJ,Link Prediction Approach to Collaborative Filtering,"Z Huang, X Li, H Chen",,
217,LNBSpjVFVGMJ,The universal distribution and a free lunch for program induction,"J Neil, J Woodward",Unpublished,
219,EXtoza-15lIJ,Academic Press,"EB Davies, OP Semigroups","San Diego,",
221,IS6ujL13ktgJ,Word and acoustic confidence annotation for large vocabulary speech recognition,L Chase,,
226,6ZkXlK72UB4J,Audit and feedback: effects on professional practice and health care outcomes,"G Jamtvedt, JM Young, DT Kristoffersen, O Thomson, ","Cochrane Database Syst Rev,",2003
228,ar7Icaf1G8kJ,Implementing the earnings supplement project: a test of a re-employment incentive,HS Bloomâ?¦,,
230,X2PE6K7uezQJ,The future of fiber-optic computer networks,PE Greenâ?¦,,
232,0ct3hfJD8WgJ,2dF mechanical engineering,"G Smith, A Lankshear","Proc. SPIE,",1998
237,AiamPPqvsBUJ,The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","Genes to Cells,",1997
243,VjZuZF2XXB4J,"Yu. A. Medvedev, and BM Stepanov",AV Zhemerev,At.,
246,sfUBo7aTIgcJ,Provably secure coin flip in a Byzantine environment,"S Awerbuch, B Chor, S Goldwasser, S Micali",,1985
247,JvkJdUBUt8kJ,Distance learning: Whatâ??s holding back this boundless delivery system,I Bruder,"Electronic Learning,",1989
252,0wVMAyv_P5kJ,Socioeconomic Restructuring and Regional Change: Rethinking Growth in the European Community.,A Rodriguez-Pose,"Economic Geography,",1994
254,N0276nr35FgJ,h instability and 1= f noise in bipolar transistors,"Z Yiqi, S Qing","28th Annu. Proc. Int. Reliability Physics Symp,",
257,ButmJWjGXusJ,MapInfo SpatialWare: A Spatial Information Server for RDBMS.,C Mina,"VLDB,",1998
259,RD-KmJCXk3wJ,The stakeholder approach to evaluation: Origins and promise,CH Weiss,"New Directions for Program Evaluation,",1983
261,p64HqJ4RIQQJ,"Modes of Action of FK506, Cyclosporin A, and Rapamycin",R Morris,"TRANSPLANTATION PROCEEDINGS,",1994
262,AnNzb6Gr7HkJ,"TATA probabilistic temporal databases, I: Algebra","A Dekhtyar, R Ross, VS Subrahmanian","Technical report CS-TR-3987, Department of Computer Science, ",
268,x2suKNGm4TAJ,Contractual types,O Nierstrasz,"submitted for publication,",2003
271,c2vj3tDFWKEJ,Automatic assessment aids for Pascal programs,MJ Rees,"ACM SIGPLAN Notices,",1982
272,url:http://adsabs.harvard.edu/abs/1974PhDT........51S,The formulation of molecular quantum mechanics with the aid of particle density operators and phase  ,M Schleicher,"&hellip;  Eidgenoessische Technische Hochschule, Zurich (Switzerland) &hellip;,",1974
274,NP13J8S06XYJ,Optimal selection of supply voltages and level-conversion during data-path scheduling under resource ,"M Johnson, K Roy","Proceedings of the 1996 IEEE/ACM International Conference on &hellip;,",
282,DiyLLGIcUZQJ,â??Punctualityâ??and Verb Semantics,S Engelberg,,
285,SxkA8bJooH4J,Social Experimentation,H Riecken,,
286,QO9uigNY9WgJ,Computer implementation of thenite element method,A George,"Stanford University Technical Report STAN-CS-208, Stanford, CA, ",
287,CbVuJPvkwf0J,"Land degradation in the Yallahs Basin, Jamaica: historical notes and contemporary observations","D Barker, DFM McGregor","Geography,",
288,hdOQ_vyjDacJ,Scatter/gather: A cluster-based approach to browsing large doctnnent collections,"DR Cutting, DR Karger, JO Pedersen, JW Tukey","Proc. ACM SIG1R,",
289,VX6-Plyp9zgJ,"September 11, terror war, and blowback",D Kellner,"Unpublished manuscript,",
295,clox1KvD37UJ,Classroom behaviors related to college teaching effectiveness,H Murray,"New directions for teaching and learning: using research to  &hellip;,",
296,c2dH5RxNj6kJ,A Multimedia Presentation Algebra,"S AdalÄ±, ML Sapino, VS Subrahmanian","SIGMOD,",1999
297,Jiq89ZNUK5YJ,"Inc., March 1985",M Pirnie,"&hellip;  River PCB Reclamation/Demonstration Project, Evaluation of ",
298,0NbPdN8x5a0J,Hits and Miss-es: A Year Watching the Web,J Graham-Cumming,"WWW6 / Computer Networks,",1997
