tid,id,title,authors,venue,year
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
8,xSv97kdDZU8J,The Photosynthetic Reaction Center,"JR Norris, J Deisenhofer","San Diego: Academic,",
11,im0SIHX8SOcJ,Linear Algebra and its Applications Harcourt Brace Jovanovich,G Strang,"San Diego,",
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
19,yNwfL9rufUIJ,Pain and leg ulceration associated with reduced ABPI and atropie blanche,D Hofman,"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998
21,QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of Floridaâ??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
29,7B7KCnJu4j8J,Flight to Objectivity: Essays on Cartesianism and Culture,S Bordo,,
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
39,K_qOxjIJWpQJ,Data in Your Face&quot;: Push Technology in Perspective (Invited Paper) ACM SIGMOD Intl,"M Franklin, S Zdonik","Conference on Management of Data, Seattle, WA, June,",
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
45,HTf9AkxlLV8J,Lohman. GM R* Optimizer Validation and Performance Evaluation for Local Queries,LF Mackert,"Proceedings of SIGMODâ??86. Washington. May,",
46,OhxtDo0PX1cJ,Load Balancing in Dynamic Structured P2P Systems,SSY Patel,,
