tid,id,title,authors,venue,year
8,xSv97kdDZU8J,The Photosynthetic Reaction Center,"JR Norris, J Deisenhofer","San Diego: Academic,",
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
39,K_qOxjIJWpQJ,Data in Your Face&quot;: Push Technology in Perspective (Invited Paper) ACM SIGMOD Intl,"M Franklin, S Zdonik","Conference on Management of Data, Seattle, WA, June,",
43,AELK1VrNZ40J,Temperatures necessary to kill fungi in wood,S Chidester,"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",
45,HTf9AkxlLV8J,Lohman. GM R* Optimizer Validation and Performance Evaluation for Local Queries,LF Mackert,"Proceedings of SIGMODâ??86. Washington. May,",
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
60,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D2147016CI,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
82,AeC4rMZEHpUJ,Interactive med. 3D-simulations by means of stereoscopy and standard hardware,"H WÃ¶rn, J MÃ¼hlingâ?¦","Rechner-u. SensorgestÃ¼tzte Chirurgie-Procs, GI,",
93,cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987
98,LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003
99,M7up_B3A8YgJ,A quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"DM Webber, IP Braidman, WR Robertson, DC Anderson","The Histochemical Journal,",1988
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
121,BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V Noriegaâ?¦","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
127,MDr5xBsWWWoJ,Scalable session messages in SRM using self-configuration,"P Sharma, D Estrin, S Floyd, L Zhang",,
133,pAhGk5H9_4kJ,"HERMES: A Heterogeneous Reasoning and Mediator System, 1994","VS Subrahmanian, S Adali, A Brink, R Emery, JL Lu, ",Submitted for,
134,y81qtjGBUykJ,Proposed Air Force Guidelines for Successfully Supporting the Intrinsic Remediation (Natural  ,"TH Wiedemeier, JT Wilson, DH Kampbell, RN Miller","Proceedings, 1994 Outdoor Action Conference, May 23-25,  &hellip;,",
135,Mqg5svJwsCoJ,Multimedia Miner: A System Prototype for Multimedia Data Mining,", J Han, SH Chee, JY Chiang","Proceedings of ACM-SIGMOD International Conference on  &hellip;,",1998
141,pScXi8veb-oJ,Preferential treatment for short flows to reduce web latency,"X Chen, J Heidemann","Computer Networks,",2003
146,Nm4mm1zJfj8J,The velocity of sound below 1 K,"KR Atkins, DV Osborne","Phil. Mag,",
155,TVp1tqpYTDkJ,Contextual Method for the Re-design of Existing Software Products,"R Jones, N Milic-Frayling, K Rodden, A Blackwell",,
157,mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,
