tid,id,title,authors,venue,year
1,aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
9,vj0-A5RoktIJ,"F., Diene, AW, Ndiaye, Y. Hachage linÃ©aire Scalable et DistribuÃ© LH* LH sous Windows NT",F Bennour,"Res. Rep. CERIA, U. Paris,",
12,izK60fJMujQJ,"deD., D. Roncagliolo y U. Velarde (1997) Interactions and independence in stated preference  ",J OrtÃºzar,Proceedings of the 25 thEuropean Transport,
14,lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
19,yNwfL9rufUIJ,Pain and leg ulceration associated with reduced ABPI and atropie blanche,D Hofman,"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998
24,v-6ClxSz9doJ,Survival Skills for Graduate School and Beyond,"BA Fischer, MJ Zigmond","New Directions for Higher Education,",1998
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
35,url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992
38,x28I9Elj9KIJ,Caldwell,"P Consultants, B PC","&hellip;  for Comparison of Supplemental Technology Demonstration  &hellip;,",
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
46,OhxtDo0PX1cJ,Load Balancing in Dynamic Structured P2P Systems,SSY Patel,,
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
54,qSmbg2Pmas0J,Tunning RED for Web Traffic,"M Christiansen, K Jeffay, D Ott, FD Smith",Proc.,
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
70,AKJwRjF08K0J,The Defect Structure and Mechanical Properties of Spinel Single Crystals,MH Lewis,"Phil. Mag,",
71,tjou0W77VQ4J,Real-Time networking for the implementation of CIM,"LR Lin, HP Huang",Proc. Int. Conf. Automation,
73,apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999
77,PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",
97,KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",
100,gLLjcrLSddsJ,What are the national regimes and local traditions of social welfare and their historical derivation ,R Greca,,1995
115,5wiLuVdexv0J,Energy Conservation 2000 Mayville and Horicon: A Study Of A Community-Based Program,"B Neal, C Sabo","Wisconsin Demand-Side Demonstration, April,",
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
121,BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V Noriegaâ?¦","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
141,pScXi8veb-oJ,Preferential treatment for short flows to reduce web latency,"X Chen, J Heidemann","Computer Networks,",2003
150,n9_CfMTousYJ,"Learning plateaus in generalized cognitive condensations: phase transition, path dependence and  ","R Wallace, R Fullilove",,2001
166,8K19hGoG2K8J,Stochastic averaging of Hamiltonian systems: a direct martingale proof of a result by Freidlin and  ,"R Sowers, N Sri Namachchivaya","Submitted for publication,",
170,95QbEi1e_rAJ,Evaluation of local detectors on non-planar scenes,"F Fraundorfer, H Bischof",,
176,KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",
180,QPpUo7m3A7cJ,Efficient Transparent Application Recovery,"D Lomet, G Weikum",Client-Server Information Systems.,
185,EtRstiL1C-QJ,"Potential Interference to GPS from UWB Transmitters; Phase II Test Results: Accuracy, Loss-of-Lock,  ","M Luo, M Koenig, D Akos, S Pullen, P Enge","Technical Report 3, Stanford University, March",
186,JEY4MNdwsggJ,Capitalistic mathematics,VP Maslov,Manuscript,
197,drh9KspqNUwJ,"Sustained Product Innovation in Large, Mature Organizations: Overcoming Innovation-to-Organization  ","D Dougherty, C Hardy","The Academy of Management Journal,",1996
200,T4yqFWvJWkwJ,Safety of computer control systems 1992 (SAFECOMP'92). Computer Systems in Safety-critical  ,HH Frey,"Proc. IFAC Symposium, Zurich, Switzerland,",
201,1QeuNAkihQ4J,"Intra-annual changes in the abundance of coho, chinook, and chum salmon in Puget Sound in 1997","RJ Beamish, M Folkes, R Sweeting, C Mahnken",,
223,url:http://adsabs.harvard.edu/abs/1976InfPh..16..125Z,High resolution infrared solar observations by balloon,R Zander,"&hellip;  on Infrared Physics, Zurich, Switzerland, Aug. 11-15, 1975. &hellip;,",1976
235,-4mC6Wz-vkQJ,Distributed restoration in telecommunications networks,D Johnsonâ?¦,"BT TECHNOLOGY JOURNAL,",1994
243,VjZuZF2XXB4J,"Yu. A. Medvedev, and BM Stepanov",AV Zhemerev,At.,
247,JvkJdUBUt8kJ,Distance learning: Whatâ??s holding back this boundless delivery system,I Bruder,"Electronic Learning,",1989
264,56U_bp4y6JoJ,"A., H. Muroya, and RG Gould. 1972",P Edwards,vivo demonstration of the circadian. rhythm of cholesterol ,
265,4ii5NtWqhIYJ,Asilomar Report,"P Bernstein, M Brodie, S Ceri, M Franklinâ?¦","SIGMOD Record,",
269,9evIHTb1x8sJ,Arrangement of Latches in Scan-Path Design to Improve Delay Fault Coverage,"W Mao, MD Ciletti","Proc. Int. Test Conference,",1990
271,c2vj3tDFWKEJ,Automatic assessment aids for Pascal programs,MJ Rees,"ACM SIGPLAN Notices,",1982
281,GcZFuzekOiAJ,The Discovery of the Individual 1050-1200,C Morris,,
283,dzHPil1BBAcJ,Evaluation of winter rye hybrids fertility,"L Madej, R Osinski, J Jagodzinski","BIULETYN-INSTYTUTU HODOWLI I AKLIMATYZACJI ROSLIN,",1995
285,SxkA8bJooH4J,Social Experimentation,H Riecken,,
298,0NbPdN8x5a0J,Hits and Miss-es: A Year Watching the Web,J Graham-Cumming,"WWW6 / Computer Networks,",1997
303,La1Bik2hfmEJ,A University-Industry Association Model for Curriculum Enhancement.,M Passer,"New Directions for Higher Education,",1984
304,txo56JDKlAoJ,O-Linked Oligosaccharide on IgAl Hinge Region in IgA Nephropathy. Fundamental Study for Precise  ,"Y Hiki, A Horii, H Iwase, A Tanaka","CONTRIBUTIONS TO NEPHROLOGY,",1995
313,mcW9SmQ_MT4J,Pulsar-appropriate Clock Statistics,"D Matsakis, F Josties","Proc. 28th Annual Precision Time and Time Interval (PTTI)  &hellip;,",
339,qU_IX5KFwIoJ,SIGCAS Chair's Message,CD Martin,"Computers and Society,",
345,WR9G-Gkj1UUJ,"Women, Fire, and Dangerous Things: What Categories Reveal About the Mind University of Chicago Press ",G Lakoff,"ISBN,",
351,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0116696CI,Database requirements for a software engineering environment: criteria and empirical evaluation,"S Chen, JM Drake, WT Tsai","Information and Software Technology,",1993
352,ysc9EwrFrCEJ,ER Mapper User Guide. 922 p,ER MAPPING,"San Diego,",
360,usC5w5B3S_IJ,Experience building the open OODB query optimizer,A Joseâ?¦,Proceedings of ACM,
362,XqpMijpKbaEJ,OAM: An Office Analysis Methodology. Office Automation Group Memo OAM-016,"M Sirbu, S Schoichet, J Kunin, M Hammer",,1981
367,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1027558%26type%3Dpdf,Range Multicast Routers for Large-Scale Deployment of Multimedia Application,"N Jiang, YH Ho, KA Hua","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
378,MovY5AUlV5YJ,Cooking with biomass fuels increases the risk of blindness,"VK Mishra, RD Retherford, KR Smith",,
380,F1QUmDWR1gAJ,Strong Asymmetries in Impurity Distributions of JET Plasmas.,B Alper,,
390,Mc7dagP3gtoJ,Repeated lumbar or ventricular punctures in newborns with intraventricular hemorrhage,A Whitelaw,"Cochrane Database Syst Rev,",2001
391,8KlTAkM4AHIJ,MULTI-DIMENSIONAL CONSTRAINED GRADIENT MINING,JMW Lam,,2001
399,url:http://adsabs.harvard.edu/abs/1978RaEl...23Q1189O,Eigenvalue problem for linear 2 nx 2-ports,AG ONISHCHUK,"Radiotekhnika i Elektronika,",1978
419,y-UI3J0AxlwJ,Possibilities for natural enemies in Heliothis management and the contribution of the Commonwealth  ,"DJ Greathead, DJ Girling","Proc. Int. Workshop,",
422,2TVJo0A0oSkJ,Foundations of theoretical mechanics,RM Santilli,,1984
424,WIg9kgdVp9IJ,Integrity= validity+ completeness,A Motro,"ACM Transactions on Database Systems,",1989
431,Jwegiego4ycJ,Ap&amp;SS,"A Bridzius, V Vansevicius",,2001
432,2EMLBdsxzWgJ,A psychological taxonomy of trait-descriptive terms: The interpersonal domain,JS Wiggins,"Journal of Personality and Social Psychology,",
435,TnnGbQoTybAJ,Algorithm 63: partition,CAR Hoare,"Communications of the ACM,",1961
439,fUebuYnd2bwJ,Steklo i Keramika,IA Boguslavskiiâ?¦,"No. I,",
