tid,id,title,authors,venue,year
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
12,izK60fJMujQJ,"deD., D. Roncagliolo y U. Velarde (1997) Interactions and independence in stated preference  ",J OrtÃºzar,Proceedings of the 25 thEuropean Transport,
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
19,yNwfL9rufUIJ,Pain and leg ulceration associated with reduced ABPI and atropie blanche,D Hofman,"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998
21,QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of Floridaâ??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,
24,v-6ClxSz9doJ,Survival Skills for Graduate School and Beyond,"BA Fischer, MJ Zigmond","New Directions for Higher Education,",1998
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
37,ZpOG6KM-mgoJ,Learning with kernels [Ph. D. Thesis],AJ Smola,"Technical University of Berlin,",
52,vuuzUzVRnTsJ,"Mentoring Undergraduate Minority Students: An Overview, Survey, and Model Program","MC Terrell, RK Hassell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1994
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
59,Ei9esmN5czwJ,Internal and External Motivation to Respond Without Prejudice,"E Ashby Plant, PG Devine","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1998
60,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D2147016CI,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989
70,AKJwRjF08K0J,The Defect Structure and Mechanical Properties of Spinel Single Crystals,MH Lewis,"Phil. Mag,",
75,Hftb0dapCC4J,Students in learning groups: Active learning through conversation,"C Bouton, RY Garth","Learning in Groups, New Directions for Teaching and",
80,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN7626882AH,Hardware and System Architecture for a Very Large Database,"R HEALEY, B HECKMAN","VLDB,",1975
81,5KE8pei0YGYJ,Genetic-Algorithm Programming Environments,"JLR Filho, PC Treleaven, C Alippi",,
93,cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987
98,LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003
108,BKUtItHoTX8J,Information Gathering in the World Wide Web: The W3QL Query Language and the W3QS System,"D Konopnicki, O Shmueli","ACM Transactions on Database Systems,",1998
112,kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
129,i3SXq8EbKDYJ,Transputer implementation of Kalman filters,"LP Maguire, GW Irwin",,
133,pAhGk5H9_4kJ,"HERMES: A Heterogeneous Reasoning and Mediator System, 1994","VS Subrahmanian, S Adali, A Brink, R Emery, JL Lu, ",Submitted for,
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
142,NX7DdvxAtogJ,Instrumental Stakeholder Theory: A Synthesis of Ethics and Economics,TM Jones,"The Academy of Management Review,",1995
144,42whesD5Rl8J,A Data warehouse Intelligent Cache Manager [C],P Schenermannâ?¦,"Proc Of the 22nd VLDB Conf,",
158,isW9Z4PIs0YJ,Blind Nasotracheal Intubation in the Presence of Facial Trauma,"CL Rosen, RE Wolfe, SE Chew, SW Branney, EJ Roe","JOURNAL OF EMERGENCY MEDICINE,",1997
169,yPeKQ2D1dRgJ,Controlled trial of Internet based treatment for chronic back pain,"M Buhrman, S FÃ¤ltenhag, L StrÃ¶m, G Andersson","Unpublished manuscript,",
173,QfR8jZOQI6QJ,"Imino Esters: Versatile Substrates for the Catalytic, Asymmetric Synthesis of R-and Î²-","AE Taggi, AM Hafez, TR Lectka","Amino Acids and Î²-Lactams. Acc. Chem. Res,",
175,npG51orAPBkJ,Address compression through base register caching,"A Park, M Farrens",,
186,JEY4MNdwsggJ,Capitalistic mathematics,VP Maslov,Manuscript,
189,FHKbOnShy9EJ,KNOWLEDGE OF BLINDNESS ADAPTATION TECHNIQUES AMONG REHABILITATION UNDERGRADUATE STUDENTS,MJ Hoover,,2003
190,6aXSCUggjKoJ,Personal communications,J Mao,"IBM Almaden Research Center,",
194,u6SUM1C_ocwJ,Traces of the spirit: the religious dimensions of popular music,R Sylvan,,1998
202,HzuepAJPfCMJ,Biological monitoring and assessment: using multimetric indexes effectively,"JR Karr, EW Chu",,1997
203,zN8ngmWNDlgJ,Extracting Structured Data from Web Pages,"A Arasu, H Garcia-Molina",,
213,vE4M6atFR5gJ,Preface to the proceedings of the Workshop on Data Reverse Engineering,"E Chikofsky, HD Kathi",,2000
218,1KGXvZcb5awJ,Presynaptic Localization of Sodium/Calcium Exchangers in Neuromuscular Preparations,"PW Luther, RK Yip, RJ Bloch, A Ambesi, GE  ",,
222,_FiEOAXm3SkJ,Rethinking risk financing,"CP Helbling, G Fallegger, D Hill",,1996
225,092qznpAmYcJ,Enforcing Modeling Guidelines in an ORDBMS-based UML Repository,"N Ritter, HP Steiert",,
236,7Eag6wnw6FkJ,The 3D RESURF double-gate MOSFET: A revolutionary power device concept,"F Udrea, A Popescu","Electronic Letters,",1998
247,JvkJdUBUt8kJ,Distance learning: Whatâ??s holding back this boundless delivery system,I Bruder,"Electronic Learning,",1989
254,N0276nr35FgJ,h instability and 1= f noise in bipolar transistors,"Z Yiqi, S Qing","28th Annu. Proc. Int. Reliability Physics Symp,",
