tid,id,title,authors,venue,year
3,3BxllB4wwcIJ,Immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase N in  ,"GH Hansen, LL Wetterberg, H SjÃ¶strÃ¶m, O NorÃ©n","The Histochemical Journal,",1992
10,6TKMB5gO9EoJ,Multidimensional similarity structure analysis,"I Borg, JC Lingoes",,1987
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
22,0BIwb8RT4OMJ,World Population Prospects: The 1996 Revision,U Nations,"New York,",
23,XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997
24,v-6ClxSz9doJ,Survival Skills for Graduate School and Beyond,"BA Fischer, MJ Zigmond","New Directions for Higher Education,",1998
25,hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998
30,wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
37,ZpOG6KM-mgoJ,Learning with kernels [Ph. D. Thesis],AJ Smola,"Technical University of Berlin,",
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
43,AELK1VrNZ40J,Temperatures necessary to kill fungi in wood,S Chidester,"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",
48,RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,
50,oc6SJkjsQH8J,"Crypt Breakerâ??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",
54,qSmbg2Pmas0J,Tunning RED for Web Traffic,"M Christiansen, K Jeffay, D Ott, FD Smith",Proc.,
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
59,Ei9esmN5czwJ,Internal and External Motivation to Respond Without Prejudice,"E Ashby Plant, PG Devine","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1998
60,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D2147016CI,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989
61,uWeDXtelPrMJ,Virtual reality: Through the new looking glass,"K Pimentel, K Teixeira",,1993
67,EeTtbmdFG94J,Measuring the light regime under vegetation.,CA Federer,,1964
76,QzjeEU1-zX8J,Hierarchical and variation geometric modeling with wavelets. In proceedings of the 1995 Symposium on ,"SJ Gortler, MF Cohen",,1995
82,AeC4rMZEHpUJ,Interactive med. 3D-simulations by means of stereoscopy and standard hardware,"H WÃ¶rn, J MÃ¼hlingâ?¦","Rechner-u. SensorgestÃ¼tzte Chirurgie-Procs, GI,",
83,YrHcYfNlU_kJ,"Semantics, Pragmatics, and Second Language Acquisition: The Case of combien Extractions","L Dekydtspotter, RA Sprouse, K Swanson, R Thyre","Proceedings of the 23rd Annual Boston University Conference  &hellip;,",
84,97VsqVpS6BgJ,"coauthors, 2003: European temperature variability over the last 500 years, uncertainties, extremes  ",J Luterbacher,,
85,V95A5wSijwMJ,Understandittg ActiveX and OLE,D Chappell,,
88,53H7hIhiY_oJ,"stevens CE, Harley EJ, Zang EA, Oleszko WR, William DC, et al",W Szmuness,"Hepatitis B vaccine: Demonstration of efficacy in a  &hellip;,",
89,JVtIV8YSaaYJ,Sybase IQ Multiplex-Designed For Analytics,"R MacNicol, B French",,
92,8uZb1iH-RoYJ,Congenital Diaphragmatic Hernia-Morgagni Type,"L Sinclair, BL Klein","JOURNAL OF EMERGENCY MEDICINE,",1993
93,cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987
94,CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,
95,eVmosockte4J,Bill 1989â??Select Committee,P Offences,,
96,Pwzqj15AEKgJ,New developments in laser resonators,AE Siegman,,1990
97,KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",
99,M7up_B3A8YgJ,A quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"DM Webber, IP Braidman, WR Robertson, DC Anderson","The Histochemical Journal,",1988
101,kI-Hiv-7NZsJ,Gastroenteritis due to Kanagawa negative Vibrio parahaemolyticus,", I Goto, I Minematsu, N Ikeda, N Asano, M  ","Lancet i,",1987
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
105,AVGTDRLrxUkJ,Vision-based Pedestrian Detection: will Ants Help?,"M Bertozzi, A Broggi, A Fascioli",,
106,6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982
110,HBTKLk8SRrAJ,"Babel: A testbed for research in origins of language, 1998",A McIntyre,Submitted for,
119,3uMQgG34ohYJ,Cost Effective Dynamic Program Slicing,"X Zhang, R Gupta",,
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
121,BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V Noriegaâ?¦","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
131,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101204%26type%3Dpdf,JADE: Jabber-based Authoring in Distributed Environments,"A Roczniak, A El Saddik","Proceedings of the 13th annual ACM international conference  &hellip;,",2005
139,uGckiXpZzZIJ,Prehospital Cardiac Arrest Survival and Neurologic Recovery,"M Hillis, D Sinclair, G Butler, E Cain","JOURNAL OF EMERGENCY MEDICINE,",1993
149,hxQ_qO69Y1cJ,svÂ« JeuxantiquesÂ»,VE Encarta,,1993
