tid,species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order
239595,id-78,1,id-77,32,10,8,3,4,60,50,0,20,0,2,0,0,0,
239597,id-748,7,id-747,385,2,10,,4,75,50,0,20,0,2,0,0,0,
239599,id-112,1,id-111,50,4,6,6,4,60,50,0,20,1,1,0,0,0,161
239601,id-113,1,id-440,51,6,6,8,8,30,140,0,40,0,3,0,0,0,
239602,id-788,7,,412,7,4,,-1,3,50,0,15,0,1,0,1,0,
239605,id-4,1,,2,8,6,4,1,45,50,0,20,0,4,0,0,0,109
239606,id-5,1,id-4,2,8,6,4,1,45,50,0,20,0,4,0,0,0,110
239607,id-6,1,id-5,2,8,6,4,1,45,50,0,20,0,4,1,0,0,111
239608,id-7,1,,3,2,6,9,1,45,50,0,20,0,4,0,0,0,
239611,id-3,1,id-2,1,5,8,3,1,45,50,0,20,1,4,1,0,0,
239616,id-204,2,,102,4,1,2,4,190,70,0,20,0,2,0,0,0,56
239617,id-118,1,,55,8,3,9,4,225,50,0,20,1,2,0,0,0,
239622,id-202,2,id-360,100,2,5,1,4,45,50,0,20,1,2,0,0,0,
239625,id-616,5,,312,8,1,,4,200,50,0,15,0,2,0,0,0,
239626,id-615,5,,311,2,1,,-1,25,50,0,25,0,2,0,0,0,
239627,id-614,5,id-613,310,9,8,,4,60,50,0,20,0,2,0,0,0,105
239628,id-208,2,id-95,41,4,2,1,4,25,50,0,25,1,2,1,0,0,176
239630,id-611,5,id-610,309,5,6,,4,60,35,0,40,0,1,0,0,0,145
239631,id-610,5,,309,5,6,,4,75,35,0,40,0,1,0,0,0,144
239633,id-801,7,,422,4,12,,-1,3,0,0,120,0,1,0,0,1,
239634,id-811,8,id-810,430,5,,,1,45,50,0,20,0,4,0,0,0,
239636,id-588,5,,299,2,12,,4,200,50,0,15,0,2,0,0,0,
239639,id-821,8,,434,2,,,4,255,50,0,15,0,4,0,0,0,
239640,id-240,2,,61,8,6,4,2,45,50,1,25,0,2,0,0,0,
239641,id-813,8,,431,9,,,1,45,50,0,20,0,4,0,0,0,
239642,id-168,2,id-167,85,8,14,2,4,90,70,0,15,0,3,0,0,0,
239644,id-879,8,id-878,460,5,,,4,90,50,0,25,0,2,0,0,0,
239646,id-873,8,id-872,455,9,,,4,75,50,0,20,0,2,0,0,0,
239649,id-870,8,,453,10,,,-1,45,50,0,25,0,2,0,0,0,
239651,id-876,8,,458,7,,,0,30,140,0,40,0,3,0,0,0,
239653,id-874,8,,456,4,,,4,60,50,0,25,0,1,0,0,0,
239654,id-626,5,,318,3,8,,4,45,50,0,20,0,2,0,0,0,
239655,id-509,5,,261,7,8,,4,255,50,0,20,0,2,0,0,0,
239656,id-508,5,id-507,260,4,8,,4,45,50,0,15,0,4,0,0,0,
239658,id-503,5,id-502,258,2,8,,1,45,70,0,20,0,4,0,0,0,108
239662,id-507,5,id-506,260,4,8,,4,120,50,0,15,0,4,0,0,0,
239666,id-161,2,,82,3,8,3,4,255,70,0,15,0,2,0,0,0,
239670,id-160,2,id-159,81,2,6,9,1,45,70,0,20,0,4,0,0,0,
239674,id-489,4,,250,2,4,,-1,30,70,0,40,0,1,0,0,1,
239675,id-620,5,id-619,314,7,6,,4,45,50,0,25,0,4,0,0,0,
239676,id-482,4,,243,2,6,,-1,3,140,0,80,0,1,0,1,0,
239679,id-481,4,,242,6,6,,-1,3,140,0,80,0,1,0,1,0,
239680,id-486,4,,247,9,12,,-1,3,0,0,120,0,1,0,1,0,
239681,id-487,4,,248,1,10,,-1,3,0,0,120,0,1,1,1,0,
239683,id-485,4,,246,3,8,,4,3,100,0,10,0,1,0,1,0,
239684,id-552,5,id-551,281,3,8,,4,90,50,0,20,0,4,0,0,0,67
239687,id-475,4,id-281,140,9,12,,0,45,35,0,20,0,1,1,0,0,12
239688,id-474,4,id-233,68,8,4,,-1,30,50,0,20,0,2,0,0,0,
239692,id-470,4,id-133,67,5,8,,1,45,35,0,35,0,2,0,0,0,7
239694,id-375,3,id-374,192,2,4,6,-1,3,35,0,40,0,1,0,0,0,83
239695,id-376,3,id-375,192,2,11,6,-1,3,35,0,40,0,1,1,0,0,84
239700,id-373,3,id-372,191,2,8,6,4,45,35,0,40,0,1,1,0,0,
239702,id-579,5,id-578,294,5,4,,4,50,50,0,20,0,4,0,0,0,
239705,id-574,5,,293,7,12,,6,200,50,0,20,0,4,0,0,0,63
239706,id-575,5,id-574,293,7,12,,6,100,50,0,20,0,4,0,0,0,64
239709,id-570,5,,291,4,8,,1,75,50,0,25,0,4,0,0,0,154
239710,id-571,5,id-570,291,4,6,,1,45,50,0,20,0,4,0,0,0,155
239712,id-397,4,id-396,206,3,9,,4,120,70,0,15,1,4,0,0,0,27
239715,id-392,4,id-391,204,3,6,,1,45,70,0,20,0,4,0,0,0,117
239716,id-393,4,,205,2,12,,1,45,70,0,20,0,4,0,0,0,133
239718,id-258,3,,132,2,8,9,1,45,50,0,20,0,4,0,0,0,
239719,id-257,3,id-256,131,8,6,3,1,45,50,0,20,1,4,1,0,0,
239721,id-255,3,,131,8,7,3,1,45,50,0,20,1,4,0,0,0,
239722,id-254,3,id-253,130,5,6,2,1,45,50,0,20,0,4,1,0,0,132
239723,id-253,3,id-252,130,5,6,2,1,45,50,0,20,0,4,0,0,0,131
239724,id-252,3,,130,5,6,2,1,45,50,0,20,0,4,0,0,0,130
239725,id-251,2,,129,5,12,2,-1,45,100,0,120,0,4,0,0,1,
239730,id-651,6,id-650,337,5,6,,1,45,70,0,20,0,4,0,0,0,
239732,id-657,6,id-656,339,2,12,,1,45,70,0,20,0,4,0,0,0,
239733,id-656,6,,339,2,8,,1,45,70,0,20,0,4,0,0,0,
239734,id-655,6,id-654,338,8,6,,1,45,70,0,20,0,4,0,0,0,
239736,id-659,6,,340,3,6,,4,255,50,0,15,0,2,0,0,0,
239740,id-895,8,,473,5,,,-1,3,35,0,120,0,1,0,1,0,
239741,id-894,8,,472,10,,,-1,3,35,0,120,0,1,0,1,0,
239743,id-719,6,,371,6,4,,-1,3,50,0,25,0,1,1,0,1,
239745,id-890,8,,469,7,,,-1,255,0,0,120,0,1,0,1,0,
239746,id-893,8,,471,5,,,-1,3,0,0,120,0,1,0,0,1,
239749,id-713,6,id-712,366,2,8,,4,55,50,0,20,0,2,0,0,0,
239751,id-711,6,id-710,365,3,5,,4,60,50,0,20,0,2,0,0,0,
239752,id-716,6,,368,2,8,,-1,45,0,0,120,0,1,1,1,0,
239754,id-714,6,,367,7,9,,4,190,50,0,20,0,2,0,0,0,
239756,id-619,5,,314,10,6,,4,180,50,0,25,0,4,0,0,0,
239757,id-203,2,,101,10,8,3,4,60,70,0,20,1,2,0,0,0,
239760,id-176,2,id-175,87,9,12,2,1,75,50,0,10,0,3,0,0,0,
239761,id-647,5,,334,10,8,,-1,3,35,0,80,0,1,1,0,1,
239762,id-41,1,,17,7,9,1,4,255,50,0,15,1,2,0,0,0,23
239764,id-43,1,,18,2,7,3,4,255,50,0,20,0,4,0,0,0,
239767,id-44,1,id-43,18,2,12,3,4,120,50,0,20,1,4,0,0,0,
239770,id-613,5,,310,9,6,,4,120,50,0,20,0,2,0,0,0,104
239772,id-154,2,id-153,79,5,8,3,1,45,70,0,20,1,4,0,0,0,
