tid,tconst,averageRating,numVotes
3,tt12543237,6.0,10
12,tt12541355,6.1,124
21,tt12532849,8.3,5
52,tt12543032,5.6,6
59,tt12542918,7.0,14
64,tt12541634,5.3,15
79,tt12541733,5.2,64
80,tt0015156,5.2,5
86,tt0499179,8.6,16
97,tt12531800,5.0,755
98,tt12543138,6.5,5
99,tt12539478,8.2,11
100,tt12531600,4.9,10
112,tt12537316,6.6,7
113,tt12540297,6.1,10
114,tt12541775,6.1,18
122,tt12535718,7.7,25
132,tt12532136,7.1,76
135,tt0494712,2.3,805
136,tt12535808,6.2,28
141,tt12534020,1.5,11
148,tt12531194,7.5,17
150,tt1124107,7.3,21
163,tt12545536,5.1,22995
167,tt12540137,5.6,1057
186,tt12539885,7.0,6
203,tt1879071,5.5,10
208,tt1024156,9.0,111
210,tt12537038,4.0,2173
216,tt12536445,7.0,256
217,tt12537273,6.7,149
223,tt12544082,6.8,7
229,tt12537583,6.6,59
232,tt12531870,6.3,0
238,tt12536238,7.9,17
241,tt2513610,8.0,5
244,tt12537182,8.3,-4
252,tt12534589,7.1,7
257,tt12541697,8.8,18
263,tt12541068,6.0,231
265,tt2141569,7.4,15
267,tt0493322,3.6,552
276,tt12538615,6.5,96
280,tt12542375,1.9,103
282,tt12542127,5.5,21
283,tt12542142,5.6,4
288,tt12532319,8.0,13
298,tt12536597,6.1,5
306,tt12541213,6.4,-4
308,tt12544079,6.0,1551
310,tt12537301,6.4,36
311,tt1672376,6.4,5
320,tt12541065,5.7,10
325,tt12536682,6.7,31
341,tt12539456,7.1,30
353,tt7773250,4.0,5
354,tt12543216,8.7,7
374,tt12537278,7.3,25
376,tt12535108,5.2,85
380,tt12533308,7.9,65
381,tt1107906,5.0,6
383,tt0816629,4.9,243
393,tt12541032,6.2,16
394,tt12541076,6.5,29
396,tt12535557,7.9,350
397,tt12539278,5.9,96
399,tt12545793,6.1,8
410,tt7867852,6.3,6
416,tt12534909,7.2,18816
419,tt12540322,4.9,18
426,tt0366371,6.1,191
427,tt12545335,3.2,552
450,tt12533466,9.0,7
453,tt12541777,6.2,25
454,tt5742374,6.8,94405
456,tt12538013,8.4,5
467,tt12536414,5.6,119
469,tt12540074,9.1,2
478,tt4241804,8.8,9
482,tt12535161,7.0,76
485,tt12531181,7.8,68
487,tt8305258,7.5,167
497,tt12539963,6.1,206
498,tt12531801,4.7,774
500,tt12540764,3.6,15
503,tt7510284,7.7,175
512,tt12542147,7.7,735
525,tt12541619,7.7,18
529,tt0948457,7.8,32
530,tt12533085,4.0,27
531,tt12542683,5.8,39
539,tt12538793,6.9,30
546,tt10036886,7.8,25
548,tt12531827,7.5,1153
