sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,21,0.99,0.66,373,188,558,2,5,45,0.8397790055248618,0.769620253164557,0.8031704095112284
1,2,21,1.00,0.71,394,163,555,1,5,45,0.8191489361702128,0.7758186397984886,0.796895213454075
1,3,20,1.00,0.70,393,166,555,1,5,45,0.8191489361702128,0.7758186397984886,0.796895213454075
1,4,15,1.00,0.81,436,105,538,2,2,16,0.7094339622641509,0.8723897911832946,0.7825182101977107
2,1,24,0.99,0.67,341,171,510,2,4,36,0.8797814207650273,0.8277634961439588,0.8529801324503312
2,2,15,1.00,0.83,483,102,583,1,2,16,0.6486486486486487,0.9142857142857143,0.7588932806324111
2,3,21,1.00,0.65,377,199,576,0,5,45,0.8402061855670103,0.8337595907928389,0.8369704749679076
2,4,16,1.00,0.78,437,120,556,0,2,16,0.6486486486486487,0.9142857142857143,0.7588932806324111
3,1,20,0.99,0.68,388,184,570,2,4,36,0.8219895287958116,0.8602739726027397,0.8406961178045516
3,2,21,0.99,0.69,370,165,530,2,5,45,0.7733990147783252,0.8602739726027397,0.814526588845655
3,3,21,0.99,0.70,428,180,605,3,6,52,0.7605633802816901,0.8756756756756757,0.8140703517587939
3,4,21,1.00,0.68,356,165,520,0,4,36,0.8820224719101124,0.8602739726027397,0.8710124826629682
4,1,14,1.00,0.79,413,111,524,0,2,16,0.5581395348837209,0.8865435356200527,0.6850152905198776
4,2,22,1.00,0.64,363,204,564,0,5,45,0.7589743589743589,0.8245125348189415,0.7903871829105473
4,3,20,1.00,0.64,360,204,563,1,4,36,0.8647058823529412,0.8212290502793296,0.8424068767908309
4,4,21,1.00,0.67,392,191,579,1,5,45,0.7589743589743589,0.8245125348189415,0.7903871829105473
5,1,21,1.00,0.63,378,221,595,1,4,36,0.875,0.8259587020648967,0.849772382397572
5,2,19,0.99,0.68,395,189,582,2,4,34,0.8881987577639752,0.8362573099415205,0.8614457831325302
5,3,20,0.99,0.65,366,196,558,2,5,45,0.7921348314606742,0.8294117647058824,0.810344827586207
5,4,19,0.99,0.65,375,205,578,2,4,36,0.8466257668711656,0.8189910979228486,0.832579185520362
