tid,id,title,authors,venue,year
1,aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
5,cZCX-AQpjccJ,The Role of Faculty Advising in Science and Engineering,JR Cogdell,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995
9,vj0-A5RoktIJ,"F., Diene, AW, Ndiaye, Y. Hachage linÃ©aire Scalable et DistribuÃ© LH* LH sous Windows NT",F Bennour,"Res. Rep. CERIA, U. Paris,",
10,6TKMB5gO9EoJ,Multidimensional similarity structure analysis,"I Borg, JC Lingoes",,1987
25,hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998
26,0HMk-YUh4i8J,Too Much Middleware,M Stonebraker,"SIGMOD Record,",2002
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
29,7B7KCnJu4j8J,Flight to Objectivity: Essays on Cartesianism and Culture,S Bordo,,
32,pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",
35,url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992
38,x28I9Elj9KIJ,Caldwell,"P Consultants, B PC","&hellip;  for Comparison of Supplemental Technology Demonstration  &hellip;,",
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
52,vuuzUzVRnTsJ,"Mentoring Undergraduate Minority Students: An Overview, Survey, and Model Program","MC Terrell, RK Hassell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1994
53,r7Nwb5Ja0V4J,Optimally sparse representations in general dictionaries by l 1 minimization,"D Donoho, M Elad","Technical Report, Statistics Department, Stanford University, ",
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
57,HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990
58,tGNFoB_K6WwJ,"Ã¢â?¬ Å?Conflict Detection Tradeoffs for Replicated Data, Ã¢â?¬Â?","JM Carey, M Livny",ACM,
59,Ei9esmN5czwJ,Internal and External Motivation to Respond Without Prejudice,"E Ashby Plant, PG Devine","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1998
64,ctG34FDMmUoJ,"A Resource for Your Cosmetology Career, 2000 Edition",S Fundamentals,,
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
70,AKJwRjF08K0J,The Defect Structure and Mechanical Properties of Spinel Single Crystals,MH Lewis,"Phil. Mag,",
71,tjou0W77VQ4J,Real-Time networking for the implementation of CIM,"LR Lin, HP Huang",Proc. Int. Conf. Automation,
73,apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999
74,EsKG9q0qKyAJ,Hierarchical grouping in Artificial Intelligence. AAAI Spring Symposium on Artificial Intelligence  ,M Mortimer,,2000
77,PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",
86,RCLVo9hzbY8J,"Object, Message, and Performance: How They Coexist in Self","D Ungar, RB Smith, C Chambers",,
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
89,JVtIV8YSaaYJ,Sybase IQ Multiplex-Designed For Analytics,"R MacNicol, B French",,
94,CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,
97,KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",
98,LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003
115,5wiLuVdexv0J,Energy Conservation 2000 Mayville and Horicon: A Study Of A Community-Based Program,"B Neal, C Sabo","Wisconsin Demand-Side Demonstration, April,",
118,YAkpVC1qgaIJ,ARIADNE: A System for Constructing Mediators for Internet Sources (Demonstration),"J Ambite, N Ashish, G Barish, A Knoblock, S Minton ","Proceedings of ACM SIGMODâ??98 conference on Management of  &hellip;,",
126,uUFs74KwOnAJ,Roussopoulos. PerformanceandScalabilityofClient-Server Database Architecture,A DelisandN,,1992
127,MDr5xBsWWWoJ,Scalable session messages in SRM using self-configuration,"P Sharma, D Estrin, S Floyd, L Zhang",,
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
130,UC4EaQQMXU0J,Waiting Times For Stationary Processes,"I Kontoyiannis, A Recurrence","Technical Report No. 92, Stanford University, July",
135,Mqg5svJwsCoJ,Multimedia Miner: A System Prototype for Multimedia Data Mining,", J Han, SH Chee, JY Chiang","Proceedings of ACM-SIGMOD International Conference on  &hellip;,",1998
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
141,pScXi8veb-oJ,Preferential treatment for short flows to reduce web latency,"X Chen, J Heidemann","Computer Networks,",2003
156,w1CLOhbJhDsJ,Imaging of layered structures in biological tissues with opto-acoustic front surface transducer,"AA Karabutov, EV Savateeva, AA Oraevsky","Proc. SPIE,",1999
157,mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,
164,mKIHMKxtxBQJ,"WS-CatalogNet: An Infrastructure for Creating, Peering, and Querying e-Catalog Communities","K Baina, B Benatallah, H Paik, F Toumani, C Rey, A ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",
169,yPeKQ2D1dRgJ,Controlled trial of Internet based treatment for chronic back pain,"M Buhrman, S FÃ¤ltenhag, L StrÃ¶m, G Andersson","Unpublished manuscript,",
175,npG51orAPBkJ,Address compression through base register caching,"A Park, M Farrens",,
176,KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",
178,RYmtnzRENusJ,Exploiting Temporal Parallelism for Software-Only Video Effects Processing,"K Mayer-Patel, LA Rowe",,
179,gRCVf_OAkXwJ,"II, Fundamentals of parallel logic simulation",RJ Smith,"Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",
180,QPpUo7m3A7cJ,Efficient Transparent Application Recovery,"D Lomet, G Weikum",Client-Server Information Systems.,
184,Rdp2Y3zxvYwJ,DOLPHIN: integrated meeting support across local and remote desktop environments and LiveBoards,"NA Streitz, J GeiÃ?ler, JM Haake, J Hol","Proceedings of the 1994 ACM conference on Computer supported &hellip;,",1994
186,JEY4MNdwsggJ,Capitalistic mathematics,VP Maslov,Manuscript,
194,u6SUM1C_ocwJ,Traces of the spirit: the religious dimensions of popular music,R Sylvan,,1998
197,drh9KspqNUwJ,"Sustained Product Innovation in Large, Mature Organizations: Overcoming Innovation-to-Organization  ","D Dougherty, C Hardy","The Academy of Management Journal,",1996
200,T4yqFWvJWkwJ,Safety of computer control systems 1992 (SAFECOMP'92). Computer Systems in Safety-critical  ,HH Frey,"Proc. IFAC Symposium, Zurich, Switzerland,",
201,1QeuNAkihQ4J,"Intra-annual changes in the abundance of coho, chinook, and chum salmon in Puget Sound in 1997","RJ Beamish, M Folkes, R Sweeting, C Mahnken",,
202,HzuepAJPfCMJ,Biological monitoring and assessment: using multimetric indexes effectively,"JR Karr, EW Chu",,1997
205,dAR5F1GMKwIJ,Wireless Infrared Communications,"M Kahn Joseph, R Barry John","Proceedings of the IEEE,",
207,ntdj8NeKyI4J,Comparison of systems with complex behavior,"I Mezic, A Banaszuk",,
208,j3iZLktsE0IJ,Transportation and World Development,JC Lowe,"Economic Geography,",1988
213,vE4M6atFR5gJ,Preface to the proceedings of the Workshop on Data Reverse Engineering,"E Chikofsky, HD Kathi",,2000
214,mjXz-bYKbTwJ,Performance analysis using the MIPS R10000 performance counters,"M Zagha, B Larson, S Turner, M Itzkowitz",,
215,zz3uOU7rykEJ,Xenobiotics and hammation,"LB Schook, DL Laskin","San Diego: Academic,",
216,Xul-tMyACGkJ,Link Prediction Approach to Collaborative Filtering,"Z Huang, X Li, H Chen",,
219,EXtoza-15lIJ,Academic Press,"EB Davies, OP Semigroups","San Diego,",
227,url:http://portal.acm.org/citation.cfm%3Fdoid%3D263690.264343,Branch libraries for multimedia repositories (poster),"M Kozuch, W Wolf, A Wolfe, D McKay","Proceedings of the second ACM international conference on  &hellip;,",1997
228,ar7Icaf1G8kJ,Implementing the earnings supplement project: a test of a re-employment incentive,HS Bloomâ?¦,,
230,X2PE6K7uezQJ,The future of fiber-optic computer networks,PE Greenâ?¦,,
236,7Eag6wnw6FkJ,The 3D RESURF double-gate MOSFET: A revolutionary power device concept,"F Udrea, A Popescu","Electronic Letters,",1998
237,AiamPPqvsBUJ,The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","Genes to Cells,",1997
241,bFLIYGZlfsoJ,Composite objects revisited,"W Kim, E Bertino, JF Garza","Proceedings of the 1989 ACM SIGMOD international conference  &hellip;,",1989
242,z_W8jZ203sUJ,Optimization of dynamic query evaluation plans,"RL Cole, G Graefe","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,",1994
244,gt-77ZkB8LoJ,Progressive Encoding for Lossless Transmission of 3D Meshes,"P Alliez, M Desbrun","ACM Siggraph Conference Proceedings,",
245,AYQDZpFXQjAJ,The house mouse: atlas of embryonic development,K Theiler,,1989
246,sfUBo7aTIgcJ,Provably secure coin flip in a Byzantine environment,"S Awerbuch, B Chor, S Goldwasser, S Micali",,1985
247,JvkJdUBUt8kJ,Distance learning: Whatâ??s holding back this boundless delivery system,I Bruder,"Electronic Learning,",1989
248,xnDzZbPyIcMJ,Soft-link hypertext for information retrieval,"Md'Inverno, P Howells, MJ Hu, M Luck","Information &amp; Software Technology,",2002
252,0wVMAyv_P5kJ,Socioeconomic Restructuring and Regional Change: Rethinking Growth in the European Community.,A Rodriguez-Pose,"Economic Geography,",1994
257,ButmJWjGXusJ,MapInfo SpatialWare: A Spatial Information Server for RDBMS.,C Mina,"VLDB,",1998
258,eI0vrkds9PcJ,Correlation-dispersion method of measuring the output of a water-water power reactor,"LN Bogachek, KA Gazaryan, VV Lyenkoâ?¦",At.,
259,RD-KmJCXk3wJ,The stakeholder approach to evaluation: Origins and promise,CH Weiss,"New Directions for Program Evaluation,",1983
262,AnNzb6Gr7HkJ,"TATA probabilistic temporal databases, I: Algebra","A Dekhtyar, R Ross, VS Subrahmanian","Technical report CS-TR-3987, Department of Computer Science, ",
263,uL-ngYuiUK8J,MPEGâ??7 Camera,"T Ebrahimi, Y Abdeljaoued, RMF i Ventura, OD  ",,
267,bWF9aiAO9egJ,The stimulation of reproduction in Coelenterates by low levels of toxic stress.,ARD Stebbing,"UNEP, ATHENS(GREECE). 1991.,",1991
270,Dkd7JqNh-fwJ,Selenium determination in animal whole blood using stabilized temperature platform furnace and  ,"RH Eckerlin, DW Hoult, GR Carnrick","At Spectrosc,",
273,DE5dZrbRKqUJ,Engineering Applications of Correlation and Spectral Analysis,"JS Bendat, A Piersol",,1980
274,NP13J8S06XYJ,Optimal selection of supply voltages and level-conversion during data-path scheduling under resource ,"M Johnson, K Roy","Proceedings of the 1996 IEEE/ACM International Conference on &hellip;,",
275,XIkChsdw3CoJ,The Transmembrane Domain of the Large Subunit of HSV-2 Ribonucleotide Reductase (ICP10) Is Required  ,"CC Smith, JH Luo, JCR Hunter, JV Ordonez","VIROLOGY-NEW YORK-,",1994
277,JoY5e_B55gAJ,ProDA: a suite of web-services for progressive data analysis,"M Jahangiri, C Shahabi","Proceedings of 24th ACM SIGMOD International Conference on  &hellip;,",2005
280,-RKzvr8swDEJ,"LP {the Larch prover: version 3.1, 1995",S Garland,"MIT, Laboratory for Computer Science, http://larch. lcs. mit. ",
281,GcZFuzekOiAJ,The Discovery of the Individual 1050-1200,C Morris,,
286,QO9uigNY9WgJ,Computer implementation of thenite element method,A George,"Stanford University Technical Report STAN-CS-208, Stanford, CA, ",
288,hdOQ_vyjDacJ,Scatter/gather: A cluster-based approach to browsing large doctnnent collections,"DR Cutting, DR Karger, JO Pedersen, JW Tukey","Proc. ACM SIG1R,",
290,KzblBZq7NUwJ,Unity and Diversity: Holiday Celebrations around the World.,A Lockledge,"Social Studies and the Young Learner,",1993
295,clox1KvD37UJ,Classroom behaviors related to college teaching effectiveness,H Murray,"New directions for teaching and learning: using research to  &hellip;,",
296,c2dH5RxNj6kJ,A Multimedia Presentation Algebra,"S AdalÄ±, ML Sapino, VS Subrahmanian","SIGMOD,",1999
299,wP8mppuWztcJ,Blink Measurement by Image Processing and Application to Warning of Driverâ??s Drowsiness in  ,"T Nakano, K Sugiyama, M Mizuno, S Yamamoto",Procs. IEEE Intelligent Vehicles,
300,dJDL6U89Jt4J,Description of the picture of a city,"J Stefanou, J Stefanou","Athens, Greece: NTUA Publications,",
303,La1Bik2hfmEJ,A University-Industry Association Model for Curriculum Enhancement.,M Passer,"New Directions for Higher Education,",1984
304,txo56JDKlAoJ,O-Linked Oligosaccharide on IgAl Hinge Region in IgA Nephropathy. Fundamental Study for Precise  ,"Y Hiki, A Horii, H Iwase, A Tanaka","CONTRIBUTIONS TO NEPHROLOGY,",1995
306,9jPrZSfTe2cJ,The Undergraduate Curriculum and Distance Education.,GE Miller,"New Directions for Adult and Continuing Education,",1995
308,RvcmFAQHwz0J,What Teachers Can Do to Relieve Problems Identified by International Students,DS Lee,"New Directions for Teaching and Learning,",1997
311,l8qjgtxFBxsJ,Combining ontologies: an analysis of problems and solutions,M Klein,,
315,w2P_uyY3BGAJ,Australian Women in IT,"L von Hellens, S Nielsen","COMMUNICATIONS-ACM,",2001
319,-KlYy6YZRcgJ,Syntactic accidents in program analysis,"D Damian, O Danvy",Proceedings of the 2000 ACM SIGPLAN International Conference,
326,VOmRS1IYLHQJ,Grassroots,"K Kamiya, M RÃ¶scheisen, T Winograd","Technical Report, Stanford University, Cf. URL http://diglib. ",
328,Ire7Kl3ccqcJ,A direct particle simulation method for hypersonic rarified ow,JD McDonald,"Technical Report 411, Stanford University, March",
333,aqoOpQNKdRAJ,Aexible multicast routing protocol for group communication,"S Aggarwal, S Paul, D Massey, D Caldararu","Computer Networks,",2000
343,a41k5lrQfTwJ,The Situational Factors Affecting Teaching.,LD Fink,"New Directions for Teaching and Learning,",1984
