tid,id,title,authors,venue,year
4,d2WWxwKMex4J,The Burden of Infectious Disease Among Inmates and Releasees From Correctional Facilities,"TM Hammett, P Harmon, W Rhodes",see,
13,UPWEn_-Pd-sJ,Stereochemical Applications of Gas-Phase Electron Diffraction,"K Kuchitsu, M Nakata, S Yamamoto, I Hargittai, M  ","Hargittai,",
25,hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
31,d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",
40,l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
43,AELK1VrNZ40J,Temperatures necessary to kill fungi in wood,S Chidester,"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
62,zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004
86,RCLVo9hzbY8J,"Object, Message, and Performance: How They Coexist in Self","D Ungar, RB Smith, C Chambers",,
101,kI-Hiv-7NZsJ,Gastroenteritis due to Kanagawa negative Vibrio parahaemolyticus,", I Goto, I Minematsu, N Ikeda, N Asano, M  ","Lancet i,",1987
106,6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982
121,BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V Noriegaâ?¦","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
124,BKvmjX7abn0J,Thread-local heaps for Java,"T Domani, G Goldshtein, EK Kolodner, E Lewis, E  ",,
130,UC4EaQQMXU0J,Waiting Times For Stationary Processes,"I Kontoyiannis, A Recurrence","Technical Report No. 92, Stanford University, July",
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
142,NX7DdvxAtogJ,Instrumental Stakeholder Theory: A Synthesis of Ethics and Economics,TM Jones,"The Academy of Management Review,",1995
145,2HQ1HEki1_4J,"Assessment, Enhancement, and Verification Determinants of the Self-Evaluation Process",C Sedikides,"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
149,hxQ_qO69Y1cJ,svÂ« JeuxantiquesÂ»,VE Encarta,,1993
150,n9_CfMTousYJ,"Learning plateaus in generalized cognitive condensations: phase transition, path dependence and  ","R Wallace, R Fullilove",,2001
151,awu_PrmgYnUJ,Multiaccess of a slotted channel using a control mini-slot,"L Merakos, D Kazakos","Proc. Int. Conf. Communications,",
