tid,species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order
239593,id-76,1,id-75,31,3,12,4,4,45,70,0,15,0,4,0,0,0,
239599,id-112,1,id-111,50,4,6,6,4,60,50,0,20,1,1,0,0,0,161
239614,id-8,1,id-7,3,2,6,9,1,45,50,0,20,0,4,0,0,0,
239616,id-204,2,,102,4,1,2,4,190,70,0,20,0,2,0,0,0,56
239620,id-200,2,,98,4,1,1,4,45,35,0,25,0,3,0,0,0,183
239624,id-617,5,id-616,312,8,4,,4,75,50,0,15,0,2,0,0,0,
239629,id-209,2,,105,6,12,8,6,190,70,0,20,0,3,0,0,0,
239632,id-828,8,id-827,436,3,,,4,127,50,0,15,0,3,0,0,0,
239635,id-589,5,id-588,299,4,4,,4,75,50,0,15,0,2,0,0,0,
239639,id-821,8,,434,2,,,4,255,50,0,15,0,4,0,0,0,
239640,id-240,2,,61,8,6,4,2,45,50,1,25,0,2,0,0,0,
239647,id-872,8,,455,9,,,4,190,50,0,20,0,2,0,0,0,
239649,id-870,8,,453,10,,,-1,45,50,0,25,0,2,0,0,0,
239652,id-875,8,,457,2,,,4,60,50,0,25,0,1,0,0,0,
239654,id-626,5,,318,3,8,,4,45,50,0,20,0,2,0,0,0,
239658,id-503,5,id-502,258,2,8,,1,45,70,0,20,0,4,0,0,0,108
239660,id-501,5,,258,2,6,,1,45,70,0,20,0,4,0,0,0,106
239662,id-507,5,id-506,260,4,8,,4,120,50,0,15,0,4,0,0,0,
239664,id-505,5,id-504,259,3,6,,4,255,70,0,20,0,2,0,0,0,
239666,id-161,2,,82,3,8,3,4,255,70,0,15,0,2,0,0,0,
239672,id-623,5,id-622,316,5,12,,-1,90,50,0,25,0,2,0,0,0,
239680,id-486,4,,247,9,12,,-1,3,0,0,120,0,1,0,1,0,
239690,id-379,3,,195,4,12,1,-1,3,35,0,80,0,1,0,1,0,193
239695,id-376,3,id-375,192,2,11,6,-1,3,35,0,40,0,1,1,0,0,84
239720,id-256,3,id-255,131,8,6,3,1,45,50,0,20,1,4,0,0,0,
239725,id-251,2,,129,5,12,2,-1,45,100,0,120,0,4,0,0,1,
239734,id-655,6,id-654,338,8,6,,1,45,70,0,20,0,4,0,0,0,
239736,id-659,6,,340,3,6,,4,255,50,0,15,0,2,0,0,0,
239738,id-728,7,,376,2,3,,1,45,50,0,15,0,4,0,0,0,
239739,id-754,7,id-753,388,6,12,,4,75,50,0,20,0,2,0,0,0,
239748,id-712,6,,366,2,8,,4,190,50,0,20,0,2,0,0,0,
239750,id-710,6,,365,3,1,,4,120,50,0,20,0,2,0,0,0,
239751,id-711,6,id-710,365,3,5,,4,60,50,0,20,0,2,0,0,0,
239753,id-717,6,,369,8,9,,-1,45,0,0,120,0,1,0,1,0,
239755,id-715,6,id-714,367,7,9,,4,45,50,0,20,0,2,0,0,0,
239759,id-48,1,,20,7,12,2,4,190,70,0,20,0,2,0,0,0,
239765,id-42,1,id-41,17,7,9,1,4,90,50,0,15,1,2,0,0,0,24
239768,id-47,1,id-46,19,8,14,2,4,75,70,0,20,0,2,0,0,0,
239770,id-613,5,,310,9,6,,4,120,50,0,20,0,2,0,0,0,104
239771,id-612,5,id-611,309,10,6,,4,45,35,0,40,0,1,0,0,0,146
239774,id-156,2,id-155,80,10,8,3,1,45,70,0,20,0,4,0,0,0,
239784,id-629,5,,320,3,9,,8,190,35,0,20,0,1,0,0,0,
239785,id-803,7,,424,7,6,,-1,45,0,0,120,0,1,0,0,0,
239796,id-847,8,id-846,445,3,,,4,60,50,0,20,0,1,0,0,0,
239799,id-848,8,,446,7,,,4,75,50,1,25,0,4,0,0,0,
239802,id-532,5,,272,4,12,,2,180,70,0,20,0,4,0,0,0,101
239803,id-533,5,id-532,272,4,12,,2,90,50,0,20,0,4,0,0,0,102
239806,id-536,5,id-535,273,2,6,,4,120,50,0,20,0,4,0,0,0,
239807,id-537,5,id-536,273,2,12,,4,45,50,0,20,0,4,0,0,0,
239831,id-699,6,id-698,358,2,8,,1,45,50,0,30,0,2,0,0,0,
239833,id-327,3,,165,3,6,4,4,255,70,0,15,0,3,0,0,0,
239841,id-284,3,id-283,141,2,13,9,4,75,70,0,15,0,2,0,0,0,
239845,id-280,3,,140,9,12,8,4,235,35,0,20,0,1,0,0,0,9
239853,id-447,4,,232,2,6,,1,75,50,1,25,0,4,0,0,0,50
239864,id-89,1,id-88,38,7,4,8,4,75,70,0,20,0,2,0,0,0,
239875,id-82,1,id-81,34,4,11,6,-1,60,50,0,20,0,2,0,0,0,
239876,id-351,3,,179,4,1,3,4,45,70,0,25,0,2,1,0,0,
239880,id-199,2,id-79,33,6,6,9,4,70,50,0,20,0,2,0,0,0,
239882,id-210,2,id-209,105,7,6,8,6,75,70,0,20,0,3,0,0,0,
239883,id-217,2,id-216,110,3,6,4,4,60,70,0,20,1,2,0,0,0,
239885,id-215,2,,109,1,6,2,4,60,35,0,20,1,4,0,0,0,181
239889,id-192,2,id-191,94,10,12,3,4,120,70,0,20,0,4,0,0,0,
239904,id-15,1,id-14,5,10,13,2,4,45,70,0,15,0,2,1,0,0,177
239918,id-582,5,,296,9,5,,4,255,50,0,20,0,1,0,0,0,
239920,id-741,7,,381,8,9,,6,45,70,0,20,0,2,0,0,0,
239921,id-400,4,id-399,207,3,6,,4,127,70,0,15,1,2,0,0,0,30
239939,id-495,5,,256,5,6,,1,45,70,0,20,0,4,0,0,0,118
239944,id-793,7,,414,9,10,,-1,45,0,0,120,0,1,0,0,0,
239945,id-790,7,id-789,413,2,1,,-1,45,0,0,120,0,1,0,1,0,
239953,id-402,4,id-401,208,8,13,,4,45,70,0,15,1,4,0,0,0,
239957,id-406,4,,158,5,12,,4,255,50,1,20,0,4,0,0,0,
239958,id-273,3,,137,3,7,2,4,255,50,0,15,0,4,0,0,0,
239962,id-362,3,id-361,186,4,1,1,4,75,50,0,20,0,2,1,0,0,94
239973,id-565,5,id-564,288,2,6,,1,45,50,0,30,0,2,0,0,0,
239988,id-382,3,,198,2,3,7,-1,3,0,0,120,0,1,1,1,0,
239992,id-221,2,id-220,112,3,8,1,4,75,50,0,20,1,1,0,0,0,
240002,id-709,6,id-708,364,3,10,,4,60,50,0,20,0,2,0,0,0,
240009,id-315,3,id-406,158,5,12,3,4,150,50,0,20,1,4,0,0,0,
240022,id-105,1,id-104,46,3,6,4,4,75,50,0,20,0,2,0,0,0,
240025,id-139,1,id-138,69,2,10,7,1,45,50,0,30,0,2,0,0,0,
240031,id-51,1,id-50,21,3,11,1,4,50,50,0,20,0,2,0,0,0,
240038,id-743,7,id-742,382,10,13,,4,75,50,0,20,0,2,0,0,0,
240041,id-141,1,id-140,70,3,6,7,1,45,50,0,30,0,2,0,0,0,
240054,id-742,7,,382,10,14,,4,190,50,0,20,0,2,0,0,0,
240059,id-851,8,id-850,447,8,,,4,75,50,0,20,0,2,0,0,0,
240071,id-520,5,id-519,266,4,9,,4,120,50,0,15,0,4,0,0,0,
240085,id-352,3,,180,5,6,2,4,200,70,0,20,0,4,0,0,0,
240111,id-457,4,id-456,237,2,3,,4,75,70,0,20,1,5,0,0,0,
240114,id-450,4,id-449,233,3,8,,4,60,50,0,30,1,1,0,0,0,
240126,id-97,1,id-96,42,10,12,3,4,75,70,0,20,1,2,0,0,0,
240130,id-93,1,id-92,40,7,4,1,4,90,50,0,20,0,4,0,0,0,113
240134,id-186,2,id-61,26,5,12,9,4,45,50,0,20,1,4,0,0,0,
240137,id-183,2,id-298,90,2,6,9,4,190,50,0,10,0,3,0,0,0,
240138,id-182,2,id-44,18,5,12,3,4,45,50,0,20,0,4,0,0,0,
240141,id-409,4,id-408,211,2,6,,1,45,70,0,30,0,5,0,0,0,
240153,id-670,6,id-669,344,9,4,,8,120,70,0,20,0,2,0,0,0,
240156,id-675,6,id-674,346,9,12,,4,65,50,0,25,0,2,0,0,0,
240161,id-23,1,,9,7,2,3,4,255,70,0,20,0,2,0,0,0,54
240162,id-22,1,id-21,8,3,9,6,4,90,70,0,15,0,2,0,0,0,
240174,id-703,6,,361,4,1,,-1,60,50,0,25,0,1,0,0,0,
240188,id-780,7,,406,9,2,,4,70,50,0,20,0,2,0,0,0,
240190,id-782,7,,408,4,8,,4,45,50,0,40,0,1,0,0,0,
240191,id-785,7,,409,10,4,,-1,3,50,0,15,0,1,0,1,0,
240205,id-416,4,id-415,214,10,13,,8,45,50,0,15,0,4,0,0,0,
240217,id-550,5,,280,5,3,,4,25,50,0,40,0,2,0,0,0,
240223,id-556,5,,283,5,5,,4,255,50,0,20,0,2,0,0,0,
240225,id-239,2,,60,10,12,3,2,45,50,1,25,0,2,0,0,0,
240232,id-232,2,id-231,119,4,8,6,4,60,70,0,20,1,2,0,0,0,
240241,id-734,7,,378,3,8,,4,255,70,0,15,0,2,0,0,0,
240250,id-738,7,id-737,379,2,14,,4,45,50,0,15,0,2,0,0,0,
240252,id-107,1,id-236,47,3,12,8,0,45,50,0,25,0,2,0,0,0,
240255,id-106,1,id-236,47,3,12,8,0,45,50,0,25,0,2,0,0,0,
240280,id-539,5,,275,2,12,,0,45,50,0,20,0,2,0,0,0,
240285,id-604,5,id-603,306,2,3,,4,30,70,0,20,0,1,0,0,0,
240286,id-605,5,,307,2,6,,4,255,50,0,20,0,2,0,0,0,
240291,id-753,7,,388,6,6,,4,190,50,0,20,0,2,0,0,0,
240295,id-635,5,id-634,323,2,6,,4,45,35,0,40,0,1,0,0,0,92
240299,id-391,4,id-390,204,3,6,,1,45,70,0,20,0,4,0,0,0,116
240309,id-865,8,id-83,35,9,,,4,45,50,0,20,0,2,0,0,0,
240312,id-860,8,id-859,451,6,,,0,120,50,0,20,0,2,0,0,0,
240313,id-861,8,id-860,451,7,,,0,45,50,0,20,0,2,0,0,0,
240316,id-358,3,id-433,184,2,4,3,4,45,70,0,25,0,3,0,0,0,53
240322,id-517,5,,265,6,8,,4,190,50,0,10,0,3,0,0,0,72
240323,id-510,5,id-509,261,7,8,,4,90,50,0,20,0,2,0,0,0,
240327,id-746,7,,384,2,3,,4,60,50,0,15,0,3,0,0,0,
240328,id-341,3,,174,8,14,9,4,205,50,0,15,0,6,0,0,0,
240344,id-586,5,id-585,297,3,8,,4,75,70,0,20,0,2,1,0,0,
240360,id-245,2,,125,2,8,3,-1,3,35,0,80,0,1,0,1,0,
240377,id-218,2,,111,8,2,4,4,190,70,0,20,0,2,0,0,0,
240378,id-640,5,,327,5,8,,-1,3,35,0,80,0,1,0,1,0,
