tid,tconst,averageRating,numVotes
2,tt12532752,9.5,16
18,tt12540399,6.0,6
27,tt0927634,6.4,8
45,tt2061640,8.9,8
48,tt12540917,5.8,432
49,tt8181336,6.4,19
52,tt12543032,5.6,6
54,tt12540418,7.2,842
58,tt12541427,8.3,12
61,tt0311234,6.8,11
69,tt12543819,6.5,38
77,tt12544362,7.8,89
84,tt12535617,6.9,23538
91,tt12545654,5.5,48
93,tt12532992,5.3,17
104,tt12542862,7.3,15
114,tt12541775,6.1,18
125,tt12543702,7.4,165
127,tt12541504,4.9,243
160,tt12531236,7.1,11
168,tt7349906,4.6,8
172,tt12531231,5.0,7
173,tt8667604,8.3,12
177,tt12539622,6.0,-4
194,tt12531452,8.0,3124
196,tt0350037,6.3,149
199,tt10410130,9.1,8
203,tt1879071,5.5,10
205,tt12544326,4.6,52
206,tt12534789,6.0,22
216,tt12536445,7.0,256
241,tt2513610,8.0,5
244,tt12537182,8.3,-4
248,tt12543632,5.9,8
251,tt12545321,7.4,5
252,tt12534589,7.1,7
255,tt12532704,1.7,26
258,tt0457121,7.4,43
259,tt0835031,7.0,8
268,tt12539664,6.1,116
271,tt12543140,5.4,-5
279,tt12534428,7.5,26
284,tt12543389,7.1,19
292,tt12544866,4.7,20
299,tt12539619,7.7,7
304,tt12539679,4.3,5
306,tt12541213,6.4,-4
309,tt12532389,7.1,17
312,tt1754315,8.8,11
313,tt12532006,6.3,25
314,tt12539242,7.0,6
323,tt12535434,7.2,24
334,tt12540918,5.6,426
360,tt12542737,6.5,5
362,tt12541407,8.8,53
367,tt12535122,8.2,7
371,tt3314940,7.6,5
374,tt12537278,7.3,25
375,tt0003158,6.0,12
390,tt0205948,7.5,11
401,tt4288938,9.2,9
403,tt12531574,7.9,8
411,tt12543380,7.3,450
416,tt12534909,7.2,18816
419,tt12540322,4.9,18
428,tt12534073,5.6,68
429,tt0052919,6.1,11
430,tt12538548,7.3,109
437,tt0364182,9.0,14
438,tt12533534,7.3,137
448,tt12533348,7.6,353
458,tt12543009,7.4,267
462,tt12545568,7.5,13
466,tt0017883,5.9,10
469,tt12540074,9.1,2
471,tt6662506,7.3,22
478,tt4241804,8.8,9
482,tt12535161,7.0,76
484,tt12545749,7.3,7
496,tt2836540,8.5,10
503,tt7510284,7.7,175
507,tt12534800,5.3,358
510,tt12542722,7.0,487
514,tt12532317,7.6,3
526,tt12543431,6.1,23
539,tt12538793,6.9,30
541,tt12543062,7.9,32
545,tt12539676,4.1,85
567,tt12545460,9.0,1892
570,tt12534757,3.7,293
594,tt1145500,8.7,1892
595,tt12540839,5.9,900
596,tt12541834,3.7,40
614,tt12545475,2.2,14
615,tt12535372,5.3,7
618,tt12535666,6.5,40
623,tt5376904,7.4,20
624,tt12534902,6.0,51
630,tt12536518,4.3,6
633,tt0052483,8.8,53
637,tt2234551,7.7,62
638,tt2568154,5.4,5
641,tt12534776,10.4,0
651,tt12543523,4.6,28
667,tt12534867,6.0,926
671,tt12532526,6.2,26
675,tt0058975,8.3,37
692,tt4213788,6.0,6
694,tt5919848,7.6,88
701,tt12532422,6.8,9
702,tt12543762,4.5,10
711,tt12536681,6.7,31
727,tt1172587,5.7,1551
728,tt12539152,7.4,66
730,tt3142914,5.0,20
731,tt0212651,7.2,5
737,tt12537274,6.6,149
739,tt12544846,7.2,38
743,tt12536862,6.8,73
745,tt12544735,9.2,9
764,tt12543655,5.8,81
765,tt12532678,7.7,91
769,tt12538617,6.0,43
774,tt10954426,6.3,29
801,tt12533399,7.9,-3
805,tt12545311,3.0,33
807,tt12537804,7.3,2
811,tt12542249,7.2,40
816,tt12532623,4.0,182
817,tt12542786,6.8,71
823,tt12542472,6.5,34
824,tt12537231,6.8,24
830,tt12531179,7.7,68
834,tt12541101,8.3,105759
839,tt12539808,7.7,13
842,tt12544565,7.7,163
846,tt12539124,3.9,7
863,tt12532975,6.1,22
867,tt12534424,6.0,40
868,tt12537086,7.3,14
869,tt12542789,6.1,11
870,tt12534604,8.5,26
873,tt10418830,6.8,5
876,tt12544635,8.0,987
898,tt12542565,5.2,64
900,tt12544617,6.9,38
902,tt2080042,3.7,43
910,tt12532885,6.6,221
915,tt0246057,6.0,37
922,tt12534961,8.9,20
959,tt12541163,7.1,128
964,tt2789248,8.1,16
976,tt12539077,6.0,63
979,tt12533509,7.4,116
984,tt7493294,6.1,12
988,tt12532705,1.3,33
992,tt12539216,8.5,10
993,tt1496903,8.1,45
994,tt12545397,5.2,17
996,tt12534371,5.5,7
998,tt5720152,4.6,8
1000,tt12543270,5.6,26
1010,tt12537877,3.4,252
1023,tt5987338,7.4,8
1037,tt12541086,8.2,10
1042,tt12542882,5.4,172
1047,tt12538540,7.6,8209
1049,tt3822730,6.5,13
1051,tt12533515,8.8,2
1055,tt12540076,8.7,8
1059,tt12533483,7.9,15
1075,tt12533077,9.3,21
1083,tt0372046,8.2,9
1089,tt12541062,7.7,112
1090,tt12531339,6.6,16
1094,tt12541305,5.9,15
1095,tt0232677,8.1,46
1096,tt12543285,6.3,15
1100,tt0207280,5.7,9
1104,tt12534405,5.1,41
1106,tt2164682,7.7,7
1129,tt0258172,3.0,33
1130,tt0227853,6.8,53
1131,tt7980288,7.0,6
1133,tt0008915,7.2,6
1137,tt12543823,4.5,18
1138,tt12533178,5.0,6
1142,tt7612392,5.1,53
1144,tt1198083,7.5,1153
1153,tt12534826,7.2,6
1161,tt12542017,7.7,6
1166,tt12545261,3.4,34
1168,tt12534198,6.5,89
1172,tt12533524,8.3,1
1183,tt12544616,6.5,33
1193,tt0165972,6.9,41
1201,tt0109082,5.0,5
1203,tt2294965,6.2,2469
1217,tt7217962,6.0,194
1220,tt12533346,7.1,349
1228,tt12534134,6.4,8
1241,tt12535460,8.1,16
1248,tt12533087,5.4,138
1257,tt7512512,6.5,38
1261,tt2035595,7.0,6
1263,tt12540395,5.1,18
1267,tt4295286,4.0,7
1278,tt0090825,4.7,20
1283,tt12534530,4.7,68
1285,tt12536235,5.0,74
1286,tt12539430,5.3,192
1292,tt0457495,5.1,22995
1300,tt4839424,1.1,122
1303,tt12532525,6.2,23
1305,tt12536599,6.4,11
1306,tt1188681,4.3,6
1309,tt12541330,3.5,133
1319,tt0298835,7.2,5
1324,tt12545821,5.5,21
1328,tt9092600,2.8,24
1344,tt8485166,7.9,14
1346,tt12544030,7.8,59
1347,tt7144150,8.6,7
1349,tt12531394,6.0,37
1359,tt12543366,6.1,11
1366,tt0259362,6.5,88
1383,tt12536079,5.3,6
1397,tt12543817,6.5,38
1403,tt12532974,6.5,4
1406,tt12538637,6.3,14
1438,tt12543763,7.9,14
1469,tt0887279,5.5,8
