sample,result_id,test_precision,test_recall,test_f1
1,1,1.0,0.42857142857142855,0.6
1,2,1.0,0.42857142857142855,0.6
2,1,0.7777777777777778,0.4827586206896552,0.5957446808510638
2,2,0.7777777777777778,0.4827586206896552,0.5957446808510638
3,1,1.0,0.41379310344827586,0.5853658536585366
3,2,1.0,0.41379310344827586,0.5853658536585366
3,3,1.0,0.41379310344827586,0.5853658536585366
3,4,1.0,0.41379310344827586,0.5853658536585366
4,1,0.5,0.2222222222222222,0.30769230769230765
4,2,0.5,0.2222222222222222,0.30769230769230765
5,1,1.0,0.4375,0.6086956521739131
5,2,1.0,0.4375,0.6086956521739131
