tid,id,title,authors,venue,year
11,im0SIHX8SOcJ,Linear Algebra and its Applications Harcourt Brace Jovanovich,G Strang,"San Diego,",
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
30,wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,
34,fOH6aNSDFXkJ,An Empirical Review of Price Behaviour on the Internet,H Riquelme,"Electronic Markets,",2001
39,K_qOxjIJWpQJ,Data in Your Face&quot;: Push Technology in Perspective (Invited Paper) ACM SIGMOD Intl,"M Franklin, S Zdonik","Conference on Management of Data, Seattle, WA, June,",
41,PL5DRujtg88J,Foot orthoses.. Williams &amp; Wilkins: Baltimore,KK Wu,"MD,",
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
52,vuuzUzVRnTsJ,"Mentoring Undergraduate Minority Students: An Overview, Survey, and Model Program","MC Terrell, RK Hassell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1994
55,nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
58,tGNFoB_K6WwJ,"Ã¢â?¬ Å?Conflict Detection Tradeoffs for Replicated Data, Ã¢â?¬Â?","JM Carey, M Livny",ACM,
59,Ei9esmN5czwJ,Internal and External Motivation to Respond Without Prejudice,"E Ashby Plant, PG Devine","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1998
71,tjou0W77VQ4J,Real-Time networking for the implementation of CIM,"LR Lin, HP Huang",Proc. Int. Conf. Automation,
72,pVzuVkEC4jwJ,Progress in the Development of Large Area Sub-millimeter Resolution CdZnTe Strip Detectors,"JR Macri, DV Boykin, K Larson, M Mayer, ML  ","Proc. SPIE,",1996
78,p6PzqUPVOFMJ,New Chance: Implementing a comprehensive program for teenage parents and their children,"J Quint, B Fink, S Rowser",,1991
79,qEEE1vE37TQJ,Adding Some Spice to CSI Curricula,"G Holmes, TC Smith","Proceedings of SZGCSE â??97,",1997
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
112,kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",
114,BPdmg5Ipu9kJ,"Survey of Job Shop Scheduling Techniques, NISTIR, National Institute of Standards and Technology,  ","A Jones, LC Rabelo","MD,",
122,k2LFZSt_NcoJ,Aspects of disc brake judder,H Jacobsson,"Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2003
123,bmsONqxQp80J,Getting Started: Informal Small-Group Strategies in Large Classes,"JL Cooper, P Robinson","New Directions for Teaching and Learning,",2000
125,4EzsmZ6_1g0J,Revisiting scholarship,C Kreberâ?¦,"New Directions for Teaching and Learning, No,",
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
140,xG3ZAYDt_HcJ,Inside Visual C++,JK David,,1996
143,qPDh4xVUMbwJ,Curves and Surfaces in Computer Aided Geometric Design,G Farin,,
147,url:http://www.springerlink.com/index/G17323245151166V.pdf,"Dye standards, Part I: terminology and general principles","H Lyon, E Schulte, A de Leenheer, S Lewis, V  ","The Histochemical Journal,",1992
149,hxQ_qO69Y1cJ,svÂ« JeuxantiquesÂ»,VE Encarta,,1993
154,K-Z4In4KMTQJ,Unsupervised Image Segmentation by Stochastic Reconstruction,"V Metzler, R Vandenhouten, J Krone, R Grebe",,
162,JyTArxFIMecJ,Ethical Decision Making in Organizations: A Person-Situation Interactionist Model,LK Trevino,"The Academy of Management Review,",1986
165,dr0I1_OTjdgJ,Pollution Prevention at Shipyards,PNPPR Center,"Seattle, Washington, September,",
168,JRhHVF7f7rwJ,Î³-spectrometric determination of the content of natural radionuclides in ground water,"A Mukhamedov, GV Poteshkin, US Salikhbaevâ?¦",At.,
