tid,id,title,authors,venue,year
4,d2WWxwKMex4J,The Burden of Infectious Disease Among Inmates and Releasees From Correctional Facilities,"TM Hammett, P Harmon, W Rhodes",see,
16,I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995
18,6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",
19,yNwfL9rufUIJ,Pain and leg ulceration associated with reduced ABPI and atropie blanche,D Hofman,"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998
30,wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,
33,pG9TXzucQzcJ,Multirate analog-digital systems for signal processing and conversion,"J Franca, A Petraglia, SK Mitra","Proceedings of the IEEE,",1997
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
68,8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,
72,pVzuVkEC4jwJ,Progress in the Development of Large Area Sub-millimeter Resolution CdZnTe Strip Detectors,"JR Macri, DV Boykin, K Larson, M Mayer, ML  ","Proc. SPIE,",1996
85,V95A5wSijwMJ,Understandittg ActiveX and OLE,D Chappell,,
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
93,cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987
94,CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,
99,M7up_B3A8YgJ,A quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"DM Webber, IP Braidman, WR Robertson, DC Anderson","The Histochemical Journal,",1988
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
