sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,29,0.95,0.91,4437,415,4628,224,17,143,0.06875149200286465,0.9965397923875432,0.1286288521661456
1,2,26,0.95,0.92,4461,406,4645,222,18,148,0.06295042111661023,1.0,0.1184446985786636
1,3,16,0.96,0.95,3429,199,3478,150,14,114,0.06615214994487321,0.9965397923875432,0.12406840994270453
1,4,25,0.95,0.92,4606,386,4735,257,19,159,0.06295042111661023,1.0,0.1184446985786636
2,1,25,0.95,0.91,4043,416,4265,194,18,150,0.07647771644001616,0.9986813186813187,0.14207547759747366
2,2,12,0.95,0.98,3668,85,3542,211,10,74,0.038318828847061996,0.9986813186813187,0.07380577257296929
2,3,20,0.96,0.91,3730,371,3939,162,16,130,0.04667789785100875,0.9986813186813187,0.0891872264421284
2,4,23,0.95,0.93,4438,327,4540,225,18,150,0.06586270871985157,0.9986813186813187,0.12357564384977292
3,1,23,0.96,0.92,3927,330,4085,172,15,123,0.048094709581945984,0.9961685823754789,0.09175930827598378
3,2,18,0.95,0.90,3562,382,3772,172,16,128,0.045463589335455634,0.9983615510649918,0.08696686410238112
3,3,26,0.96,0.92,3857,355,4043,169,19,159,0.04581993569131833,0.9972662657189721,0.08761438143958498
3,4,25,0.95,0.92,4802,403,4937,268,19,157,0.04581993569131833,0.9972662657189721,0.08761438143958498
4,1,25,0.96,0.90,4124,453,4410,167,17,141,0.06432348367029549,0.9995166747220879,0.12086852333498933
4,2,27,0.96,0.92,3738,345,3917,166,19,159,0.05612189567292051,1.0,0.10627920110900035
4,3,23,0.95,0.91,3923,371,4106,188,19,157,0.05612189567292051,1.0,0.10627920110900035
4,4,20,0.96,0.93,3246,254,3352,148,18,150,0.05554959209961357,1.0,0.10525245334824833
5,1,20,0.96,0.92,3649,306,3788,167,15,123,0.04609299321924443,0.9986882378662003,0.08811898377669322
5,2,24,0.96,0.92,4270,366,4459,177,19,157,0.044126738794435856,0.9986882378662003,0.08451902973338019
5,3,26,0.95,0.92,4362,380,4510,232,17,143,0.049061305151007435,0.9986882378662003,0.0935279785426179
5,4,25,0.95,0.91,4268,397,4428,237,18,150,0.044126738794435856,0.9986882378662003,0.08451902973338019
