tid,id,title,authors,venue,year
2,ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
23,XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997
27,rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999
32,pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",
36,_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000
49,78PlrdpBT8sJ,Dimethyl ether(DME) spray characteristics in a common-rail fuel injection system.,J Yu,"Proceedings of the Institution of Mechanical Engineers D,  &hellip;,",2003
50,oc6SJkjsQH8J,"Crypt Breakerâ??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
57,HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990
58,tGNFoB_K6WwJ,"Ã¢â?¬ Å?Conflict Detection Tradeoffs for Replicated Data, Ã¢â?¬Â?","JM Carey, M Livny",ACM,
64,ctG34FDMmUoJ,"A Resource for Your Cosmetology Career, 2000 Edition",S Fundamentals,,
65,XCdKCLPJ9gkJ,On the nature of continental shelves: Academic Press,JJ WALSH,"San Diego,",
77,PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",
86,RCLVo9hzbY8J,"Object, Message, and Performance: How They Coexist in Self","D Ungar, RB Smith, C Chambers",,
104,eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004
105,AVGTDRLrxUkJ,Vision-based Pedestrian Detection: will Ants Help?,"M Bertozzi, A Broggi, A Fascioli",,
107,Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,
111,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DA8622976AH,Observations of frontal zone structures with a VHF Doppler radar and radiosondes,"MF LARSEN, J ROETTGER","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984
112,kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",
119,3uMQgG34ohYJ,Cost Effective Dynamic Program Slicing,"X Zhang, R Gupta",,
120,aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996
128,IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,
136,ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997
138,HyP3ZqESqhoJ,Photoprotection by carotenoids,MM Mathews-Roth,"Fed Proc,",1987
140,xG3ZAYDt_HcJ,Inside Visual C++,JK David,,1996
144,42whesD5Rl8J,A Data warehouse Intelligent Cache Manager [C],P Schenermannâ?¦,"Proc Of the 22nd VLDB Conf,",
162,JyTArxFIMecJ,Ethical Decision Making in Organizations: A Person-Situation Interactionist Model,LK Trevino,"The Academy of Management Review,",1986
163,EqF1i1bl7GIJ,Application servers (panel session): born-again TP monitors for the Web,"C Mohan, L Cable, M Devin, S Dietzen, P Helland, D ","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001
165,dr0I1_OTjdgJ,Pollution Prevention at Shipyards,PNPPR Center,"Seattle, Washington, September,",
172,CJ3wL4FeuvMJ,Using New Clues to Find Data,"C Fie1771 Fields, N Negroponte","Third International Conference on Very Large Data Bases,  &hellip;,",
185,EtRstiL1C-QJ,"Potential Interference to GPS from UWB Transmitters; Phase II Test Results: Accuracy, Loss-of-Lock,  ","M Luo, M Koenig, D Akos, S Pullen, P Enge","Technical Report 3, Stanford University, March",
190,6aXSCUggjKoJ,Personal communications,J Mao,"IBM Almaden Research Center,",
199,-2Eto4ZQjpoJ,A parallel scheme for test pattern generation,"A Motohara, K Nishimura, H Fujiwara, I Shirakawa","Proc. Int. Conf. Computer-Aided Design,",
212,0grY-Lst84sJ,SafetyNet: A language-based approach to programmable networks,"I Wakeman, A Jeffrey, T Owen, D Pepper","Computer Networks,",2001
223,url:http://adsabs.harvard.edu/abs/1976InfPh..16..125Z,High resolution infrared solar observations by balloon,R Zander,"&hellip;  on Infrared Physics, Zurich, Switzerland, Aug. 11-15, 1975. &hellip;,",1976
232,0ct3hfJD8WgJ,2dF mechanical engineering,"G Smith, A Lankshear","Proc. SPIE,",1998
241,bFLIYGZlfsoJ,Composite objects revisited,"W Kim, E Bertino, JF Garza","Proceedings of the 1989 ACM SIGMOD international conference  &hellip;,",1989
248,xnDzZbPyIcMJ,Soft-link hypertext for information retrieval,"Md'Inverno, P Howells, MJ Hu, M Luck","Information &amp; Software Technology,",2002
254,N0276nr35FgJ,h instability and 1= f noise in bipolar transistors,"Z Yiqi, S Qing","28th Annu. Proc. Int. Reliability Physics Symp,",
266,Bn5h0IbqbNwJ,i2i Trust in E-commerce,"JS Olson, GM Olson","COMMUNICATIONS-ACM,",2000
268,x2suKNGm4TAJ,Contractual types,O Nierstrasz,"submitted for publication,",2003
270,Dkd7JqNh-fwJ,Selenium determination in animal whole blood using stabilized temperature platform furnace and  ,"RH Eckerlin, DW Hoult, GR Carnrick","At Spectrosc,",
273,DE5dZrbRKqUJ,Engineering Applications of Correlation and Spectral Analysis,"JS Bendat, A Piersol",,1980
278,ZrBMwsU4A7QJ,Continuous querying in database-centric Web applications,"JC Shafer, R Agrawal","WWW9 / Computer Networks,",2000
282,DiyLLGIcUZQJ,â??Punctualityâ??and Verb Semantics,S Engelberg,,
284,DBh6rPNazToJ,Martingale estimating functions based on eigenfunctions for discretely observed small diffusions,M Uchida,,2004
291,sIUa2f9F91EJ,Four cheers for geography,S Jenkins,"Geography,",
