theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,572,0.84,0.17,3050,15221,17691,580,,315,,,,0.23650697392359005,0.5473684210526316,0.33029853906415413
0.5,0.6,677,0.84,0.17,3050,15221,17692,579,,315,0.17428924598269468,0.4649629018961253,0.25354012137559,0.23650697392359005,0.5473684210526316,0.33029853906415413
0.5,0.4,739,0.84,0.17,3039,15232,17693,578,,306,0.17428924598269468,0.4649629018961253,0.25354012137559,0.23604368932038836,0.5463483146067416,0.3296610169491526
0.5,0.25,1383,0.87,0.15,2825,15446,17835,436,,223,0.3890532544378698,0.440536013400335,0.41319717203456396,0.37487335359675783,0.5266903914590747,0.437999408108908
0.5,0.2,2579,0.86,0.11,2029,16242,17954,317,,123,0.812,0.35802469135802467,0.4969400244798041,0.7479674796747967,0.42105263157894735,0.5387994143484626
0.5,0.15,1982,0.90,0.01,180,18091,18250,21,,47,0.85,0.035864978902953586,0.06882591093117409,1.0,0.0453257790368272,0.0867208672086721
0.5,0.1,3782,0.93,0.00,62,18209,18266,5,,29,0.8571428571428571,0.012806830309498399,0.02523659305993691,1.0,0.015340364333652923,0.03021718602455146
1,1,638,0.83,0.30,5476,12795,17125,1146,,290,0.15715785789289463,0.6507246376811594,0.253171694389625,0.09209621993127148,0.6823679185232336,0.16228900158958445
1,0.6,645,0.83,0.30,5476,12795,17125,1146,,290,0.09168878905452318,0.6507246376811594,0.16073026669053161,0.09209621993127148,0.6823679185232336,0.16228900158958445
1,0.4,732,0.83,0.30,5443,12828,17189,1082,,272,0.0955725840783312,0.6507246376811594,0.16666666666666666,0.09498303874308159,0.6790044671346522,0.16665361422194375
1,0.25,1784,0.88,0.27,4893,13378,17597,674,,166,0.6636197440585009,0.5610510046367851,0.6080402010050252,0.4174273858921162,0.6540962288686606,0.5096251266464034
1,0.2,1993,0.88,0.21,3774,14497,17746,525,,132,0.9044585987261147,0.4674897119341564,0.6163863266413457,0.984,0.5256410256410257,0.6852367688022285
1,0.15,1915,0.89,0.21,3826,14445,17808,463,,78,1.0,0.46622734761120266,0.6359550561797753,1.0,0.5674740484429066,0.7240618101545254
