tid,tconst,averageRating,numVotes
2,tt12532752,9.5,16
10,tt12534669,7.0,5
23,tt12531237,7.7,7
29,tt12539879,5.5,85
30,tt12540401,7.0,59
31,tt12541831,4.4,9
33,tt12533929,7.3,11
36,tt9035628,5.1,60
38,tt12533952,7.8,258
43,tt12533076,9.3,6
44,tt12535785,9.1,28006
54,tt12540418,7.2,842
55,tt12538716,5.9,39
57,tt12532968,7.0,39
59,tt12542918,7.0,14
62,tt12537280,7.8,25
66,tt12536025,6.3,149
67,tt12543825,4.8,24
70,tt12533245,6.5,11
75,tt12539123,4.0,-1
76,tt12544195,4.6,30
77,tt12544362,7.8,89
78,tt12532254,7.4,61
80,tt0015156,5.2,5
81,tt2083932,5.9,15
84,tt12535617,6.9,23538
85,tt4708408,2.2,8
88,tt12542257,9.1,15
89,tt6620638,6.5,8
90,tt12535633,4.5,11
91,tt12545654,5.5,48
94,tt12542350,6.7,20
95,tt0035697,7.4,8
98,tt12543138,6.5,5
101,tt1337354,7.2,847
103,tt12533288,6.6,247
106,tt12532204,2.6,24
107,tt0471839,5.2,31
108,tt12535644,4.9,8
110,tt12544497,7.2,8
112,tt12537316,6.6,7
113,tt12540297,6.1,10
125,tt12543702,7.4,165
126,tt12533194,7.3,7
127,tt12541504,4.9,243
132,tt12532136,7.1,76
135,tt0494712,2.3,805
136,tt12535808,6.2,28
141,tt12534020,1.5,11
145,tt12545636,7.2,439
146,tt12533448,4.5,386
147,tt12543668,6.3,2400
148,tt12531194,7.5,17
149,tt12531668,10.0,15
151,tt2308048,6.6,13
153,tt0865634,8.4,52
160,tt12531236,7.1,11
162,tt1674052,6.6,5
163,tt12545536,5.1,22995
164,tt5421602,8.7,28009
165,tt12533850,6.9,10
167,tt12540137,5.6,1057
168,tt7349906,4.6,8
179,tt12536033,7.1,9
180,tt12539386,6.2,6
184,tt12541915,4.4,299
187,tt7203520,6.0,909
189,tt3073216,6.4,5
190,tt12532745,6.6,7
199,tt10410130,9.1,8
200,tt12532294,6.3,404
201,tt12538572,6.9,30
202,tt12545683,5.4,188
206,tt12534789,6.0,22
209,tt0350750,3.8,13
211,tt12543923,5.6,15
213,tt12536970,9.3,2105
214,tt12536429,7.6,83
217,tt12537273,6.7,149
218,tt6083652,8.4,5
223,tt12544082,6.8,7
230,tt12545128,5.8,96
231,tt12532919,7.7,176
233,tt12535438,5.4,55
234,tt5815434,6.6,69
235,tt12536034,7.2,9
236,tt12537252,6.5,6
242,tt12538563,5.0,9
243,tt12542065,7.2,17
245,tt12541919,7.1,28
246,tt12532013,6.4,7
254,tt12545611,7.1,7
255,tt12532704,1.7,26
259,tt0835031,7.0,8
260,tt12535614,6.8,13
262,tt12536044,6.5,335
268,tt12539664,6.1,116
272,tt0954423,7.8,9
