tid,id,title,authors,venue,year
5,cZCX-AQpjccJ,The Role of Faculty Advising in Science and Engineering,JR Cogdell,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995
7,97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002
12,izK60fJMujQJ,"deD., D. Roncagliolo y U. Velarde (1997) Interactions and independence in stated preference  ",J OrtÃºzar,Proceedings of the 25 thEuropean Transport,
17,0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,
23,XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997
26,0HMk-YUh4i8J,Too Much Middleware,M Stonebraker,"SIGMOD Record,",2002
35,url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992
42,ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993
51,jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000
56,ni6q3Ow1X1AJ,"Qualitative â??â??versusâ??â??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",
57,HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990
58,tGNFoB_K6WwJ,"Ã¢â?¬ Å?Conflict Detection Tradeoffs for Replicated Data, Ã¢â?¬Â?","JM Carey, M Livny",ACM,
61,uWeDXtelPrMJ,Virtual reality: Through the new looking glass,"K Pimentel, K Teixeira",,1993
66,bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994
67,EeTtbmdFG94J,Measuring the light regime under vegetation.,CA Federer,,1964
77,PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",
80,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN7626882AH,Hardware and System Architecture for a Very Large Database,"R HEALEY, B HECKMAN","VLDB,",1975
87,G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977
90,GEpXbBgtUp8J,Characterizing the effects of clock jitter due to substrate noise in discrete-time 1= 6 modulators,P Heydari,"Proc. IEEE/ACM Design Automation Conf,",
96,Pwzqj15AEKgJ,New developments in laser resonators,AE Siegman,,1990
110,HBTKLk8SRrAJ,"Babel: A testbed for research in origins of language, 1998",A McIntyre,Submitted for,
113,url:http://www.springerlink.com/index/XV80363546U051U2.pdf,List of Acronyms,ANXAN Exchange,"BT Technology Journal,",2001
