id1,id2
1818,7075
1823,9257
1828,2110
1866,2530
2026,4601
2139,4271
2187,2418
2366,2367
2427,8640
2427,10314
2440,5443
2577,2581
2707,10414
2807,7064
2813,3155
2819,10064
2823,4684
2890,2891
2957,3106
3096,3123
3125,4140
3159,9969
3185,4631
3222,4451
3383,6969
3395,4563
3395,5122
3475,8592
3529,4114
3539,4190
3670,7769
3670,8151
3757,6377
3792,8891
3851,6855
3931,5754
3990,9601
4108,7977
4145,4886
4178,7199
4178,8683
4184,6950
4266,6690
4282,7549
4297,4306
4348,7170
4384,5657
4395,8725
4508,9662
4563,5122
4586,7633
4588,4774
4613,6116
4709,4710
4732,4911
4804,10231
4851,7708
4876,6762
4895,9209
4959,10085
5010,5205
5025,9863
5238,8297
5289,11455
5360,8430
5371,5959
5426,6761
5426,7869
5477,8368
5477,9076
5549,10133
5577,8990
5664,8717
5746,8097
5776,9008
5830,8888
5835,9278
5912,8949
5921,8423
5988,8859
6102,9115
6162,10449
6210,11531
6246,10301
6314,8464
6354,8424
6358,9694
6382,7920
6413,7975
6423,7428
6506,6952
6547,6741
6562,8870
6620,7622
6620,8349
6663,6665
6722,7707
6740,9193
6756,8537
6761,7869
6771,8507
6788,7563
6798,9068
6802,7794
6802,8890
6802,9063
6811,7429
6858,7653
6858,8029
6858,10230
6858,10383
6922,9161
6925,6926
6944,7731
6944,9868
6992,7802
7008,8831
7037,7237
7061,7469
7094,9189
7123,9038
7199,8683
7201,8536
7211,7614
7223,9793
7288,7483
7350,8473
7361,7750
7363,8118
7525,8995
7604,7980
7604,9790
7605,9762
7622,8349
7653,8029
7653,10230
7653,10383
7664,10119
7731,9868
7769,8151
7794,8890
7794,9063
7918,9172
7980,9790
8029,10230
8029,10383
8043,8120
8043,8234
8114,8659
8120,8234
8140,10102
8224,8754
8274,8630
8274,8805
8301,9114
8306,8663
8311,8312
8368,9076
8370,9876
8609,9130
8630,8805
8640,10314
8664,10000
8668,8843
8718,8908
8778,9060
8890,9063
8919,9083
9327,9412
9333,9450
9348,9485
9421,9489
9588,9811
9614,9678
9640,10652
9713,9738
10230,10383
10253,10368
10714,10715
10785,10833
10938,11125
10983,11174
11006,11008
11423,11538
